"Genus"	"Species"	"Author"	"GUID"	"Notes..errors..synonyms..undescribed.etc."	"Source"	"Taxon.name..computed."
"1"	"Aphelopus"	"sp."	"Dalman, 1823"	"http://dyntaxa.se/taxon/info/1013621"	NA	"Dyntaxa"	"Aphelopus sp."
"2"	"Aphelopus"	"melaleucus"	"(Dalman, 1818)"	"http://dyntaxa.se/taxon/info/249192"	NA	"Dyntaxa"	"Aphelopus melaleucus"
"3"	"Aphelopus"	"atratus"	"(Dalman, 1823)"	"http://dyntaxa.se/taxon/info/249193"	NA	"Dyntaxa"	"Aphelopus atratus"
"4"	"Aphelopus"	"serratus"	"Richards, 1939"	"http://dyntaxa.se/taxon/info/249194"	NA	"Dyntaxa"	"Aphelopus serratus"
"5"	"Aphelopus"	"camus"	"Richards, 1939"	"http://dyntaxa.se/taxon/info/249195"	NA	"Dyntaxa"	"Aphelopus camus"
"6"	"Aphelopus"	"nigriceps"	"Kieffer, 1905"	"http://dyntaxa.se/taxon/info/249196"	NA	"Dyntaxa"	"Aphelopus nigriceps"
"7"	"Aphelopus"	"querceus"	"Olmi, 1984"	"http://dyntaxa.se/taxon/info/249197"	NA	"Dyntaxa"	"Aphelopus querceus"
"8"	"Lonchodryinus"	"sp."	"Kieffer, 1905"	"http://dyntaxa.se/taxon/info/1013622"	NA	"Dyntaxa"	"Lonchodryinus sp."
"9"	"Lonchodryinus"	"ruficornis"	"(Dalman, 1818)"	"http://dyntaxa.se/taxon/info/249198"	NA	"Dyntaxa"	"Lonchodryinus ruficornis"
"10"	"Anteon"	"sp."	"Jurine, 1807"	"http://dyntaxa.se/taxon/info/1013623"	NA	"Dyntaxa"	"Anteon sp."
"11"	"Anteon"	"jurineanum"	"Latreille, 1809"	"http://dyntaxa.se/taxon/info/249199"	NA	"Dyntaxa"	"Anteon jurineanum"
"12"	"Anteon"	"brachycerum"	"(Dalman, 1823)"	"http://dyntaxa.se/taxon/info/249200"	NA	"Dyntaxa"	"Anteon brachycerum"
"13"	"Anteon"	"arcuatum"	"Kieffer, 1905"	"http://dyntaxa.se/taxon/info/249201"	NA	"Dyntaxa"	"Anteon arcuatum"
"14"	"Anteon"	"flavicorne"	"(Dalman, 1818)"	"http://dyntaxa.se/taxon/info/249202"	NA	"Dyntaxa"	"Anteon flavicorne"
"15"	"Anteon"	"ephippiger"	"(Dalman, 1818)"	"http://dyntaxa.se/taxon/info/249203"	NA	"Dyntaxa"	"Anteon ephippiger"
"16"	"Anteon"	"pubicorne"	"(Dalman, 1818)"	"http://dyntaxa.se/taxon/info/249204"	NA	"Dyntaxa"	"Anteon pubicorne"
"17"	"Anteon"	"infectum"	"(Haliday, 1837)"	"http://dyntaxa.se/taxon/info/249205"	NA	"Dyntaxa"	"Anteon infectum"
"18"	"Anteon"	"exiguum"	"(Haupt, 1941)"	"http://dyntaxa.se/taxon/info/249206"	NA	"Dyntaxa"	"Anteon exiguum"
"19"	"Anteon"	"tripartitum"	"Kieffer, 1905"	"http://dyntaxa.se/taxon/info/249207"	NA	"Dyntaxa"	"Anteon tripartitum"
"20"	"Anteon"	"gaullei"	"Kieffer, 1905"	"http://dyntaxa.se/taxon/info/249208"	NA	"Dyntaxa"	"Anteon gaullei"
"21"	"Anteon"	"fulviventre"	"(Haliday, 1828)"	"http://dyntaxa.se/taxon/info/249209"	NA	"Dyntaxa"	"Anteon fulviventre"
"22"	"Dryinus"	"sp."	"Latreille, 1804"	"http://dyntaxa.se/taxon/info/1013624"	NA	"Dyntaxa"	"Dryinus sp."
"23"	"Dryinus"	"niger"	"Kieffer, 1904"	"http://dyntaxa.se/taxon/info/249210"	NA	"Dyntaxa"	"Dryinus niger"
"24"	"Haplogonatopus"	"sp."	"Perkins, 1905"	"http://dyntaxa.se/taxon/info/1013625"	NA	"Dyntaxa"	"Haplogonatopus sp."
"25"	"Haplogonatopus"	"oratorius"	"(Westwood, 1833)"	"http://dyntaxa.se/taxon/info/249211"	NA	"Dyntaxa"	"Haplogonatopus oratorius"
"26"	"Gonatopus"	"sp."	"Ljungh, 1810"	"http://dyntaxa.se/taxon/info/1013626"	NA	"Dyntaxa"	"Gonatopus sp."
"27"	"Gonatopus"	"helleni"	"(Raatikainen, 1961)"	"http://dyntaxa.se/taxon/info/249212"	NA	"Dyntaxa"	"Gonatopus helleni"
"28"	"Gonatopus"	"bicolor"	"(Haliday, 1828)"	"http://dyntaxa.se/taxon/info/249213"	NA	"Dyntaxa"	"Gonatopus bicolor"
"29"	"Gonatopus"	"pallidus"	"(Ceballos, 1927)"	"http://dyntaxa.se/taxon/info/249214"	NA	"Dyntaxa"	"Gonatopus pallidus"
"30"	"Gonatopus"	"formicicolus"	"(Richards, 1939)"	"http://dyntaxa.se/taxon/info/249215"	NA	"Dyntaxa"	"Gonatopus formicicolus"
"31"	"Gonatopus"	"dromedarius"	"(A. Costa, 1882)"	"http://dyntaxa.se/taxon/info/249216"	NA	"Dyntaxa"	"Gonatopus dromedarius"
"32"	"Gonatopus"	"distinctus"	"Kieffer, 1906"	"http://dyntaxa.se/taxon/info/249217"	NA	"Dyntaxa"	"Gonatopus distinctus"
"33"	"Gonatopus"	"pedestris"	"Dalman, 1818"	"http://dyntaxa.se/taxon/info/249218"	NA	"Dyntaxa"	"Gonatopus pedestris"
"34"	"Gonatopus"	"lunatus"	"Klug, 1810"	"http://dyntaxa.se/taxon/info/249219"	NA	"Dyntaxa"	"Gonatopus lunatus"
"35"	"Gonatopus"	"striatus"	"Kieffer, 1905"	"http://dyntaxa.se/taxon/info/249220"	NA	"Dyntaxa"	"Gonatopus striatus"
"36"	"Gonatopus"	"spectrum"	"(Van Vollenhoven, 1874)"	"http://dyntaxa.se/taxon/info/249221"	NA	"Dyntaxa"	"Gonatopus spectrum"
"37"	"Gonatopus"	"distinguendus"	"Kieffer, 1905"	"http://dyntaxa.se/taxon/info/249222"	NA	"Dyntaxa"	"Gonatopus distinguendus"
"38"	"Gonatopus"	"formicarius"	"Ljungh, 1810"	"http://dyntaxa.se/taxon/info/249223"	NA	"Dyntaxa"	"Gonatopus formicarius"
"39"	"Gonatopus"	"clavipes"	"(Thunberg, 1827)"	"http://dyntaxa.se/taxon/info/249224"	NA	"Dyntaxa"	"Gonatopus clavipes"
