"Genus"	"Species"	"Author"	"GUID"	"Source"	"Taxon.name..computed."
"1"	"Dryomyzidae"	NA	"Schiner, 1862"	"http://dyntaxa.se/taxon/info/2001358"	"Dyntaxa"	"Dryomyzidae"
"2"	"Dryope"	"sp."	"Robineau-Desvoidy, 1830"	"http://dyntaxa.se/taxon/info/6001319"	"Dyntaxa"	"Dryope sp."
"3"	"Dryope"	"decrepita"	"(J.W.Zetterstedt, 1838)"	"http://dyntaxa.se/taxon/info/241750"	"Dyntaxa"	"Dryope decrepita"
"4"	"Dryope"	"flaveola"	"(J.C.Fabricius, 1794)"	"http://dyntaxa.se/taxon/info/241751"	"Dyntaxa"	"Dryope flaveola"
"5"	"Paradryomyza"	"sp."	"Ozerov, 1987"	"http://dyntaxa.se/taxon/info/6003485"	"Dyntaxa"	"Paradryomyza sp."
"6"	"Paradryomyza"	"spinigera"	"Ozerov, 1987"	"http://dyntaxa.se/taxon/info/6003486"	"Dyntaxa"	"Paradryomyza spinigera"
"7"	"Dryomyza"	"sp."	"Fallén, 1820"	"http://dyntaxa.se/taxon/info/1011203"	"Dyntaxa"	"Dryomyza sp."
"8"	"Dryomyza"	"anilis"	"Fallén, 1820"	"http://dyntaxa.se/taxon/info/241753"	"Dyntaxa"	"Dryomyza anilis"
"9"	"Pseudoneuroctena"	"sp."	"Ozerov, 1987"	"http://www.gbif.org/species/106975048"	"Gbif"	"Pseudoneuroctena sp."
"10"	"Pseudoneuroctena"	"senilis"	"(Zetterstedt, 1838)"	"http://dyntaxa.se/taxon/info/241752"	"Dyntaxa"	"Pseudoneuroctena senilis"
"11"	"Neuroctena"	"anilis"	"(Fallén, 1820)"	"http://www.faunaeur.org/full_results.php?id=61664"	"Fauna Europaea"	"Neuroctena anilis"
"12"	"Dryomyza"	"decrepita"	"Zetterstedt, 1838"	"http://www.faunaeur.org/full_results.php?id=61654"	"Fauna Europaea"	"Dryomyza decrepita"
