"Genus"	"Species"	"Author"	"GUID"	"Notes..errors..synonyms..undescribed.etc."	"Source"	"Taxon.name..computed."
"1"	"Psilidae"	"sp."	"Macquart, 1835"	"http://dyntaxa.se/taxon/info/2001334"	NA	"Dyntaxa"	"Psilidae sp."
"2"	"Chamaepsila"	"sp."	"Hendel, 1917"	"http://www.faunaeur.org/full_results.php?id=141187"	NA	"Fauna Europaea"	"Chamaepsila sp."
"3"	"Chamaepsila"	"atra"	"(Meigen, 1826)"	"http://dyntaxa.se/taxon/info/240941"	NA	"Dyntaxa"	"Chamaepsila atra"
"4"	"Chamaepsila"	"bicolor"	"(Meigen, 1826)"	"http://dyntaxa.se/taxon/info/240942"	NA	"Dyntaxa"	"Chamaepsila bicolor"
"5"	"Chamaepsila"	"buccata"	"(Fallén, 1826)"	"http://dyntaxa.se/taxon/info/240943"	NA	"Dyntaxa"	"Chamaepsila buccata"
"6"	"Chamaepsila"	"humeralis"	"(Zetterstedt, 1847)"	"http://dyntaxa.se/taxon/info/240944"	NA	"Dyntaxa"	"Chamaepsila humeralis"
"7"	"Chamaepsila"	"limbatella"	"(Zetterstedt, 1847)"	"http://dyntaxa.se/taxon/info/240945"	NA	"Dyntaxa"	"Chamaepsila limbatella"
"8"	"Chamaepsila"	"morio"	"(Zetterstedt, 1835)"	"http://dyntaxa.se/taxon/info/240948"	NA	"Dyntaxa"	"Chamaepsila morio"
"9"	"Chamaepsila"	"nigra"	"(Fallén, 1820)"	"http://dyntaxa.se/taxon/info/240949"	NA	"Dyntaxa"	"Chamaepsila nigra"
"10"	"Chamaepsila"	"nigricornis"	"(Meigen, 1826)"	"http://dyntaxa.se/taxon/info/240950"	NA	"Dyntaxa"	"Chamaepsila nigricornis"
"11"	"Chamaepsila"	"obscuritarsis"	"(Loew, 1856)"	"http://dyntaxa.se/taxon/info/240951"	NA	"Dyntaxa"	"Chamaepsila obscuritarsis"
"12"	"Chamaepsila"	"pallida"	"(Fallén, 1820)"	"http://dyntaxa.se/taxon/info/240952"	NA	"Dyntaxa"	"Chamaepsila pallida"
"13"	"Chamaepsila"	"pectoralis"	"(Meigen, 1826)"	"http://dyntaxa.se/taxon/info/240953"	NA	"Dyntaxa"	"Chamaepsila pectoralis"
"14"	"Chamaepsila"	"persimilis"	"(Wakerley, 1959)"	"http://dyntaxa.se/taxon/info/240954"	NA	"Dyntaxa"	"Chamaepsila persimilis"
"15"	"Chamaepsila"	"rosae"	"(J.C.Fabricius, 1794)"	"http://dyntaxa.se/taxon/info/240955"	NA	"Dyntaxa"	"Chamaepsila rosae"
"16"	"Chamaepsila"	"rufa"	"(Meigen, 1826)"	"http://dyntaxa.se/taxon/info/240956"	NA	"Dyntaxa"	"Chamaepsila rufa"
"17"	"Chamaepsila"	"clunalis"	"(Collin, 1944)"	"http://dyntaxa.se/taxon/info/250247"	NA	"Dyntaxa"	"Chamaepsila clunalis"
"18"	"Chamaepsila"	"problematica"	"Hennig, 1941"	"http://dyntaxa.se/taxon/info/250248"	NA	"Dyntaxa"	"Chamaepsila problematica"
"19"	"Chyliza"	"sp."	"Fallén, 1820"	"http://www.faunaeur.org/full_results.php?id=62910"	NA	"Fauna Europaea"	"Chyliza sp."
"20"	"Chyliza"	"annulipes"	"Macquart, 1835"	"http://dyntaxa.se/taxon/info/240958"	NA	"Dyntaxa"	"Chyliza annulipes"
"21"	"Chyliza"	"leptogaster"	"(Panzer, 1798)"	"http://dyntaxa.se/taxon/info/240959"	NA	"Dyntaxa"	"Chyliza leptogaster"
"22"	"Chyliza"	"nova"	"Collin, 1944"	"http://dyntaxa.se/taxon/info/240960"	NA	"Dyntaxa"	"Chyliza nova"
"23"	"Chyliza"	"vittata"	"Meigen, 1826"	"http://dyntaxa.se/taxon/info/240961"	NA	"Dyntaxa"	"Chyliza vittata"
"24"	"Loxocera"	"sp."	" Meigen, 1803"	"http://dyntaxa.se/taxon/info/1011059"	NA	"Dyntaxa"	"Loxocera sp."
"25"	"Loxocera"	"aristata"	"(Panzer, 1801)"	"http://dyntaxa.se/taxon/info/240963"	NA	"Dyntaxa"	"Loxocera aristata"
"26"	"Psila"	"sp."	"Meigen, 1803"	"http://www.faunaeur.org/full_results.php?id=141182"	NA	"Fauna Europaea"	"Psila sp."
"27"	"Psila"	"fimetaria"	"(Linnaeus, 1761)"	"http://dyntaxa.se/taxon/info/240968"	NA	"Dyntaxa"	"Psila fimetaria"
"28"	"Psila"	"merdaria"	"Collin, 1944"	"http://dyntaxa.se/taxon/info/240969"	NA	"Dyntaxa"	"Psila merdaria"
"29"	"Psilosoma"	"sp."	"Zetterstedt, 1860"	"http://www.faunaeur.org/full_results.php?id=141221"	NA	"Fauna Europaea"	"Psilosoma sp."
