"Genus"	"Species"	"Author"	"Total"	"TrapID"	"EventID"	"StartDate"
"1"	"Omphale"	"versicolor"	"(Nees, 1834)"	1	52	736	"2004.v.28"
"2"	"Omphale"	"chryseis"	"Graham, 1963"	1	2006	2040	"2008.vii.12"
"3"	"Omphale"	"versicolor"	"(Nees, 1834)"	1	1000	1320	"2005.vi.04"
"4"	"Omphale"	"versicolor"	"(Nees, 1834)"	1	10	396	"2003.vi.23"
"5"	"Omphale"	"chryseis"	"Graham, 1963"	3	2006	2040	"2008.vii.12"
"6"	"Omphale"	"obscura"	"Hansson, 1997"	1	9	1611	"2005.vii.16"
"7"	"Omphale"	"obscura"	"Hansson, 1997"	1	10	400	"2003.viii.26"
"8"	"Omphale"	"obscura"	"Hansson, 1997"	1	11	411	"2003.vii.23"
"9"	"Omphale"	"sulciscuta"	"(Hansson, 2012)"	1	28	1459	"2004.viii.02"
"10"	"Omphale"	"admirabilis"	"(Westwood, 1833)"	1	31	515	"2004.iv.14"
"11"	"Omphale"	"brevis"	"Graham, 1963"	2	9	355	"2003.vi.18"
"12"	"Omphale"	"versicolor"	"(Nees, 1834)"	2	50	1222	"2004.vi.23"
"13"	"Omphale"	"versicolor"	"(Nees, 1834)"	4	36	824	"2004.vi.10"
"14"	"Omphale"	"versicolor"	"(Nees, 1834)"	1	36	826	"2004.vii.03"
"15"	"Omphale"	"versicolor"	"(Nees, 1834)"	1	50	1223	"2004.vii.08"
"16"	"Omphale"	"versicolor"	"(Nees, 1834)"	1	1000	1320	"2005.vi.04"
"17"	"Omphale"	"versicolor"	"(Nees, 1834)"	8	58	755	"2004.v.28"
"18"	"Omphale"	"sp."	"Haliday, 1833"	4	50	1222	"2004.vi.23"
"19"	"Omphale"	"sp."	"Haliday, 1833"	17	36	827	"2004.vii.14"
"20"	"Omphale"	"sp."	"Haliday, 1833"	3	36	826	"2004.vii.03"
"21"	"Omphale"	"sp."	"Haliday, 1833"	9	10	396	"2003.vi.23"
"22"	"Omphale"	"sp."	"Haliday, 1833"	4	50	1223	"2004.vii.08"
"23"	"Omphale"	"theana"	"(Walker, 1839)"	1	23	431	"2003.vii.10"
"24"	"Omphale"	"isander"	"(Walker, 1839)"	1	53	187	"2003.viii.01"
"25"	"Omphale"	"isander"	"(Walker, 1839)"	2	1002	1378	"2005.vii.23"
"26"	"Omphale"	"clypealis"	"(Thomson, 1878)"	3	28	488	"2003.vii.08"
"27"	"Omphale"	"clypealis"	"(Thomson, 1878)"	2	2046	2054	"2008.vii.01"
"28"	"Omphale"	"clypealis"	"(Thomson, 1878)"	1	28	488	"2003.vii.08"
"29"	"Omphale"	"telephe"	"(Walker, 1839)"	1	42	1166	"2004.vii.04"
"30"	"Omphale"	"lugens"	"(Nees, 1834)"	1	23	449	"2004.v.20"
"31"	"Omphale"	"lugens"	"(Nees, 1834)"	1	3	85	"2003.vii.02"
"32"	"Omphale"	"lugens"	"(Nees, 1834)"	1	36	824	"2004.vi.10"
"33"	"Omphale"	"lugens"	"(Nees, 1834)"	2	34	1092	"2004.vi.15"
"34"	"Omphale"	"lugens"	"(Nees, 1834)"	2	1001	1728	"2006.v.18"
"35"	"Omphale"	"connectens"	"Graham, 1963"	3	9	1611	"2005.vii.16"
"36"	"Omphale"	"phruron"	"(Walker, 1839)"	1	36	827	"2004.vii.14"
"37"	"Omphale"	"phruron"	"(Walker, 1839)"	1	2006	2040	"2008.vii.12"
"38"	"Omphale"	"chryseis"	"Graham, 1963"	20	2006	2040	"2008.vii.12"
"39"	"Omphale"	"chryseis"	"Graham, 1963"	3	28	1459	"2004.viii.02"
"40"	"Omphale"	"chryseis"	"Graham, 1963"	1	28	488	"2003.vii.08"
"41"	"Omphale"	"salicis"	"(Haliday, 1833)"	1	1002	1378	"2005.vii.23"
"42"	"Omphale"	"versicolor"	"(Nees, 1834)"	11	58	755	"2004.v.28"
"43"	"Omphale"	"versicolor"	"(Nees, 1834)"	1	1001	1728	"2006.v.18"
"44"	"Omphale"	"versicolor"	"(Nees, 1834)"	2	42	1166	"2004.vii.04"
"45"	"Omphale"	"versicolor"	"(Nees, 1834)"	1	30	1717	"2005.vi.16"
"46"	"Omphale"	"versicolor"	"(Nees, 1834)"	1	33	1078	"2004.v.30"
"47"	"Omphale"	"versicolor"	"(Nees, 1834)"	1	50	1222	"2004.vi.23"
"48"	"Omphale"	"versicolor"	"(Nees, 1834)"	1	3	85	"2003.vii.02"
"49"	"Asecodes"	"erxias"	"(Walker 1848)"	3	9	1612	"2005.viii.06"
"50"	"Ionympha"	"carne"	"(Walker, 1839)"	1	36	829	"2004.ix.08"
"51"	"Ionympha"	"carne"	"(Walker, 1839)"	1	28	1459	"2004.viii.02"
"52"	"Ionympha"	"ochus"	"(Walker, 1839)"	1	31	1061	"2004.vii.30"
"53"	"Ionympha"	"ochus"	"(Walker, 1839)"	1	9	1611	"2005.vii.16"
"54"	"Asecodes"	"lucens"	"(Nees 1834)"	7	9	1611	"2005.vii.16"
"55"	"Asecodes"	"congruens"	"(Nees 1834)"	1	1001	1728	"2006.v.18"
"56"	"Omphale"	"sp."	"Haliday, 1833"	1	28	1459	"2004.viii.02"
"57"	"Omphale"	"sp."	"Haliday, 1833"	1	3	799	"2004.vii.20"
"58"	"Omphale"	"sp."	"Haliday, 1833"	1	11	411	"2003.vii.23"
"59"	"Omphale"	"sp."	"Haliday, 1833"	1	42	1166	"2004.vii.04"
"60"	"Omphale"	"sp."	"Haliday, 1833"	1	1002	1378	"2005.vii.23"
"61"	"Omphale"	"sp."	"Haliday, 1833"	1	50	1223	"2004.vii.08"
"62"	"Omphale"	"sp in aetius-group"	"sp. indet."	1	36	828	"2004.viii.06"
"63"	"Omphale"	"sp in aetius-group"	"sp. indet."	9	10	397	"2003.vii.08"
"64"	"Omphale"	"sp in aetius-group"	"sp. indet."	1	31	1061	"2004.vii.30"
"65"	"Omphale"	"sp in aetius-group"	"sp. indet."	4	36	829	"2004.ix.08"
"66"	"Omphale"	"sp in aetius-group"	"sp. indet."	1	24	1310	"2004.vii.22"
"67"	"Omphale"	"sp in aetius-group"	"sp. indet."	1	17	1515	"2005.vi.15"
"68"	"Omphale"	"sp in aetius-group"	"sp. indet."	2	1000	1322	"2005.vi.27"
"69"	"Omphale"	"sp in aetius-group"	"sp. indet."	1	25	454	"2003.x.03"
"70"	"Omphale"	"sp in aetius-group"	"sp. indet."	1	33	1078	"2004.v.30"
"71"	"Omphale"	"sp in aetius-group"	"sp. indet."	1	30	1717	"2005.vi.16"
"72"	"Omphale"	"sp in aetius-group"	"sp. indet."	1	28	1459	"2004.viii.02"
"73"	"Omphale"	"sp in aetius-group"	"sp. indet."	2	1008	1345	"2005.vii.05"
"74"	"Omphale"	"sp in aetius-group"	"sp. indet."	2	1001	1728	"2006.v.18"
"75"	"Omphale"	"sp in aetius-group"	"sp. indet."	1	24	1673	"2005.v.31"
"76"	"Omphale"	"sp in aetius-group"	"sp. indet."	1	48	1208	"2004.vii.08"
"77"	"Omphale"	"sp in aetius-group"	"sp. indet."	1	4	809	"2004.vi.21"
"78"	"Omphale"	"sp in aetius-group"	"sp. indet."	1	1001	1728	"2006.v.18"
"79"	"Omphale"	"sp in aetius-group"	"sp. indet."	1	17	275	"2003.ix.10"
"80"	"Omphale"	"sp in aetius-group"	"sp. indet."	1	50	1229	"2004.ix.21"
"81"	"Omphale"	"sp in aetius-group"	"sp. indet."	1	50	1223	"2004.vii.08"
