"Genus"	"Species"	"Author"	"GUID"	"Source"	"Taxon.name..computed."
"1"	"Achrysocharoides"	"sp."	"Girault, 1913"	"http://dyntaxa.se/taxon/info/1002015"	"Dyntaxa"	"Achrysocharoides sp."
"2"	"Achrysocharoides"	"acerianus"	"(Askew, 1974)"	"http://dyntaxa.se/taxon/info/206735"	"Dyntaxa"	"Achrysocharoides acerianus"
"3"	"Achrysocharoides"	"atys"	"(Walker, 1839)"	"http://dyntaxa.se/taxon/info/206736"	"Dyntaxa"	"Achrysocharoides atys"
"4"	"Achrysocharoides"	"bukkensis"	"(Erdös, 1958)"	"http://dyntaxa.se/taxon/info/206737"	"Dyntaxa"	"Achrysocharoides bukkensis"
"5"	"Achrysocharoides"	"butus"	"(Walker, 1839)"	"http://dyntaxa.se/taxon/info/206738"	"Dyntaxa"	"Achrysocharoides butus"
"6"	"Achrysocharoides"	"cilla"	"(Walker, 1839)"	"http://dyntaxa.se/taxon/info/206739"	"Dyntaxa"	"Achrysocharoides cilla"
"7"	"Achrysocharoides"	"cruentus"	"Hansson, 1983"	"http://dyntaxa.se/taxon/info/206740"	"Dyntaxa"	"Achrysocharoides cruentus"
"8"	"Achrysocharoides"	"insignitellae"	"(Erdös, 1966)"	"http://dyntaxa.se/taxon/info/206741"	"Dyntaxa"	"Achrysocharoides insignitellae"
"9"	"Achrysocharoides"	"latreillii"	"(Curtis, 1826)"	"http://dyntaxa.se/taxon/info/206742"	"Dyntaxa"	"Achrysocharoides latreillii"
"10"	"Achrysocharoides"	"niveipes"	"(Thomson, 1878)"	"http://dyntaxa.se/taxon/info/206743"	"Dyntaxa"	"Achrysocharoides niveipes"
"11"	"Achrysocharoides"	"splendens"	"(Delucchi, 1954)"	"http://dyntaxa.se/taxon/info/206744"	"Dyntaxa"	"Achrysocharoides splendens"
"12"	"Achrysocharoides"	"zwoelferi"	"(Delucchi, 1954)"	"http://dyntaxa.se/taxon/info/206745"	"Dyntaxa"	"Achrysocharoides zwoelferi"
"13"	"Achrysocharoides"	"nigricoxae"	"(Delucchi, 1954)"	"http://dyntaxa.se/taxon/info/251147"	"Dyntaxa"	"Achrysocharoides nigricoxae"
"14"	"Achrysocharoides"	"platanoidae"	"Hansson & Shevtsova, 2010"	"http://dyntaxa.se/taxon/info/258579"	"Dyntaxa"	"Achrysocharoides platanoidae"
"15"	"Ceranisus"	"sp."	"Walker, 1841"	"http://dyntaxa.se/taxon/info/1002026"	"Dyntaxa"	"Ceranisus sp."
"16"	"Ceranisus"	"menes"	"(Walker, 1839)"	"http://dyntaxa.se/taxon/info/206926"	"Dyntaxa"	"Ceranisus menes"
"17"	"Ceranisus"	"pacuvius"	"(Walker, 1838)"	"http://dyntaxa.se/taxon/info/206927"	"Dyntaxa"	"Ceranisus pacuvius"
"18"	"Chrysocharis"	"sp."	"Förster, 1856"	"http://dyntaxa.se/taxon/info/1002027"	"Dyntaxa"	"Chrysocharis sp."
"19"	"Chrysocharis"	"acoris"	"(Walker, 1839)"	"http://dyntaxa.se/taxon/info/206928"	"Dyntaxa"	"Chrysocharis acoris"
"20"	"Chrysocharis"	"acutigaster"	"Hansson, 1985"	"http://dyntaxa.se/taxon/info/206929"	"Dyntaxa"	"Chrysocharis acutigaster"
"21"	"Chrysocharis"	"albicoxis"	"Erdös, 1958"	"http://dyntaxa.se/taxon/info/206930"	"Dyntaxa"	"Chrysocharis albicoxis"
"22"	"Chrysocharis"	"amanus"	"(Walker, 1839)"	"http://dyntaxa.se/taxon/info/206931"	"Dyntaxa"	"Chrysocharis amanus"
"23"	"Chrysocharis"	"amasis"	"(Walker, 1839)"	"http://dyntaxa.se/taxon/info/206932"	"Dyntaxa"	"Chrysocharis amasis"
"24"	"Chrysocharis"	"amyite"	"(Walker, 1839)"	"http://dyntaxa.se/taxon/info/206933"	"Dyntaxa"	"Chrysocharis amyite"
"25"	"Chrysocharis"	"antoni"	"Hansson, 1985"	"http://dyntaxa.se/taxon/info/206934"	"Dyntaxa"	"Chrysocharis antoni"
"26"	"Chrysocharis"	"argyropezae"	"Graham, 1963"	"http://dyntaxa.se/taxon/info/206935"	"Dyntaxa"	"Chrysocharis argyropezae"
"27"	"Chrysocharis"	"assis"	"(Walker, 1839)"	"http://dyntaxa.se/taxon/info/206936"	"Dyntaxa"	"Chrysocharis assis"
"28"	"Chrysocharis"	"avia"	"Hansson, 1985"	"http://dyntaxa.se/taxon/info/206937"	"Dyntaxa"	"Chrysocharis avia"
"29"	"Chrysocharis"	"bestiola"	"Hansson, 1985"	"http://dyntaxa.se/taxon/info/206938"	"Dyntaxa"	"Chrysocharis bestiola"
"30"	"Chrysocharis"	"budensis"	"Erdös, 1954"	"http://dyntaxa.se/taxon/info/206939"	"Dyntaxa"	"Chrysocharis budensis"
"31"	"Chrysocharis"	"cerris"	"Erdös, 1961"	"http://dyntaxa.se/taxon/info/206940"	"Dyntaxa"	"Chrysocharis cerris"
"32"	"Chrysocharis"	"collaris"	"Graham, 1963"	"http://dyntaxa.se/taxon/info/206941"	"Dyntaxa"	"Chrysocharis collaris"
"33"	"Chrysocharis"	"crassiscapus"	"(Thomson, 1878)"	"http://dyntaxa.se/taxon/info/206942"	"Dyntaxa"	"Chrysocharis crassiscapus"
"34"	"Chrysocharis"	"elongata"	"(Thomson, 1978)"	"http://dyntaxa.se/taxon/info/206943"	"Dyntaxa"	"Chrysocharis elongata"
"35"	"Chrysocharis"	"entedonoides"	"(Walker, 1872)"	"http://dyntaxa.se/taxon/info/206944"	"Dyntaxa"	"Chrysocharis entedonoides"
"36"	"Chrysocharis"	"equiseti"	"Hansson, 1985"	"http://dyntaxa.se/taxon/info/206945"	"Dyntaxa"	"Chrysocharis equiseti"
"37"	"Chrysocharis"	"eurynota"	"Graham, 1963"	"http://dyntaxa.se/taxon/info/206946"	"Dyntaxa"	"Chrysocharis eurynota"
"38"	"Chrysocharis"	"gemma"	"(Walker, 1839)"	"http://dyntaxa.se/taxon/info/206947"	"Dyntaxa"	"Chrysocharis gemma"
