"Genus"	"Species"	"Author"	"Total"	"TrapID"	"EventID"	"StartDate"
"1"	"Ancistrocerus"	"antilope"	"(Panzer, 1798)"	1	7	858	"2004.vi.27"
"2"	"Ancistrocerus"	"antilope"	"(Panzer, 1798)"	1	41	1159	"2004.viii.03"
"3"	"Ancistrocerus"	"ichneumonideus"	"(Ratzeburg, 1844)"	1	2	787	"2004.vi.21"
"4"	"Ancistrocerus"	"ichneumonideus"	"(Ratzeburg, 1844)"	1	29	1395	"2005.vi.21"
"5"	"Ancistrocerus"	"ichneumonideus"	"(Ratzeburg, 1844)"	1	41	1159	"2004.viii.03"
"6"	"Ancistrocerus"	"trifasciatus"	"(Müller, 1776)"	1	2	82	"2003.vii.02"
"7"	"Ancistrocerus"	"trifasciatus"	"(Müller, 1776)"	1	3	109	"2003.viii.04"
"8"	"Ancistrocerus"	"trifasciatus"	"(Müller, 1776)"	1	4	114	"2003.viii.04"
"9"	"Ancistrocerus"	"trifasciatus"	"(Müller, 1776)"	1	16	1667	"2005.vii.05"
"10"	"Ancistrocerus"	"trifasciatus"	"(Müller, 1776)"	1	22	1725	"2006.v.20"
"11"	"Ancistrocerus"	"trifasciatus"	"(Müller, 1776)"	1	24	1674	"2005.vii.20"
"12"	"Ancistrocerus"	"trifasciatus"	"(Müller, 1776)"	2	28	1467	"2005.vii.17"
"13"	"Ancistrocerus"	"trifasciatus"	"(Müller, 1776)"	2	41	1159	"2004.viii.03"
"14"	"Ancistrocerus"	"trifasciatus"	"(Müller, 1776)"	1	1001	1333	"2005.vii.12"
"15"	"Eumenes"	"coronatus"	"(Panzer, 1799)"	1	7	858	"2004.vi.27"
"16"	"Euodynerus"	"quadrifasciatus"	"(J.C.Fabricius, 1793)"	1	28	1467	"2005.vii.17"
"17"	"Stenodynerus"	"picticrus"	"(Thomson, 1874)"	1	41	1159	"2004.viii.03"
"18"	"Symmorphus"	"allobrogus"	"(Saussure, 1855)"	1	8	1602	"2005.vi.20"
"19"	"Symmorphus"	"angustatus"	"(Zetterstedt, 1838)"	1	27	487	"2004.vi.02"
"20"	"Symmorphus"	"bifasciatus"	"(Linnaeus, 1761)"	1	2	82	"2003.vii.02"
"21"	"Symmorphus"	"bifasciatus"	"(Linnaeus, 1761)"	2	8	1602	"2005.vi.20"
"22"	"Symmorphus"	"bifasciatus"	"(Linnaeus, 1761)"	2	11	411	"2003.vii.23"
"23"	"Symmorphus"	"bifasciatus"	"(Linnaeus, 1761)"	4	25	450	"2003.vi.29"
"24"	"Symmorphus"	"bifasciatus"	"(Linnaeus, 1761)"	1	25	450	"2003.vi.29"
"25"	"Symmorphus"	"bifasciatus"	"(Linnaeus, 1761)"	2	30	1055	"2004.vii.03"
"26"	"Symmorphus"	"bifasciatus"	"(Linnaeus, 1761)"	1	43	1171	"2004.vii.28"
"27"	"Symmorphus"	"bifasciatus"	"(Linnaeus, 1761)"	1	54	1254	"2004.viii.05"
"28"	"Symmorphus"	"bifasciatus"	"(Linnaeus, 1761)"	1	1001	1333	"2005.vii.12"
"29"	"Symmorphus"	"gracilis"	"(Brullé, 1832)"	1	8	1602	"2005.vi.20"
