"Genus"	"Species"	"Author"	"GUID"	"Source"	"Taxon.name..computed."
"1"	"Sapyga"	"sp."	"Latreille, 1796"	"https://www.dyntaxa.se/taxon/info/1009573"	"Dyntaxa"	"Sapyga sp."
"2"	"Sapyga"	"clavicornis"	"(Linnaeus, 1758)"	"https://www.dyntaxa.se/taxon/info/234171"	"Dyntaxa"	"Sapyga clavicornis"
"3"	"Sapyga"	"quinquepunctata"	"(J.C.Fabricius, 1781)"	"https://www.dyntaxa.se/taxon/info/234172"	"Dyntaxa"	"Sapyga quinquepunctata"
"4"	"Sapyga"	"similis"	"(J.C.Fabricius, 1793)"	"https://www.dyntaxa.se/taxon/info/234173"	"Dyntaxa"	"Sapyga similis"
"5"	"Ceropales"	"sp."	"Latreille, 1796"	"https://www.dyntaxa.se/taxon/info/1006922"	"Dyntaxa"	"Ceropales sp."
"6"	"Ceropales"	"variegata"	"(J.C.Fabricius, 1798)"	"https://www.dyntaxa.se/taxon/info/100574"	"Dyntaxa"	"Ceropales variegata"
"7"	"Ceropales"	"maculata"	"(J.C.Fabricius, 1775)"	"https://www.dyntaxa.se/taxon/info/234175"	"Dyntaxa"	"Ceropales maculata"
"8"	"Auplopus"	"sp."	"Spinola, 1841"	"https://www.dyntaxa.se/taxon/info/1006921"	"Dyntaxa"	"Auplopus sp."
"9"	"Auplopus"	"albifrons"	"(Dalman, 1823)"	"https://www.dyntaxa.se/taxon/info/100435"	"Dyntaxa"	"Auplopus albifrons"
"10"	"Auplopus"	"carbonarius"	"(Scopoli, 1763)"	"https://www.dyntaxa.se/taxon/info/234176"	"Dyntaxa"	"Auplopus carbonarius"
"11"	"Dipogon"	"sp."	"Fox, 1897"	"https://www.dyntaxa.se/taxon/info/1006923"	"Dyntaxa"	"Dipogon sp."
"12"	"Dipogon"	"vechti"	"Day, 1979"	"https://www.dyntaxa.se/taxon/info/100840"	"Dyntaxa"	"Dipogon vechti"
"13"	"Dipogon"	"bifasciatus"	"(Geoffroy, 1785)"	"https://www.dyntaxa.se/taxon/info/234178"	"Dyntaxa"	"Dipogon bifasciatus"
"14"	"Dipogon"	"subintermedius"	"(Magretti, 1886)"	"https://www.dyntaxa.se/taxon/info/234179"	"Dyntaxa"	"Dipogon subintermedius"
"15"	"Dipogon"	"variegatus"	"(Linnaeus, 1758)"	"https://www.dyntaxa.se/taxon/info/234180"	"Dyntaxa"	"Dipogon variegatus"
