"Genus"	"Species"	"Author"	"Total"	"TrapID"	"EventID"	"StartDate"
"1"	"Odynerus"	"melanocephalus"	"(Gmelin 1790)"	1	28	1465	"2005.vi.06"
"2"	"Ancistrocerus"	"ichneumonideus"	"(Ratzeburg 1844)"	1	28	1465	"2005.vi.06"
"3"	"Odynerus"	"melanocephalus"	"(Gmelin 1790)"	1	28	1464	"2005.iv.10"
"4"	"Ancistrocerus"	"nigricornis"	"(Curtis 1826)"	1	28	1464	"2005.iv.10"
"5"	"Ancistrocerus"	"trifasciatus"	"(Müller 1776)"	1	38	1120	"2004.viii.03"
"6"	"Ancistrocerus"	"gazella"	"(Panzer 1798)"	1	2046	2053	"2008.vi.15"
"7"	"Ancistrocerus"	"trifasciatus"	"(Müller 1776)"	1	41	1160	"2004.viii.06"
"8"	"Ancistrocerus"	"parietinus"	"(Linnaeus 1761)"	1	43	1170	"2004.vii.14"
"9"	"Ancistrocerus"	"parietinus"	"(Linnaeus 1761)"	1	38	601	"2004.v.27"
"10"	"Eumenes"	"pedunculatus"	"(Panzer 1799)"	1	38	601	"2004.v.27"
"11"	"Symmorphus"	"crassicornis"	"(Panzer 1798)"	3	9	356	"2003.vii.06"
"12"	"Symmorphus"	"gracilis"	"(Brullé 1832)"	1	6	368	"2003.vi.17"
"13"	"Symmorphus"	"gracilis"	"(Brullé 1832)"	1	2046	2052	"2008.vi.01"
"14"	"Symmorphus"	"connexus"	"(Curtis 1826)"	1	1008	1739	"2006.vi.22"
