"Genus"	"Species"	"Author"	"GUID"	"Taxon.name..computed."
"1"	"Vespidae"	NA	NA	"https://www.dyntaxa.se/taxon/info/2001174"	"Vespidae"
"2"	"Discoelius"	NA	"Latreille, 1809"	"https://www.dyntaxa.se/taxon/info/1006910"	"Discoelius"
"3"	"Discoelius"	"dufourii"	"Lepeletier, 1841"	"https://www.dyntaxa.se/taxon/info/100843"	"Discoelius dufourii"
"4"	"Discoelius"	"zonalis"	"(Panzer, 1801)"	"https://www.dyntaxa.se/taxon/info/100844"	"Discoelius zonalis"
"5"	"Eumenes"	NA	"Latreille, 1802"	"https://www.dyntaxa.se/taxon/info/1006911"	"Eumenes"
"6"	"Eumenes"	"papillarius"	"(Christ, 1791)"	"https://www.dyntaxa.se/taxon/info/100940"	"Eumenes papillarius"
"7"	"Eumenes"	"pedunculatus"	"(Panzer, 1799)"	"https://www.dyntaxa.se/taxon/info/232902"	"Eumenes pedunculatus"
"8"	"Eumenes"	"coarctatus"	"(Linnaeus, 1758)"	"https://www.dyntaxa.se/taxon/info/232903"	"Eumenes coarctatus"
"9"	"Eumenes"	"coronatus"	"(Panzer, 1799)"	"https://www.dyntaxa.se/taxon/info/232904"	"Eumenes coronatus"
"10"	"Pterocheilus"	NA	"Klug, 1805"	"https://www.dyntaxa.se/taxon/info/1006912"	"Pterocheilus"
"11"	"Pterocheilus"	"phaleratus"	"(Panzer, 1797)"	"https://www.dyntaxa.se/taxon/info/101668"	"Pterocheilus phaleratus"
"12"	"Stenodynerus"	NA	"Saussure, 1863"	"https://www.dyntaxa.se/taxon/info/1006913"	"Stenodynerus"
"13"	"Stenodynerus"	"bluethgeni"	"van der Vecht, 1971"	"https://www.dyntaxa.se/taxon/info/101827"	"Stenodynerus bluethgeni"
"14"	"Stenodynerus"	"dentisquama"	"(Thomson, 1870)"	"https://www.dyntaxa.se/taxon/info/101828"	"Stenodynerus dentisquama"
"15"	"Stenodynerus"	"picticrus"	"(Thomson, 1874)"	"https://www.dyntaxa.se/taxon/info/232884"	"Stenodynerus picticrus"
"16"	"Symmorphus"	NA	"Wesmael, 1836"	"https://www.dyntaxa.se/taxon/info/1006914"	"Symmorphus"
