"Genus"	"Species"	"Author"	"Total"	"TrapID"	"EventID"	"StartDate"
"1"	"Calosota"	"aestivalis"	"Curtis, 1836"	1	1000	1322	"2005.vi.27"
"2"	"Eupelmus"	"linearis"	"Forster 1860"	4	22	779	"2004.viii.01"
"3"	"Eupelmus"	"linearis"	"Forster 1860"	1	2046	2054	"2008.vii.01"
"4"	"Eupelmus"	"nubilipennis"	"Förster, 1860"	1	28	1459	"2004.viii.02"
"5"	"Eupelmus"	"nubilipennis"	"Förster, 1860"	1	1004	1899	"2005.ix.20"
"6"	"Eupelmus"	"urozonus"	"Dalman, 1820"	1	28	1464	"2005.iv.10"
"7"	"Eupelmus"	"urozonus"	"Dalman, 1820"	5	30	1717	"2005.vi.16"
"8"	"Eupelmus"	"vesicularis"	"(Retzius, 1783)"	2	22	779	"2004.viii.01"
"9"	"Eupelmus"	"vesicularis"	"(Retzius, 1783)"	1	28	1459	"2004.viii.02"
"10"	"Eupelmus"	"vesicularis"	"(Retzius, 1783)"	2	28	1467	"2005.vii.17"
"11"	"Eupelmus"	"vesicularis"	"(Retzius, 1783)"	1	24	1674	"2005.vii.20"
"12"	"Eupelmus"	"vesicularis"	"(Retzius, 1783)"	1	1001	1728	"2006.v.18"
