"Genus"	"Species"	"Author"	"GUID"	"Source"	"Taxon.name..computed."
"1"	"Anastatus"	"sp."	"Motschulsky, 1859"	"https://www.dyntaxa.se/taxon/info/1002077"	"Dyntaxa"	"Anastatus sp."
"2"	"Anastatus"	"bifasciatus"	"(Geoffroy, 1785)"	"https://www.dyntaxa.se/taxon/info/207271"	"Dyntaxa"	"Anastatus bifasciatus"
"3"	"Anastatus"	"giraudi"	"(Ruschka, 1921)"	"https://www.dyntaxa.se/taxon/info/207272"	"Dyntaxa"	"Anastatus giraudi"
"4"	"Eupelmus"	"sp."	"Dalman, 1820"	"https://www.dyntaxa.se/taxon/info/1002079"	"Dyntaxa"	"Eupelmus sp."
"5"	"Eupelmus"	"pini"	"Taylor, 1927"	"https://www.dyntaxa.se/taxon/info/207277"	"Dyntaxa"	"Eupelmus pini"
"6"	"Eupelmus"	"atropurpureus"	"Dalman, 1820"	"https://www.dyntaxa.se/taxon/info/207278"	"Dyntaxa"	"Eupelmus atropurpureus"
"7"	"Eupelmus"	"cerris"	"Förster, 1860"	"https://www.dyntaxa.se/taxon/info/207279"	"Dyntaxa"	"Eupelmus cerris"
"8"	"Eupelmus"	"memnonius"	"Dalman, 1820"	"https://www.dyntaxa.se/taxon/info/207280"	"Dyntaxa"	"Eupelmus memnonius"
"9"	"Eupelmus"	"nubilipennis"	"Förster, 1860"	"https://www.dyntaxa.se/taxon/info/207281"	"Dyntaxa"	"Eupelmus nubilipennis"
"10"	"Eupelmus"	"urozonus"	"Dalman, 1820"	"https://www.dyntaxa.se/taxon/info/207282"	"Dyntaxa"	"Eupelmus urozonus"
"11"	"Eupelmus"	"schmiedeknechti"	"(Ruschka, 1921)"	"https://www.dyntaxa.se/taxon/info/207283"	"Dyntaxa"	"Eupelmus schmiedeknechti"
"12"	"Eupelmus"	"vesicularis"	"(Retzius, 1783)"	"https://www.dyntaxa.se/taxon/info/207284"	"Dyntaxa"	"Eupelmus vesicularis"
"13"	"Merostenus"	"sp."	"Walker, 1837"	"https://www.dyntaxa.se/taxon/info/1002081"	"Dyntaxa"	"Merostenus sp."
"14"	"Merostenus"	"excavatus"	"(Dalman, 1820)"	"https://www.dyntaxa.se/taxon/info/207286"	"Dyntaxa"	"Merostenus excavatus"
"15"	"Calosota"	"sp."	"Curtis, 1836"	"https://www.dyntaxa.se/taxon/info/1002078"	"Dyntaxa"	"Calosota sp."
"16"	"Calosota"	"acron"	"(Walker, 1848)"	"https://www.dyntaxa.se/taxon/info/207273"	"Dyntaxa"	"Calosota acron"
"17"	"Calosota"	"aestivalis"	"Curtis, 1836"	"https://www.dyntaxa.se/taxon/info/207274"	"Dyntaxa"	"Calosota aestivalis"
"18"	"Calosota"	"vernalis"	"Curtis, 1836"	"https://www.dyntaxa.se/taxon/info/207276"	"Dyntaxa"	"Calosota vernalis"
"19"	"Eusandalum"	"sp."	"Ratzeburg, 1852"	"https://www.dyntaxa.se/taxon/info/1002080"	"Dyntaxa"	"Eusandalum sp."
"20"	"Eusandalum"	"coronatum"	"(Thomson, 1876)"	"https://www.dyntaxa.se/taxon/info/207285"	"Dyntaxa"	"Eusandalum coronatum"
"21"	"Eupelmus"	"annulatus"	"Nees 1834"	"urn:lsid:faunaeur.org:taxname:72735"	"Fauna Europaea"	"Eupelmus annulatus"
"22"	"Eupelmus"	"linearis"	"Forster 1860"	"urn:lsid:faunaeur.org:taxname:72769"	"Fauna Europaea"	"Eupelmus linearis"
"23"	"Eupelmus"	"martellii"	"Masi 1941"	"urn:lsid:faunaeur.org:taxname:72774"	"Fauna Europaea"	"Eupelmus martellii"
"24"	"Eupelmus"	"spongipartus"	"Forster 1860"	"urn:lsid:faunaeur.org:taxname:454683"	"Fauna Europaea"	"Eupelmus spongipartus"
