"Genus"	"Species"	"Author"	"Total"	"TrapID"	"EventID"	"StartDate"
"1"	"Brachygaster"	"minutus"	"(Olivier, 1792)"	1	1	308	"2003.vii.11"
"2"	"Brachygaster"	"minutus"	"(Olivier, 1792)"	1	2	784	"2003.xi.04"
"3"	"Brachygaster"	"minutus"	"(Olivier, 1792)"	5	3	85	"2003.vii.02"
"4"	"Brachygaster"	"minutus"	"(Olivier, 1792)"	3	3	109	"2003.viii.04"
"5"	"Brachygaster"	"minutus"	"(Olivier, 1792)"	1	3	798	"2004.vi.21"
"6"	"Brachygaster"	"minutus"	"(Olivier, 1792)"	6	3	799	"2004.vii.20"
"7"	"Brachygaster"	"minutus"	"(Olivier, 1792)"	1	3	800	"2004.viii.11"
"8"	"Brachygaster"	"minutus"	"(Olivier, 1792)"	1	4	89	"2003.vii.21"
"9"	"Brachygaster"	"minutus"	"(Olivier, 1792)"	2	4	810	"2004.vii.20"
"10"	"Brachygaster"	"minutus"	"(Olivier, 1792)"	3	5	765	"2004.vi.30"
"11"	"Brachygaster"	"minutus"	"(Olivier, 1792)"	8	6	369	"2003.vii.02"
"12"	"Brachygaster"	"minutus"	"(Olivier, 1792)"	8	6	370	"2003.vii.29"
"13"	"Brachygaster"	"minutus"	"(Olivier, 1792)"	13	6	371	"2003.viii.12"
"14"	"Brachygaster"	"minutus"	"(Olivier, 1792)"	1	12	892	"2004.vii.17"
"15"	"Brachygaster"	"minutus"	"(Olivier, 1792)"	1	13	1645	"2005.vii.20"
"16"	"Brachygaster"	"minutus"	"(Olivier, 1792)"	1	14	1654	"2005.vii.19"
"17"	"Brachygaster"	"minutus"	"(Olivier, 1792)"	1	18	344	"2004.vii.30"
"18"	"Brachygaster"	"minutus"	"(Olivier, 1792)"	6	20	233	"2003.vi.25"
"19"	"Brachygaster"	"minutus"	"(Olivier, 1792)"	1	20	234	"2003.vii.20"
"20"	"Brachygaster"	"minutus"	"(Olivier, 1792)"	1	20	1499	"2005.viii.02"
"21"	"Brachygaster"	"minutus"	"(Olivier, 1792)"	2	22	244	"2003.vi.25"
"22"	"Brachygaster"	"minutus"	"(Olivier, 1792)"	3	22	776	"2004.vi.01"
"23"	"Brachygaster"	"minutus"	"(Olivier, 1792)"	1	22	776	"2004.vi.01"
"24"	"Brachygaster"	"minutus"	"(Olivier, 1792)"	1	22	777	"2004.vi.23"
"25"	"Brachygaster"	"minutus"	"(Olivier, 1792)"	2	22	779	"2004.viii.01"
"26"	"Brachygaster"	"minutus"	"(Olivier, 1792)"	2	22	1314	"2005.vi.15"
"27"	"Brachygaster"	"minutus"	"(Olivier, 1792)"	13	22	1315	"2005.vi.29"
"28"	"Brachygaster"	"minutus"	"(Olivier, 1792)"	4	22	1316	"2005.vii.18"
"29"	"Brachygaster"	"minutus"	"(Olivier, 1792)"	3	22	1363	"2005.viii.01"
"30"	"Brachygaster"	"minutus"	"(Olivier, 1792)"	1	22	1364	"2005.viii.19"
"31"	"Brachygaster"	"minutus"	"(Olivier, 1792)"	1	22	1725	"2006.v.20"
"32"	"Brachygaster"	"minutus"	"(Olivier, 1792)"	3	22	1729	"2006.vi.28"
"33"	"Brachygaster"	"minutus"	"(Olivier, 1792)"	8	22	1730	"2006.vii.03"
"34"	"Brachygaster"	"minutus"	"(Olivier, 1792)"	8	24	816	"2003.vi.26"
"35"	"Brachygaster"	"minutus"	"(Olivier, 1792)"	8	24	817	"2003.vii.15"
"36"	"Brachygaster"	"minutus"	"(Olivier, 1792)"	2	24	818	"2003.viii.01"
"37"	"Brachygaster"	"minutus"	"(Olivier, 1792)"	1	24	1309	"2004.vi.27"
"38"	"Brachygaster"	"minutus"	"(Olivier, 1792)"	1	24	1310	"2004.vii.22"
"39"	"Brachygaster"	"minutus"	"(Olivier, 1792)"	3	24	1673	"2005.v.31"
"40"	"Brachygaster"	"minutus"	"(Olivier, 1792)"	6	28	488	"2003.vii.08"
"41"	"Brachygaster"	"minutus"	"(Olivier, 1792)"	1	28	488	"2003.vii.08"
"42"	"Brachygaster"	"minutus"	"(Olivier, 1792)"	3	28	1458	"2004.vii.16"
"43"	"Brachygaster"	"minutus"	"(Olivier, 1792)"	5	28	1459	"2004.viii.02"
"44"	"Brachygaster"	"minutus"	"(Olivier, 1792)"	2	28	1459	"2004.viii.02"
"45"	"Brachygaster"	"minutus"	"(Olivier, 1792)"	1	28	1460	"2004.viii.19"
"46"	"Brachygaster"	"minutus"	"(Olivier, 1792)"	2	28	1465	"2005.vi.06"
"47"	"Brachygaster"	"minutus"	"(Olivier, 1792)"	4	28	1467	"2005.vii.17"
"48"	"Brachygaster"	"minutus"	"(Olivier, 1792)"	1	28	1468	"2005.viii.09"
