"Genus"	"Species"	"Author"	"GUID"	"Notes..errors..synonyms..undescribed.etc."	"Source"	"Taxon.name..computed."
"1"	"Cynipoidea"	"sp."	"Latreille, 1802"	"urn:lsid:dyntaxa.se:Taxon:2002984"	NA	"Dyntaxa"	"Cynipoidea sp."
"2"	"Ibaliidae"	"sp."	"Thomson, 1862"	"urn:lsid:dyntaxa.se:Taxon:2001159"	NA	"Dyntaxa"	"Ibaliidae sp."
"3"	"Ibalia"	"sp."	"Latreille, 1802"	"urn:lsid:dyntaxa.se:Taxon:1014184"	NA	NA	"Ibalia sp."
"4"	"Ibalia"	"leucospoides"	"(Hochenwarth, 1785)"	"urn:lsid:dyntaxa.se:Taxon:252281"	NA	NA	"Ibalia leucospoides"
"5"	"Ibalia"	"rufipes"	"Cresson, 1879"	"urn:lsid:dyntaxa.se:Taxon:252282"	NA	NA	"Ibalia rufipes"
"6"	"Figitidae"	"sp."	"Hartig, 1840"	"urn:lsid:dyntaxa.se:Taxon:2001160"	NA	NA	"Figitidae sp."
"7"	"Aegilips"	"sp."	"Walker, 1835"	"urn:lsid:dyntaxa.se:Taxon:1014219"	NA	NA	"Aegilips sp."
"8"	"Aegilips"	"atricornis"	"Fergusson, 1985"	"urn:lsid:dyntaxa.se:Taxon:252432"	NA	NA	"Aegilips atricornis"
"9"	"Aegilips"	"curvipes"	"Giraud, 1860"	"urn:lsid:dyntaxa.se:Taxon:252433"	NA	NA	"Aegilips curvipes"
"10"	"Aegilips"	"nitidula"	"(Dalman, 1823)"	"urn:lsid:dyntaxa.se:Taxon:252434"	NA	NA	"Aegilips nitidula"
"11"	"Aegilips"	"romseyensis"	"Fergusson, 1985"	"urn:lsid:dyntaxa.se:Taxon:252435"	NA	NA	"Aegilips romseyensis"
"12"	"Aegilips"	"vena"	"Fergusson, 1985"	"urn:lsid:dyntaxa.se:Taxon:252436"	NA	NA	"Aegilips vena"
"13"	"Anacharis"	"sp."	"Dalman, 1823"	"urn:lsid:dyntaxa.se:Taxon:1014220"	NA	NA	"Anacharis sp."
"14"	"Anacharis"	"eucharioides"	"(Dalman, 1818)"	"urn:lsid:dyntaxa.se:Taxon:252437"	NA	NA	"Anacharis eucharioides"
"15"	"Anacharis"	"immunis"	"Walker, 1835"	"urn:lsid:dyntaxa.se:Taxon:252438"	NA	NA	"Anacharis immunis"
"16"	"Xyalaspis"	"sp."	"Hartig, 1843"	"urn:lsid:dyntaxa.se:Taxon:1014221"	NA	NA	"Xyalaspis sp."
"17"	"Xyalaspis"	"armata"	"(Giraud, 1860)"	"urn:lsid:dyntaxa.se:Taxon:252439"	NA	NA	"Xyalaspis armata"
"18"	"Xyalaspis"	"petiolata"	"Kieffer, 1901"	"urn:lsid:dyntaxa.se:Taxon:252440"	NA	NA	"Xyalaspis petiolata"
"19"	"Xyalaspis"	"subulifera"	"(Thomson, 1862)"	"urn:lsid:dyntaxa.se:Taxon:252441"	NA	NA	"Xyalaspis subulifera"
"20"	"Aspicera"	"sp."	"Dahlbom, 1842"	"urn:lsid:dyntaxa.se:Taxon:1014222"	NA	NA	"Aspicera sp."
"21"	"Aspicera"	"aculeata"	"Dahlbom, 1842"	"urn:lsid:dyntaxa.se:Taxon:252442"	NA	NA	"Aspicera aculeata"
"22"	"Aspicera"	"dahlbomi"	"Kieffer, 1901"	"urn:lsid:dyntaxa.se:Taxon:252443"	NA	NA	"Aspicera dahlbomi"
"23"	"Aspicera"	"scutellata"	"(Villers, 1789)"	"urn:lsid:dyntaxa.se:Taxon:252444"	NA	NA	"Aspicera scutellata"
"24"	"Aspicera"	"suecica"	"Dalla Torre & Kieffer, 1910"	"urn:lsid:dyntaxa.se:Taxon:252445"	NA	NA	"Aspicera suecica"
"25"	"Aspicera"	"tenuispina"	"Kieffer, 1904"	"urn:lsid:dyntaxa.se:Taxon:252446"	NA	NA	"Aspicera tenuispina"
"26"	"Callaspidia"	"sp."	"Dahlbom, 1842"	"urn:lsid:dyntaxa.se:Taxon:1014223"	NA	NA	"Callaspidia sp."
"27"	"Callaspidia"	"defonscolombei"	"Dahlbom, 1842"	"urn:lsid:dyntaxa.se:Taxon:252447"	NA	NA	"Callaspidia defonscolombei"
"28"	"Callaspidia"	"westwoodi"	"Dahlbom, 1842"	"urn:lsid:dyntaxa.se:Taxon:252448"	NA	NA	"Callaspidia westwoodi"
"29"	"Omalaspis"	"sp."	"Giraud, 1860"	"urn:lsid:dyntaxa.se:Taxon:1014224"	NA	NA	"Omalaspis sp."
"30"	"Omalaspis"	"nigra"	"(Hartig, 1840)"	"urn:lsid:dyntaxa.se:Taxon:252457"	NA	NA	"Omalaspis nigra"
"31"	"Omalaspis"	"ruficornis"	"Thomson, 1877"	"urn:lsid:dyntaxa.se:Taxon:252458"	NA	NA	"Omalaspis ruficornis"
"32"	"Melanips"	"sp."	"Walker, 1835"	"urn:lsid:dyntaxa.se:Taxon:1014225"	NA	NA	"Melanips sp."
"33"	"Melanips"	"alienus"	"Giraud, 1860"	"urn:lsid:dyntaxa.se:Taxon:252449"	NA	NA	"Melanips alienus"
"34"	"Melanips"	"granulatus"	"(Hartig, 1841)"	"urn:lsid:dyntaxa.se:Taxon:252450"	NA	NA	"Melanips granulatus"
"35"	"Melanips"	"heterocerus"	"(Thomson, 1877)"	"urn:lsid:dyntaxa.se:Taxon:252451"	NA	NA	"Melanips heterocerus"
"36"	"Melanips"	"microcerus"	"(Kieffer, 1903)"	"urn:lsid:dyntaxa.se:Taxon:252452"	NA	NA	"Melanips microcerus"
"37"	"Melanips"	"opacus"	"(Hartig, 1840)"	"urn:lsid:dyntaxa.se:Taxon:252453"	NA	NA	"Melanips opacus"
"38"	"Melanips"	"parvus"	"(Hartig, 1840)"	"urn:lsid:dyntaxa.se:Taxon:252454"	NA	NA	"Melanips parvus"
"39"	"Melanips"	"sylvanus"	"Giraud, 1860"	"urn:lsid:dyntaxa.se:Taxon:252455"	NA	NA	"Melanips sylvanus"
"40"	"Melanips"	"thomsoni"	"(Kieffer, 1903)"	"urn:lsid:dyntaxa.se:Taxon:252456"	NA	NA	"Melanips thomsoni"
