"Genus"	"Species"	"Author"	"Total"	"TrapID"	"EventID"	"StartDate"
"1"	"Formica"	"fusca"	"Linnaeus, 1758"	1	33	1084	"2004.ix.10"
"2"	"Myrmica"	"sp."	"Latreille, 1804"	3	33	1084	"2004.ix.10"
"3"	"Myrmica"	"rubra"	"(Linnaeus, 1758)"	3	33	1084	"2004.ix.10"
"4"	"Myrmica"	"ruginodis"	"Nylander, 1846"	3	33	1084	"2004.ix.10"
"5"	"Myrmica"	"ruginodis"	"Nylander, 1846"	15	2006	2027	"2008.iv.01"
"6"	"Lasius"	"niger"	"(Linnaeus, 1758)"	4	2006	2027	"2008.iv.01"
"7"	"Myrmica"	"schencki"	"Viereck, 1903"	6	2006	2027	"2008.iv.01"
"8"	"Myrmica"	"rubra"	"(Linnaeus, 1758)"	24	2006	2027	"2008.iv.01"
"9"	"Myrmica"	"vandeli"	"Bondroit, 1920"	1	2006	2027	"2008.iv.01"
"10"	"Temnothorax"	"nylanderi"	"(Förster, 1850)"	1	38	584	"2003.ix.30"
"11"	"Myrmica"	"ruginodis"	"Nylander, 1846"	1	15	1664	"2005.ix.16"
"12"	"Camponotus"	"herculeanus"	"(Linnaeus, 1758)"	1	15	1664	"2005.ix.16"
"13"	"Formica"	"rufa"	"Linnaeus, 1761"	2	29	256	"2003.viii.03"
"14"	"Formica"	"fusca"	"Linnaeus, 1758"	8	29	256	"2003.viii.03"
"15"	"Myrmica"	"karavajevi"	"(Arnoldi, 1930)"	2	29	256	"2003.viii.03"
"16"	"Myrmica"	"sp."	"Latreille, 1804"	1	29	256	"2003.viii.03"
"17"	"Myrmica"	"schencki"	"Viereck, 1903"	1	29	256	"2003.viii.03"
"18"	"Camponotus"	"ligniperda"	"(Latreille, 1802)"	2	29	256	"2003.viii.03"
"19"	"Myrmica"	"ruginodis"	"Nylander, 1846"	31	29	256	"2003.viii.03"
"20"	"Tetramorium"	"caespitum"	"(Linnaeus, 1758)"	3	29	256	"2003.viii.03"
"21"	"Temnothorax"	"tuberum"	"(J.C.Fabricius, 1775)"	1	29	256	"2003.viii.03"
"22"	"Lasius"	"sp."	"J.C.Fabricius, 1804"	1	29	256	"2003.viii.03"
"23"	"Formica"	"polyctena"	"Förster, 1850"	1	29	256	"2003.viii.03"
"24"	"Formica"	"rufa"	"Linnaeus, 1761"	1	2006	2027	"2008.iv.01"
"25"	"Formica"	"sp 1"	"sp. indet."	2	28	496	"2004.iv.15"
"26"	"Formica"	"fusca"	"Linnaeus, 1758"	2	20	1499	"2005.viii.02"
"27"	"Myrmica"	"schencki"	"Viereck, 1903"	1	20	1499	"2005.viii.02"
"28"	"Lasius"	"mixtus"	"(Nylander, 1846)"	1	20	1499	"2005.viii.02"
"29"	"Lasius"	"niger"	"(Linnaeus, 1758)"	1	20	1499	"2005.viii.02"
"30"	"Lasius"	"paralienus"	"Seifert, 1992"	6	20	1499	"2005.viii.02"
"31"	"Myrmica"	"sp."	"Latreille, 1804"	4	20	1499	"2005.viii.02"
"32"	"Formica"	"lemani"	"Bondroit, 1917"	2	20	1499	"2005.viii.02"
"33"	"Lasius"	"sp."	"J.C.Fabricius, 1804"	4	20	1499	"2005.viii.02"
"34"	"Lasius"	"flavus"	"(J.C.Fabricius, 1782)"	1	20	1499	"2005.viii.02"
"35"	"Myrmica"	"ruginodis"	"Nylander, 1846"	1	37	1823	"2005.viii.09"
"36"	"Lasius"	"platythorax"	"Seifert, 1991"	1	22	1481	"2006.i.04"
"37"	"Formica"	"fusca"	"Linnaeus, 1758"	2	43	1170	"2004.vii.14"
"38"	"Myrmica"	"ruginodis"	"Nylander, 1846"	1	39	1804	"2005.vii.06"
"39"	"Camponotus"	"herculeanus"	"(Linnaeus, 1758)"	1	31	1060	"2004.vii.14"
