"Genus"	"Species"	"Author"	"GUID"	"Notes..errors..synonyms..undescribed.etc."	"Source"	"Taxon.name..computed."
"1"	"Hypoponera"	"sp."	"Santschi, 1938"	"http://dyntaxa.se/taxon/info/1000468"	NA	"Dyntaxa"	"Hypoponera sp."
"2"	"Hypoponera"	"punctatissima"	"(Roger, 1859)"	"http://dyntaxa.se/taxon/info/200941"	NA	"Dyntaxa"	"Hypoponera punctatissima"
"3"	"Stenamma"	"sp."	"Westwood, 1839"	"http://dyntaxa.se/taxon/info/1000471"	NA	NA	"Stenamma sp."
"4"	"Stenamma"	"debile"	"(Förster, 1850)"	"http://dyntaxa.se/taxon/info/101822"	NA	NA	"Stenamma debile"
"5"	"Solenopsis"	"sp."	"Westwood, 1840"	"http://dyntaxa.se/taxon/info/1000472"	NA	NA	"Solenopsis sp."
"6"	"Solenopsis"	"fugax"	"(Latreille, 1798)"	"http://dyntaxa.se/taxon/info/102899"	NA	NA	"Solenopsis fugax"
"7"	"Monomorium"	"sp."	"Mayr, 1855"	"http://dyntaxa.se/taxon/info/1000473"	NA	NA	"Monomorium sp."
"8"	"Monomorium"	"pharaonis"	"(Linnaeus, 1758)"	"http://dyntaxa.se/taxon/info/200957"	NA	NA	"Monomorium pharaonis"
"9"	"Monomorium"	"floricola"	"(Jerdon, 1851)"	"http://dyntaxa.se/taxon/info/200958"	NA	NA	"Monomorium floricola"
"10"	"Myrmecina"	"sp."	"Curtis, 1829"	"http://dyntaxa.se/taxon/info/1000474"	NA	NA	"Myrmecina sp."
"11"	"Myrmecina"	"graminicola"	"(Latreille, 1802)"	"http://dyntaxa.se/taxon/info/101363"	NA	NA	"Myrmecina graminicola"
"12"	"Harpagoxenus"	"sp."	"Forel, 1893"	"http://dyntaxa.se/taxon/info/1000478"	NA	NA	"Harpagoxenus sp."
"13"	"Harpagoxenus"	"sublaevis"	"(Nylander, 1849)"	"http://dyntaxa.se/taxon/info/200971"	NA	NA	"Harpagoxenus sublaevis"
"14"	"Formicoxenus"	"sp."	"Mayr, 1855"	"http://dyntaxa.se/taxon/info/1000479"	NA	NA	"Formicoxenus sp."
"15"	"Formicoxenus"	"nitidulus"	"(Nylander, 1846)"	"http://dyntaxa.se/taxon/info/200972"	NA	NA	"Formicoxenus nitidulus"
"16"	"Tetramorium"	"sp."	"Mayr, 1855"	"http://dyntaxa.se/taxon/info/1000480"	NA	NA	"Tetramorium sp."
"17"	"Tetramorium"	"caespitum"	"(Linnaeus, 1758)"	"http://dyntaxa.se/taxon/info/200973"	NA	NA	"Tetramorium caespitum"
"18"	"Anergates"	"sp."	"Forel, 1874"	"http://dyntaxa.se/taxon/info/1000481"	NA	NA	"Anergates sp."
"19"	"Anergates"	"atratulus"	"(Schenck, 1852)"	"http://dyntaxa.se/taxon/info/200974"	NA	NA	"Anergates atratulus"
"20"	"Strongylognathus"	"sp."	"Mayr, 1853"	"http://dyntaxa.se/taxon/info/1000482"	NA	NA	"Strongylognathus sp."
"21"	"Strongylognathus"	"testaceus"	"(Schenck, 1852)"	"http://dyntaxa.se/taxon/info/102902"	NA	NA	"Strongylognathus testaceus"
"22"	"Myrmica"	"sp."	"Latreille, 1804"	"http://dyntaxa.se/taxon/info/1010217"	NA	NA	"Myrmica sp."
"23"	"Myrmica"	"gallienii"	"Bondroit, 1920"	"http://dyntaxa.se/taxon/info/102896"	NA	NA	"Myrmica gallienii"
"24"	"Myrmica"	"constricta"	"Karavajev, 1934"	"http://dyntaxa.se/taxon/info/236339"	NA	NA	"Myrmica constricta"
"25"	"Myrmica"	"hirsuta"	"Elmes, 1978"	"http://dyntaxa.se/taxon/info/200944"	NA	NA	"Myrmica hirsuta"
