"Genus"	"Species"	"Author"	"Total"	"TrapID"	"EventID"	"StartDate"
"1"	"Gasteruption"	"caucasicum"	"(Guérin-Méneville, 1844)"	1	28	1459	"2004.viii.02"
"2"	"Gasteruption"	"assectator"	"(Linnaeus, 1758)"	1	22	1363	"2005.viii.01"
"3"	"Gasteruption"	"assectator"	"(Linnaeus, 1758)"	1	22	1725	"2006.v.20"
"4"	"Gasteruption"	"undulatum"	"(Abeille de Perrin, 1879)"	1	2046	2053	"2008.vi.15"
"5"	"Gasteruption"	"assectator"	"(Linnaeus, 1758)"	1	28	1464	"2005.iv.10"
"6"	"Gasteruption"	"assectator"	"(Linnaeus, 1758)"	1	22	246	"2003.vii.17"
"7"	"Gasteruption"	"jaculator"	"(Linnaeus, 1758)"	1	11	411	"2003.vii.23"
"8"	"Gasteruption"	"assectator"	"(Linnaeus, 1758)"	1	32	1532	"2005.viii.03"
"9"	"Gasteruption"	"assectator"	"(Linnaeus, 1758)"	1	26	1692	"2005.vii.19"
"10"	"Gasteruption"	"erythrostomum"	"(Dahlbom, 1831)"	1	2046	2054	"2008.vii.01"
