"Genus"	"Species"	"Author"	"Total"	"TrapID"	"EventID"	"StartDate"
"1"	"Gasteruption"	"assectator"	"(Linnaeus, 1758)"	1	35	1103	"2004.viii.07"
"2"	"Gasteruption"	"assectator"	"(Linnaeus, 1758)"	1	12	892	"2004.vii.17"
"3"	"Gasteruption"	"assectator"	"(Linnaeus, 1758)"	1	1002	1375	"2005.vii.07"
"4"	"Gasteruption"	"assectator"	"(Linnaeus, 1758)"	1	7	1591	"2005.vi.14"
"5"	"Gasteruption"	"assectator"	"(Linnaeus, 1758)"	5	27	466	"2003.vii.07"
"6"	"Gasteruption"	"assectator"	"(Linnaeus, 1758)"	1	13	911	"2004.vi.23"
"7"	"Gasteruption"	"assectator"	"(Linnaeus, 1758)"	1	31	1058	"2004.vi.09"
"8"	"Gasteruption"	"assectator"	"(Linnaeus, 1758)"	2	2046	2052	"2008.vi.01"
"9"	"Gasteruption"	"assectator"	"(Linnaeus, 1758)"	1	22	1315	"2005.vi.29"
"10"	"Gasteruption"	"assectator"	"(Linnaeus, 1758)"	2	7	1592	"2005.vii.04"
"11"	"Gasteruption"	"assectator"	"(Linnaeus, 1758)"	1	32	1068	"2004.vi.17"
"12"	"Gasteruption"	"assectator"	"(Linnaeus, 1758)"	1	27	466	"2003.vii.07"
"13"	"Gasteruption"	"assectator"	"(Linnaeus, 1758)"	1	34	546	"2003.vii.15"
"14"	"Gasteruption"	"assectator"	"(Linnaeus, 1758)"	1	27	468	"2003.viii.04"
"15"	"Gasteruption"	"caucasicum"	"(Guérin-Méneville, 1844)"	3	28	1458	"2004.vii.16"
"16"	"Gasteruption"	"caucasicum"	"(Guérin-Méneville, 1844)"	1	28	1465	"2005.vi.06"
"17"	"Gasteruption"	"caucasicum"	"(Guérin-Méneville, 1844)"	1	28	1466	"2005.vii.05"
"18"	"Gasteruption"	"jaculator"	"(Linnaeus, 1758)"	1	1002	1374	"2005.vi.25"
"19"	"Gasteruption"	"jaculator"	"(Linnaeus, 1758)"	2	22	1730	"2006.vii.03"
"20"	"Gasteruption"	"jaculator"	"(Linnaeus, 1758)"	2	6	369	"2003.vii.02"
"21"	"Gasteruption"	"jaculator"	"(Linnaeus, 1758)"	1	35	553	"2003.viii.05"
"22"	"Gasteruption"	"jaculator"	"(Linnaeus, 1758)"	4	27	466	"2003.vii.07"
"23"	"Gasteruption"	"jaculator"	"(Linnaeus, 1758)"	1	27	466	"2003.vii.07"
"24"	"Gasteruption"	"jaculator"	"(Linnaeus, 1758)"	1	12	176	"2003.viii.02"
"25"	"Gasteruption"	"erythrostomum"	"(Dahlbom, 1831)"	1	1002	1374	"2005.vi.25"
"26"	"Gasteruption"	"subtile"	"(Thomson, 1883)"	1	6	376	"2003.xii.09"
