"Genus"	"Species"	"Author"	"Total"	"TrapID"	"EventID"	"StartDate"
"1"	"Idaea"	"serpentata"	"(Hufnagel, 1767)"	10	13	1643	"2005.vii.05"
"2"	"Xanthorhoe"	"ferrugata"	"(Clerck, 1759)"	1	13	1643	"2005.vii.05"
"3"	"Xanthorhoe"	"fluctuata"	"(Linnaeus, 1758)"	1	13	1643	"2005.vii.05"
"4"	"Cabera"	"exanthemata"	"(Scopoli, 1763)"	1	13	1643	"2005.vii.05"
"5"	"Xanthorhoe"	"quadrifasiata"	"(Clerck, 1759)"	1	13	1643	"2005.vii.05"
"6"	"Ematurga"	"atomaria"	"(Linnaeus, 1758)"	14	5	64	"2003.vi.16"
"7"	"Hylaea"	"fasciaria"	"(Linnaeus, 1758)"	1	5	64	"2003.vi.16"
"8"	"Cabera"	"exanthemata"	"(Scopoli, 1763)"	2	5	64	"2003.vi.16"
"9"	"Idaea"	"aversata"	"(Linnaeus, 1758)"	1	31	1546	"2005.vi.23"
"10"	"Eupithecia"	"satyrata"	"(Hübner, 1813)"	1	31	1546	"2005.vi.23"
"11"	"Idaea"	"biselata"	"(Hufnagel, 1767)"	1	31	1546	"2005.vi.23"
"12"	"Idaea"	"biselata"	"(Hufnagel, 1767)"	1	13	902	"2003.vii.22"
"13"	"Idaea"	"straminata"	"(Borkhausen, 1794)"	1	13	902	"2003.vii.22"
"14"	"Apeira"	"syringaria"	"(Linnaeus, 1758)"	1	13	902	"2003.vii.22"
"15"	"Eulithis"	"prunata"	"(Linnaeus, 1758)"	4	13	902	"2003.vii.22"
"16"	"Hydriomena"	"furcata"	"(Thunberg, 1784)"	1	13	902	"2003.vii.22"
"17"	"Eulithis"	"prunata"	"(Linnaeus, 1758)"	2	1004	1898	"2005.viii.09"
"18"	"Dysstroma"	"citrata"	"(Linnaeus, 1761)"	2	1004	1898	"2005.viii.09"
"19"	"Eulithis"	"populata"	"(Linnaeus, 1758)"	8	1004	1898	"2005.viii.09"
"20"	"Larentia"	"clavaria"	"(Haworth, 1809)"	1	1004	1898	"2005.viii.09"
"21"	"Plemyria"	"rubiginata"	"(Denis & Schiffermüller, 1775)"	2	1004	1898	"2005.viii.09"
"22"	"Perizoma"	"alchemillata"	"(Linnaeus, 1758)"	5	1003	1388	"2005.vii.10"
"23"	"Cabera"	"pusaria"	"(Linnaeus, 1758)"	1	1003	1388	"2005.vii.10"
"24"	"Cabera"	"exanthemata"	"(Scopoli, 1763)"	3	1003	1388	"2005.vii.10"
"25"	"Colostygia"	"olivata"	"(Denis & Schiffermüller, 1775)"	8	1003	1388	"2005.vii.10"
"26"	"Epirrhoe"	"alternata"	"(Müller, 1764)"	2	1003	1388	"2005.vii.10"
"27"	"Scotopteryx"	"chenopodiata"	"(Linnaeus, 1758)"	1	1003	1388	"2005.vii.10"
"28"	"Cosmorhoe"	"ocellata"	"(Linnaeus, 1758)"	1	1003	1388	"2005.vii.10"
"29"	"Perizoma"	"taeniata"	"(Stephens, 1831)"	4	1003	1388	"2005.vii.10"
"30"	"Dysstroma"	"citrata"	"(Linnaeus, 1761)"	2	1003	1388	"2005.vii.10"
"31"	"Pasiphila"	"chloerata"	"(Mabille, 1870)"	1	1003	1388	"2005.vii.10"
"32"	"Xanthorhoe"	"fluctuata"	"(Linnaeus, 1758)"	1	1003	1388	"2005.vii.10"
"33"	"Camptogramma"	"bilineata"	"(Linnaeus, 1758)"	1	1003	1388	"2005.vii.10"
"34"	"Idaea"	"aversata"	"(Linnaeus, 1758)"	6	1003	1388	"2005.vii.10"
"35"	"Agriopis"	"marginaria"	"(Fabricius, 1776)"	3	23	439	"2003.x.30"
"36"	"Epirrita"	"christyi"	"(Allen, 1906)"	2	1008	2000	"2006.ix.05"
"37"	"Agriopis"	"aurantiaria"	"(Hübner, 1799)"	1	13	906	"2003.x.03"
"38"	"Epirrita"	"autumnata"	"(Borkhausen, 1794)"	1	13	906	"2003.x.03"
"39"	"Eupithecia"	"pusillata"	"(Denis & Schiffermüller, 1775)"	1	27	469	"2003.viii.18"
"40"	"Eulithis"	"prunata"	"(Linnaeus, 1758)"	2	27	469	"2003.viii.18"
