"Genus"	"Species"	"Author"	"GUID"	"Notes..errors..synonyms..undescribed.etc."	"Source"	"Taxon.name..computed."
"1"	"Archiearis"	"sp."	"Hübner, 1823"	"https://www.dyntaxa.se/taxon/info/1004126"	NA	"Dyntaxa"	"Archiearis sp."
"2"	"Archiearis"	"parthenias"	"(Linnaeus, 1761)"	"https://www.dyntaxa.se/taxon/info/215541"	NA	"Dyntaxa"	"Archiearis parthenias"
"3"	"Archiearis"	"notha"	"(Hübner, 1803)"	"https://www.dyntaxa.se/taxon/info/215542"	NA	"Dyntaxa"	"Archiearis notha"
"4"	"Abraxas"	"sp."	"Leach, 1815"	"https://www.dyntaxa.se/taxon/info/1004127"	NA	"Dyntaxa"	"Abraxas sp."
"5"	"Abraxas"	"grossulariata"	"(Linnaeus, 1758)"	"https://www.dyntaxa.se/taxon/info/215543"	NA	"Dyntaxa"	"Abraxas grossulariata"
"6"	"Abraxas"	"sylvata"	"(Scopoli, 1763)"	"https://www.dyntaxa.se/taxon/info/215544"	NA	"Dyntaxa"	"Abraxas sylvata"
"7"	"Lomaspilis"	"sp."	"Hübner, 1825"	"https://www.dyntaxa.se/taxon/info/1004128"	NA	"Dyntaxa"	"Lomaspilis sp."
"8"	"Lomaspilis"	"marginata"	"(Linnaeus, 1758)"	"https://www.dyntaxa.se/taxon/info/215545"	NA	"Dyntaxa"	"Lomaspilis marginata"
"9"	"Lomaspilis"	"opis"	"(Butler, 1878)"	"https://www.dyntaxa.se/taxon/info/215546"	NA	"Dyntaxa"	"Lomaspilis opis"
"10"	"Ligdia"	"sp."	"Guenée, 1857"	"https://www.dyntaxa.se/taxon/info/1004129"	NA	"Dyntaxa"	"Ligdia sp."
"11"	"Ligdia"	"adustata"	"(Denis & Schiffermüller, 1775)"	"https://www.dyntaxa.se/taxon/info/101210"	NA	"Dyntaxa"	"Ligdia adustata"
"12"	"Macaria"	"sp."	"Curtis, 1826"	"https://www.dyntaxa.se/taxon/info/1004130"	NA	"Dyntaxa"	"Macaria sp."
"13"	"Macaria"	"notata"	"(Linnaeus, 1758)"	"https://www.dyntaxa.se/taxon/info/215548"	NA	"Dyntaxa"	"Macaria notata"
"14"	"Macaria"	"alternata"	"(Denis & Schiffermüller, 1775)"	"https://www.dyntaxa.se/taxon/info/215549"	NA	"Dyntaxa"	"Macaria alternata"
"15"	"Macaria"	"signaria"	"(Hübner, 1809)"	"https://www.dyntaxa.se/taxon/info/215550"	NA	"Dyntaxa"	"Macaria signaria"
"16"	"Macaria"	"liturata"	"(Clerck, 1759)"	"https://www.dyntaxa.se/taxon/info/215551"	NA	"Dyntaxa"	"Macaria liturata"
"17"	"Macaria"	"wauaria"	"(Linnaeus, 1758)"	"https://www.dyntaxa.se/taxon/info/215552"	NA	"Dyntaxa"	"Macaria wauaria"
"18"	"Macaria"	"artesiaria"	"(Denis & Schiffermüller, 1775)"	"https://www.dyntaxa.se/taxon/info/215553"	NA	"Dyntaxa"	"Macaria artesiaria"
"19"	"Macaria"	"carbonaria"	"(Clerck, 1759)"	"https://www.dyntaxa.se/taxon/info/215554"	NA	"Dyntaxa"	"Macaria carbonaria"
"20"	"Macaria"	"brunneata"	"(Thunberg, 1784)"	"https://www.dyntaxa.se/taxon/info/215555"	NA	"Dyntaxa"	"Macaria brunneata"
"21"	"Macaria"	"loricaria"	"(Eversmann, 1837)"	"https://www.dyntaxa.se/taxon/info/215556"	NA	"Dyntaxa"	"Macaria loricaria"
"22"	"Chiasmia"	"sp."	"Hübner, 1823"	"https://www.dyntaxa.se/taxon/info/1004131"	NA	"Dyntaxa"	"Chiasmia sp."
"23"	"Chiasmia"	"clathrata"	"(Linnaeus, 1758)"	"https://www.dyntaxa.se/taxon/info/215557"	NA	"Dyntaxa"	"Chiasmia clathrata"
"24"	"Pygmaena"	"sp."	"Boisduval, 1840"	"https://www.dyntaxa.se/taxon/info/1004132"	NA	"Dyntaxa"	"Pygmaena sp."
"25"	"Pygmaena"	"fusca"	"(Thunberg, 1792)"	"https://www.dyntaxa.se/taxon/info/215558"	NA	"Dyntaxa"	"Pygmaena fusca"
"26"	"Cepphis"	"sp."	"Hübner, 1823"	"https://www.dyntaxa.se/taxon/info/1004133"	NA	"Dyntaxa"	"Cepphis sp."
"27"	"Cepphis"	"advenaria"	"(Hübner, 1799)"	"https://www.dyntaxa.se/taxon/info/215559"	NA	"Dyntaxa"	"Cepphis advenaria"
"28"	"Petrophora"	"sp."	"Hübner, 1811"	"https://www.dyntaxa.se/taxon/info/1004134"	NA	"Dyntaxa"	"Petrophora sp."
