"Genus"	"Species"	"Author"	"Total"	"TrapID"	"EventID"	"StartDate"
"1"	"Borboropsis"	"puberula"	"(Zetterstedt, 1838)"	1	46	1201	"2004.vii.26"
"2"	"Borboropsis"	"puberula"	"(Zetterstedt, 1838)"	2	48	1210	"2004.viii.13"
"3"	"Borboropsis"	"puberula"	"(Zetterstedt, 1838)"	1	54	194	"2003.ix.22"
"4"	"Eccoptomera"	"pallescens"	"(Meigen, 1830)"	1	2003	2038	"2006.ix.08"
"5"	"Eccoptomera"	"emarginata"	"Loew 1862"	1	2006	2023	"2007.xi.10"
"6"	"Eccoptomera"	"infuscata"	"Wahlgren, 1918"	2	6	853	"2004.viii.18"
"7"	"Eccoptomera"	"longiseta"	"Loew, 1862"	1	6	853	"2004.viii.18"
"8"	"Eccoptomera"	"longiseta"	"Loew, 1862"	1	8	1563	"2004.ix.10"
"9"	"Eccoptomera"	"longiseta"	"Loew, 1862"	1	11	416	"2003.x.01"
"10"	"Eccoptomera"	"longiseta"	"Loew, 1862"	1	32	1536	"2005.x.03"
"11"	"Eccoptomera"	"longiseta"	"Loew, 1862"	1	1002	1893	"2005.xi.03"
"12"	"Eccoptomera"	"longiseta"	"Loew, 1862"	2	1003	1896	"2005.ix.12"
"13"	"Eccoptomera"	"longiseta"	"Loew, 1862"	1	2046	2058	"2008.ix.01"
"14"	"Eccoptomera"	"longiseta"	"Loew, 1862"	1	2046	2059	"2008.x.03"
"15"	"Eccoptomera"	"microps"	"(Meigen, 1830)"	1	24	1673	"2005.v.31"
"16"	"Eccoptomera"	"nigricornis"	"Strobl, 1906"	1	11	1632	"2004.x.09"
"17"	"Eccoptomera"	"obscura"	"(Meigen, 1830)"	1	7	386	"2003.xii.09"
"18"	"Eccoptomera"	"obscura"	"(Meigen, 1830)"	4	7	864	"2004.xi.01"
"19"	"Eccoptomera"	"obscura"	"(Meigen, 1830)"	1	24	820	"2003.ix.13"
"20"	"Eccoptomera"	"obscura"	"(Meigen, 1830)"	1	26	1694	"2005.ix.12"
"21"	"Eccoptomera"	"obscura"	"(Meigen, 1830)"	1	26	1695	"2005.xi.16"
"22"	"Eccoptomera"	"obscura"	"(Meigen, 1830)"	3	27	1043	"2004.xii.20"
"23"	"Eccoptomera"	"obscura"	"(Meigen, 1830)"	2	33	534	"2003.x.21"
"24"	"Eccoptomera"	"obscura"	"(Meigen, 1830)"	1	33	536	"2003.xi.26"
