"Genus"	"Species"	"Author"	"GUID"	"Source"	"Taxon.name..computed."
"1"	"Borboropsis"	"sp."	"Czerny, 1902"	"http://dyntaxa.se/taxon/info/1013788"	"Dyntaxa"	"Borboropsis sp."
"2"	"Borboropsis"	"puberula"	"(Zetterstedt, 1838)"	"http://dyntaxa.se/taxon/info/250174"	"Dyntaxa"	"Borboropsis puberula"
"3"	"Eccoptomera"	"sp."	"Loew, 1862"	"http://dyntaxa.se/taxon/info/1011236"	"Dyntaxa"	"Eccoptomera sp."
"4"	"Eccoptomera"	"infuscata"	"Wahlgren, 1918"	"http://dyntaxa.se/taxon/info/241877"	"Dyntaxa"	"Eccoptomera infuscata"
"5"	"Eccoptomera"	"longiseta"	"Loew, 1862"	"http://dyntaxa.se/taxon/info/241878"	"Dyntaxa"	"Eccoptomera longiseta"
"6"	"Eccoptomera"	"marginicornis"	"Czerny, 1924"	"http://dyntaxa.se/taxon/info/241879"	"Dyntaxa"	"Eccoptomera marginicornis"
"7"	"Eccoptomera"	"microps"	"(Meigen, 1830)"	"http://dyntaxa.se/taxon/info/241880"	"Dyntaxa"	"Eccoptomera microps"
"8"	"Eccoptomera"	"obscura"	"(Meigen, 1830)"	"http://dyntaxa.se/taxon/info/241881"	"Dyntaxa"	"Eccoptomera obscura"
"9"	"Eccoptomera"	"ornata"	"Loew, 1862"	"http://dyntaxa.se/taxon/info/241882"	"Dyntaxa"	"Eccoptomera ornata"
"10"	"Eccoptomera"	"pallescens"	"(Meigen, 1830)"	"http://dyntaxa.se/taxon/info/241883"	"Dyntaxa"	"Eccoptomera pallescens"
"11"	"Eccoptomera"	"triseta"	"Czerny, 1924"	"http://dyntaxa.se/taxon/info/241884"	"Dyntaxa"	"Eccoptomera triseta"
"12"	"Eccoptomera"	"filata"	"Loew, 1862"	"http://dyntaxa.se/taxon/info/250223"	"Dyntaxa"	"Eccoptomera filata"
"13"	"Eccoptomera"	"nigricornis"	"Strobl, 1906"	"http://dyntaxa.se/taxon/info/6001278"	"Dyntaxa"	"Eccoptomera nigricornis"
"14"	"Gymnomus"	"sp."	"Loew, 1863"	"http://dyntaxa.se/taxon/info/1011237"	"Dyntaxa"	"Gymnomus sp."
"15"	"Gymnomus"	"caesius"	"(Meigen, 1830)"	"http://dyntaxa.se/taxon/info/241885"	"Dyntaxa"	"Gymnomus caesius"
"16"	"Gymnomus"	"amplicornis"	"(Czerny, 1924)"	"http://dyntaxa.se/taxon/info/241908"	"Dyntaxa"	"Gymnomus amplicornis"
"17"	"Gymnomus"	"sabroskyi"	"(G.D.Gill, 1962)"	"http://dyntaxa.se/taxon/info/6001275"	"Dyntaxa"	"Gymnomus sabroskyi"
"18"	"Heleomyza"	"sp."	"Fallén, 1810"	"http://dyntaxa.se/taxon/info/1011238"	"Dyntaxa"	"Heleomyza sp."
