"Genus"	"Species"	"Author"	"GUID"	"Source"	"Taxon.name..computed."
"1"	"Erynnis"	"sp."	"Schrank, 1801"	"http://www.dyntaxa.se/taxon/info/1000509"	"Dyntaxa"	"Erynnis sp."
"2"	"Erynnis"	"tages"	"(Linnaeus, 1758)"	"http://www.dyntaxa.se/taxon/info/201018"	"Dyntaxa"	"Erynnis tages"
"3"	"Pyrgus"	"sp."	"Hübner, 1819"	"http://www.dyntaxa.se/taxon/info/1000510"	"Dyntaxa"	"Pyrgus sp."
"4"	"Pyrgus"	"alveus"	"(Hübner, 1803)"	"http://www.dyntaxa.se/taxon/info/101688"	"Dyntaxa"	"Pyrgus alveus"
"5"	"Pyrgus"	"armoricanus"	"(Oberthür, 1910)"	"http://www.dyntaxa.se/taxon/info/101689"	"Dyntaxa"	"Pyrgus armoricanus"
"6"	"Pyrgus"	"malvae"	"(Linnaeus, 1758)"	"http://www.dyntaxa.se/taxon/info/201019"	"Dyntaxa"	"Pyrgus malvae"
"7"	"Pyrgus"	"andromedae"	"(Wallengren, 1853)"	"http://www.dyntaxa.se/taxon/info/201022"	"Dyntaxa"	"Pyrgus andromedae"
"8"	"Pyrgus"	"centaureae"	"(Rambur, 1839)"	"http://www.dyntaxa.se/taxon/info/201023"	"Dyntaxa"	"Pyrgus centaureae"
"9"	"Pyrgus"	"serratulae"	"(Rambur, 1839)"	"http://www.dyntaxa.se/taxon/info/250450"	"Dyntaxa"	"Pyrgus serratulae"
"10"	"Carterocephalus"	"sp."	"Lederer, 1852"	"http://www.dyntaxa.se/taxon/info/1000511"	"Dyntaxa"	"Carterocephalus sp."
"11"	"Carterocephalus"	"palaemon"	"(Pallas, 1771)"	"http://www.dyntaxa.se/taxon/info/201026"	"Dyntaxa"	"Carterocephalus palaemon"
"12"	"Carterocephalus"	"silvicola"	"(Meigen, 1829)"	"http://www.dyntaxa.se/taxon/info/215513"	"Dyntaxa"	"Carterocephalus silvicola"
"13"	"Heteropterus"	"sp."	"Duméril, 1806"	"http://www.dyntaxa.se/taxon/info/1000512"	"Dyntaxa"	"Heteropterus sp."
"14"	"Heteropterus"	"morpheus"	"(Pallas, 1771)"	"http://www.dyntaxa.se/taxon/info/201027"	"Dyntaxa"	"Heteropterus morpheus"
"15"	"Thymelicus"	"sp."	"Hübner, 1819"	"http://www.dyntaxa.se/taxon/info/1000513"	"Dyntaxa"	"Thymelicus sp."
"16"	"Thymelicus"	"lineola"	"(Ochsenheimer, 1808)"	"http://www.dyntaxa.se/taxon/info/201028"	"Dyntaxa"	"Thymelicus lineola"
"17"	"Thymelicus"	"sylvestris"	"(Poda, 1761)"	"http://www.dyntaxa.se/taxon/info/201029"	"Dyntaxa"	"Thymelicus sylvestris"
"18"	"Hesperia"	"sp."	"Fabricius, 1793"	"http://www.dyntaxa.se/taxon/info/1000514"	"Dyntaxa"	"Hesperia sp."
"19"	"Hesperia"	"comma"	"(Linnaeus, 1758)"	"http://www.dyntaxa.se/taxon/info/101070"	"Dyntaxa"	"Hesperia comma"
"20"	"Ochlodes"	"sp."	"Scudder, 1872"	"http://www.dyntaxa.se/taxon/info/1000515"	"Dyntaxa"	"Ochlodes sp."
"21"	"Ochlodes"	"sylvanus"	"(Esper, 1778)"	"http://www.dyntaxa.se/taxon/info/201031"	"Dyntaxa"	"Ochlodes sylvanus"
