"Genus"	"Species"	"Author"	"Total"	"TrapID"	"EventID"	"StartDate"
"1"	"Listrodromus"	"nycthemerus"	"(Gravenhorst, 1820)"	2	4	89	"2003.vii.21"
"2"	"Neotypus"	"coreensis"	"Uchida, 1930"	2	20	233	"2003.vi.25"
"3"	"Apaeleticus"	"bellicosus"	"Wesmael, 1845"	1	27	1038	"2004.ix.06"
"4"	"Apaeleticus"	"bellicosus"	"Wesmael, 1845"	1	31	1061	"2004.vii.30"
"5"	"Apaeleticus"	"bellicosus"	"Wesmael, 1845"	1	31	1062	"2004.viii.11"
"6"	"Apaeleticus"	"bellicosus"	"Wesmael, 1845"	3	1002	1379	"2005.viii.12"
"7"	"Apaeleticus"	"bellicosus"	"Wesmael, 1845"	1	1002	1380	"2005.viii.24"
"8"	"Apaeleticus"	"bellicosus"	"Wesmael, 1845"	1	2006	2016	"2007.vii.13"
"9"	"Apaeleticus"	"mesostictus"	"(Gravenhorst, 1829)"	1	28	1461	"2004.ix.06"
"10"	"Apaeleticus"	"mesostictus"	"(Gravenhorst, 1829)"	1	50	1223	"2004.vii.08"
"11"	"Asthenolabus"	"latiscapus"	"(Thomson, 1894)"	8	1	80	"2003.vii..02"
"12"	"Asthenolabus"	"latiscapus"	"(Thomson, 1894)"	5	1	308	"2003.vii.11"
"13"	"Asthenolabus"	"latiscapus"	"(Thomson, 1894)"	1	22	246	"2003.vii.17"
"14"	"Asthenolabus"	"latiscapus"	"(Thomson, 1894)"	1	1002	1375	"2005.vii.07"
"15"	"Asthenolabus"	"latiscapus"	"(Thomson, 1894)"	1	1002	1376	"2005.vii.15"
"16"	"Asthenolabus"	"vitratorius"	"(Gravenhorst, 1829)"	1	1	79	"2003.vi.17"
"17"	"Asthenolabus"	"vitratorius"	"(Gravenhorst, 1829)"	1	9	1610	"2005.vi.24"
"18"	"Asthenolabus"	"vitratorius"	"(Gravenhorst, 1829)"	2	9	1611	"2005.vii.16"
"19"	"Asthenolabus"	"vitratorius"	"(Gravenhorst, 1829)"	1	9	1613	"2005.viii.22"
"20"	"Asthenolabus"	"vitratorius"	"(Gravenhorst, 1829)"	4	24	816	"2003.vi.26"
"21"	"Asthenolabus"	"vitratorius"	"(Gravenhorst, 1829)"	1	24	817	"2003.vii.15"
"22"	"Asthenolabus"	"vitratorius"	"(Gravenhorst, 1829)"	3	24	819	"2003.viii.18"
"23"	"Asthenolabus"	"vitratorius"	"(Gravenhorst, 1829)"	2	24	1308	"2004.v.19"
"24"	"Asthenolabus"	"vitratorius"	"(Gravenhorst, 1829)"	3	24	1309	"2004.vi.27"
"25"	"Asthenolabus"	"vitratorius"	"(Gravenhorst, 1829)"	1	24	1673	"2005.v.31"
"26"	"Asthenolabus"	"vitratorius"	"(Gravenhorst, 1829)"	1	24	1674	"2005.vii.20"
"27"	"Asthenolabus"	"vitratorius"	"(Gravenhorst, 1829)"	3	1001	1332	"2005.vii.02"
"28"	"Asthenolabus"	"vitratorius"	"(Gravenhorst, 1829)"	2	1001	1334	"2005.vii.18"
"29"	"Asthenolabus"	"vitratorius"	"(Gravenhorst, 1829)"	1	1001	1355	"2005.viii.13"
"30"	"Asthenolabus"	"vitratorius"	"(Gravenhorst, 1829)"	1	1001	1366	"2005.ix.12"
"31"	"Asthenolabus"	"vitratorius"	"(Gravenhorst, 1829)"	3	1001	1728	"2006.v.18"
"32"	"Asthenolabus"	"vitratorius"	"(Gravenhorst, 1829)"	1	1002	1373	"2005.vi.18"
"33"	"Asthenolabus"	"vitratorius"	"(Gravenhorst, 1829)"	1	1002	1378	"2005.vii.23"
"34"	"Asthenolabus"	"vitratorius"	"(Gravenhorst, 1829)"	1	1002	1379	"2005.viii.12"
"35"	"Asthenolabus"	"vitratorius"	"(Gravenhorst, 1829)"	1	1008	1740	"2006.vi.28"
"36"	"Cyclolabus"	"nigricollis"	"(Wesmael, 1845)"	1	24	818	"2003.viii.01"
"37"	"Cyclolabus"	"nigricollis"	"(Wesmael, 1845)"	2	37	570	"2003.vii.15"
"38"	"Cyclolabus"	"nigricollis"	"(Wesmael, 1845)"	1	37	571	"2003.viii.15"
"39"	"Cyclolabus"	"nigricollis"	"(Wesmael, 1845)"	3	37	835	"2004.viii.06"
"40"	"Cyclolabus"	"nigricollis"	"(Wesmael, 1845)"	1	1001	1335	"2005.vii.25"
"41"	"Cyclolabus"	"nigricollis"	"(Wesmael, 1845)"	2	1001	1354	"2005.viii.02"
"42"	"Cyclolabus"	"nigricollis"	"(Wesmael, 1845)"	1	1001	1355	"2005.viii.13"
"43"	"Cyclolabus"	"nigricollis"	"(Wesmael, 1845)"	1	1001	1361	"2005.viii.24"
"44"	"Cyclolabus"	"nigricollis"	"(Wesmael, 1845)"	1	1001	1366	"2005.ix.12"
"45"	"Cyclolabus"	"nigricollis"	"(Wesmael, 1845)"	1	24	1672	"2005.iv.30"
"46"	"Cyclolabus"	"pactor"	"(Wesmael, 1845)"	1	48	1209	"2004.vii.29"
"47"	"Dentilabus"	"variegatus"	"(Wesmael, 1845)"	2	17	271	"2003.vii.08"
"48"	"Dentilabus"	"variegatus"	"(Wesmael, 1845)"	1	17	1516	"2005.vii.01"
"49"	"Dentilabus"	"variegatus"	"(Wesmael, 1845)"	3	37	571	"2003.viii.15"
"50"	"Dentilabus"	"variegatus"	"(Wesmael, 1845)"	4	37	832	"2004.vi.11"
"51"	"Dentilabus"	"variegatus"	"(Wesmael, 1845)"	2	37	835	"2004.viii.06"
"52"	"Dentilabus"	"variegatus"	"(Wesmael, 1845)"	1	37	1820	"2005.iv.14"
"53"	"Dentilabus"	"variegatus"	"(Wesmael, 1845)"	2	1003	1387	"2005.vi.27"
"54"	"Hypomecus"	"quadriannulatus"	"(Gravenhorst, 1829)"	1	6	368	"2003.vi.17"
"55"	"Hypomecus"	"quadriannulatus"	"(Gravenhorst, 1829)"	1	6	855	"2004.ix.20"
"56"	"Hypomecus"	"quadriannulatus"	"(Gravenhorst, 1829)"	1	9	355	"2003.vi.18"
"57"	"Hypomecus"	"quadriannulatus"	"(Gravenhorst, 1829)"	1	24	819	"2003.viii.18"
"58"	"Hypomecus"	"quadriannulatus"	"(Gravenhorst, 1829)"	1	25	450	"2003.vi.29"
"59"	"Hypomecus"	"quadriannulatus"	"(Gravenhorst, 1829)"	1	37	832	"2004.vi.11"
"60"	"Hypomecus"	"quadriannulatus"	"(Gravenhorst, 1829)"	1	44	673	"2003.viii.29"
"61"	"Hypomecus"	"quadriannulatus"	"(Gravenhorst, 1829)"	1	58	1285	"2004.ix.24"
"62"	"Hypomecus"	"quadriannulatus"	"(Gravenhorst, 1829)"	1	60	217	"2003.ix.01"
"63"	"Hypomecus"	"quadriannulatus"	"(Gravenhorst, 1829)"	1	1001	1331	"2005.vi.27"
"64"	"Hypomecus"	"quadriannulatus"	"(Gravenhorst, 1829)"	1	1001	1332	"2005.vii.02"
"65"	"Hypomecus"	"quadriannulatus"	"(Gravenhorst, 1829)"	2	1002	1373	"2005.vi.18"
"66"	"Hypomecus"	"quadriannulatus"	"(Gravenhorst, 1829)"	1	1003	1389	"2005.vii.24"
"67"	"Linycus"	"exhortator"	"(Fabricius, 1787)"	2	1002	1379	"2005.viii.12"
"68"	"Linycus"	"exhortator"	"(Fabricius, 1787)"	1	2046	2055	"2008.vii.16"
"69"	"Platylabus"	"baueri"	"Riedel, 2008"	1	29	1395	"2005.vi.21"
"70"	"Platylabus"	"baueri"	"Riedel, 2008"	1	39	607	"2003.ix.23"
"71"	"Platylabus"	"baueri"	"Riedel, 2008"	1	1008	1740	"2006.vi.28"
"72"	"Platylabus"	"baueri"	"Riedel, 2008"	1	2003	2038	"2006.ix.08"
"73"	"Platylabus"	"borealis"	"Holmgren, 1871"	4	4	89	"2003.vii.21"
"74"	"Platylabus"	"borealis"	"Holmgren, 1871"	4	42	644	"2003.vii.16"
"75"	"Platylabus"	"borealis"	"Holmgren, 1871"	1	42	645	"2003.vii.25"
"76"	"Platylabus"	"borealis"	"Holmgren, 1871"	1	42	1166	"2004.vii.04"
"77"	"Platylabus"	"borealis"	"Holmgren, 1871"	2	43	1170	"2004.vii.14"
"78"	"Platylabus"	"borealis"	"Holmgren, 1871"	1	43	1171	"2004.vii.28"
"79"	"Platylabus"	"borealis"	"Holmgren, 1871"	3	44	670	"2003.vii.17"
"80"	"Platylabus"	"curtorius"	"(Thunberg, 1822)"	1	4	811	"2004.viii.11"
"81"	"Platylabus"	"curtorius"	"(Thunberg, 1822)"	3	20	233	"2003.vi.25"
"82"	"Platylabus"	"curtorius"	"(Thunberg, 1822)"	3	20	1498	"2005.vii.05"
"83"	"Platylabus"	"curtorius"	"(Thunberg, 1822)"	1	24	818	"2003.viii.01"
"84"	"Platylabus"	"curtorius"	"(Thunberg, 1822)"	1	24	1308	"2004.v.19"
"85"	"Platylabus"	"curtorius"	"(Thunberg, 1822)"	1	29	1395	"2005.vi.21"
"86"	"Platylabus"	"curtorius"	"(Thunberg, 1822)"	1	29	1397	"2005.viii.15"
"87"	"Platylabus"	"curtorius"	"(Thunberg, 1822)"	1	33	1078	"2004.v.30"
"88"	"Platylabus"	"curtorius"	"(Thunberg, 1822)"	1	37	570	"2003.vii.15"
"89"	"Platylabus"	"curtorius"	"(Thunberg, 1822)"	1	37	832	"2004.vi.11"
"90"	"Platylabus"	"curtorius"	"(Thunberg, 1822)"	1	38	1120	"2004.viii.03"
"91"	"Platylabus"	"curtorius"	"(Thunberg, 1822)"	1	42	646	"2003.ix.10"
"92"	"Platylabus"	"curtorius"	"(Thunberg, 1822)"	1	48	1209	"2004.vii.29"
"93"	"Platylabus"	"curtorius"	"(Thunberg, 1822)"	1	2006	2016	"2007.vii.13"
"94"	"Platylabus"	"curtorius"	"(Thunberg, 1822)"	1	2046	2058	"2008.ix.01"
"95"	"Platylabus"	"dolorosus"	"(Gravenhorst, 1829)"	1	29	1394	"2005.vi.04"
"96"	"Platylabus"	"dolorosus"	"(Gravenhorst, 1829)"	1	30	1717	"2005.vi.16"
"97"	"Platylabus"	"dolorosus"	"(Gravenhorst, 1829)"	1	32	1536	"2005.x.03"
"98"	"Platylabus"	"dolorosus"	"(Gravenhorst, 1829)"	1	39	608	"2003.x.13"
"99"	"Platylabus"	"dolorosus"	"(Gravenhorst, 1829)"	1	44	670	"2003.vii.17"
"100"	"Platylabus"	"dolorosus"	"(Gravenhorst, 1829)"	1	1001	1728	"2006.v.18"
"101"	"Platylabus"	"dolorosus"	"(Gravenhorst, 1829)"	1	1002	1891	"2005.x.03"
"102"	"Platylabus"	"dolorosus"	"(Gravenhorst, 1829)"	1	1008	2000	"2006.ix.05"
"103"	"Platylabus"	"fugator"	"(Gravenhorst, 1807)"	1	1000	1322	"2005.vi.27"
"104"	"Platylabus"	"pedatorius"	"Fabricius, 1793"	1	9	356	"2003.vii.06"
"105"	"Platylabus"	"pedatorius"	"Fabricius, 1793"	1	20	233	"2003.vi.25"
