"Genus"	"Species"	"Author"	"GUID"	"Source"	"Notes..errors..synonyms..undescribed.etc."	"Taxon.name..computed."
"1"	"Callajoppa"	"sp."	"Cameron, 1903"	"https://www.dyntaxa.se/taxon/info/1015839"	"Dyntaxa"	NA	"Callajoppa sp."
"2"	"Callajoppa"	"exaltatoria"	"(Panzer, 1804)"	"https://www.dyntaxa.se/taxon/info/260672"	"Dyntaxa"	NA	"Callajoppa exaltatoria"
"3"	"Trogus"	"sp."	"Panzer, 1806"	"https://www.dyntaxa.se/taxon/info/1015840"	"Dyntaxa"	NA	"Trogus sp."
"4"	"Trogus"	"lapidator"	"(Fabricius, 1787)"	"https://www.dyntaxa.se/taxon/info/260673"	"Dyntaxa"	NA	"Trogus lapidator"
"5"	"Eurylabus"	"sp."	"Wesmael, 1845"	"https://www.dyntaxa.se/taxon/info/1015841"	"Dyntaxa"	NA	"Eurylabus sp."
"6"	"Eurylabus"	"larvatus"	"(Christ, 1791)"	"https://www.dyntaxa.se/taxon/info/260674"	"Dyntaxa"	NA	"Eurylabus larvatus"
"7"	"Eurylabus"	"torvus"	"Wesmael, 1845"	"https://www.dyntaxa.se/taxon/info/260675"	"Dyntaxa"	NA	"Eurylabus torvus"
"8"	"Eurylabus"	"tristis"	"(Gravenhorst, 1829)"	"https://www.dyntaxa.se/taxon/info/260676"	"Dyntaxa"	NA	"Eurylabus tristis"
"9"	"Goedartia"	"sp."	"Boie, 1841"	"https://www.dyntaxa.se/taxon/info/1015842"	"Dyntaxa"	NA	"Goedartia sp."
"10"	"Goedartia"	"alboguttata"	"(Gravenhorst, 1829)"	"https://www.dyntaxa.se/taxon/info/260677"	"Dyntaxa"	NA	"Goedartia alboguttata"
"11"	"Amblyjoppa"	"sp."	"Cameron, 1902"	"https://www.dyntaxa.se/taxon/info/1015843"	"Dyntaxa"	NA	"Amblyjoppa sp."
"12"	"Amblyjoppa"	"fuscipennis"	"(Wesmael, 1845)"	"https://www.dyntaxa.se/taxon/info/260678"	"Dyntaxa"	NA	"Amblyjoppa fuscipennis"
"13"	"Amblyjoppa"	"proteus"	"(Christ, 1791)"	"https://www.dyntaxa.se/taxon/info/260679"	"Dyntaxa"	NA	"Amblyjoppa proteus"
"14"	"Coelichneumon"	"sp."	"Thomson, 1893"	"https://www.dyntaxa.se/taxon/info/1015844"	"Dyntaxa"	NA	"Coelichneumon sp."
"15"	"Coelichneumon"	"anospilus"	"(Thomson, 1886)"	"https://www.dyntaxa.se/taxon/info/260680"	"Dyntaxa"	NA	"Coelichneumon anospilus"
"16"	"Coelichneumon"	"anthrax"	"(Dalla Torre, 1901)"	"https://www.dyntaxa.se/taxon/info/260681"	"Dyntaxa"	NA	"Coelichneumon anthrax"
"17"	"Coelichneumon"	"biannulatus"	"(Gravenhorst, 1820)"	"https://www.dyntaxa.se/taxon/info/260682"	"Dyntaxa"	NA	"Coelichneumon biannulatus"
"18"	"Coelichneumon"	"biguttulatus"	"(Kriechbaumer, 1875)"	"https://www.dyntaxa.se/taxon/info/260683"	"Dyntaxa"	NA	"Coelichneumon biguttulatus"
"19"	"Coelichneumon"	"bilineatus"	"(Gmelin, 1790)"	"https://www.dyntaxa.se/taxon/info/260684"	"Dyntaxa"	NA	"Coelichneumon bilineatus"
"20"	"Coelichneumon"	"bohemani"	"(Holmgren, 1864)"	"https://www.dyntaxa.se/taxon/info/260685"	"Dyntaxa"	NA	"Coelichneumon bohemani"
"21"	"Coelichneumon"	"castaniventris"	"(Gravenhorst, 1829)"	"https://www.dyntaxa.se/taxon/info/260686"	"Dyntaxa"	NA	"Coelichneumon castaniventris"
