"Genus"	"Species"	"Author"	"Total"	"TrapID"	"EventID"	"StartDate"
"1"	"Ismarus"	"dorsiger"	"(Haliday, 1831)"	1	1	309	"2003.viii.04"
"2"	"Ismarus"	"dorsiger"	"(Haliday, 1831)"	1	1	1574	"2005.viii.04"
"3"	"Ismarus"	"dorsiger"	"(Haliday, 1831)"	1	3	800	"2004.viii.11"
"4"	"Ismarus"	"dorsiger"	"(Haliday, 1831)"	1	5	768	"2004.viii.16"
"5"	"Ismarus"	"dorsiger"	"(Haliday, 1831)"	1	6	852	"2004.vii.26"
"6"	"Ismarus"	"dorsiger"	"(Haliday, 1831)"	1	6	853	"2004.viii.18"
"7"	"Ismarus"	"dorsiger"	"(Haliday, 1831)"	3	8	391	"2003.vii.15"
"8"	"Ismarus"	"dorsiger"	"(Haliday, 1831)"	3	8	1560	"2004.vii.29"
"9"	"Ismarus"	"dorsiger"	"(Haliday, 1831)"	5	8	1562	"2004.viii.27"
"10"	"Ismarus"	"dorsiger"	"(Haliday, 1831)"	1	11	411	"2003.vii.23"
"11"	"Ismarus"	"dorsiger"	"(Haliday, 1831)"	2	12	176	"2003.viii.02"
"12"	"Ismarus"	"dorsiger"	"(Haliday, 1831)"	1	12	177	"2003.viii.09"
"13"	"Ismarus"	"dorsiger"	"(Haliday, 1831)"	1	12	891	"2004.vi.27"
"14"	"Ismarus"	"dorsiger"	"(Haliday, 1831)"	6	12	893	"2004.viii.01"
"15"	"Ismarus"	"dorsiger"	"(Haliday, 1831)"	7	12	894	"2004.viii.09"
"16"	"Ismarus"	"dorsiger"	"(Haliday, 1831)"	1	12	895	"2004.viii.19"
"17"	"Ismarus"	"dorsiger"	"(Haliday, 1831)"	1	13	902	"2003.vii.22"
"18"	"Ismarus"	"dorsiger"	"(Haliday, 1831)"	1	13	913	"2004.viii.08"
"19"	"Ismarus"	"dorsiger"	"(Haliday, 1831)"	1	13	1644	"2005.vii.12"
"20"	"Ismarus"	"dorsiger"	"(Haliday, 1831)"	1	13	1646	"2005.vii.26"
"21"	"Ismarus"	"dorsiger"	"(Haliday, 1831)"	5	13	1648	"2005.viii.23"
"22"	"Ismarus"	"dorsiger"	"(Haliday, 1831)"	1	14	1655	"2005.viii.02"
"23"	"Ismarus"	"dorsiger"	"(Haliday, 1831)"	1	16	1669	"2005.viii.02"
"24"	"Ismarus"	"dorsiger"	"(Haliday, 1831)"	1	17	272	"2003.vii.19"
"25"	"Ismarus"	"dorsiger"	"(Haliday, 1831)"	5	21	240	"2003.viii.01"
"26"	"Ismarus"	"dorsiger"	"(Haliday, 1831)"	7	22	246	"2003.vii.17"
"27"	"Ismarus"	"dorsiger"	"(Haliday, 1831)"	4	22	247	"2003.viii.07"
"28"	"Ismarus"	"dorsiger"	"(Haliday, 1831)"	1	22	777	"2004.vi.23"
"29"	"Ismarus"	"dorsiger"	"(Haliday, 1831)"	1	23	430	"2003.vi.26"
"30"	"Ismarus"	"dorsiger"	"(Haliday, 1831)"	5	23	431	"2003.vii.10"
"31"	"Ismarus"	"dorsiger"	"(Haliday, 1831)"	6	23	432	"2003.vii.24"
"32"	"Ismarus"	"dorsiger"	"(Haliday, 1831)"	2	23	435	"2003.ix.04"
"33"	"Ismarus"	"dorsiger"	"(Haliday, 1831)"	1	24	817	"2003.vii.15"
"34"	"Ismarus"	"dorsiger"	"(Haliday, 1831)"	3	24	818	"2003.viii.01"
"35"	"Ismarus"	"dorsiger"	"(Haliday, 1831)"	1	24	821	"2003.xii.10"
"36"	"Ismarus"	"dorsiger"	"(Haliday, 1831)"	2	24	1310	"2004.vii.22"
"37"	"Ismarus"	"dorsiger"	"(Haliday, 1831)"	1	26	1692	"2005.vii.19"
"38"	"Ismarus"	"dorsiger"	"(Haliday, 1831)"	1	27	467	"2003.vii.21"
"39"	"Ismarus"	"dorsiger"	"(Haliday, 1831)"	1	27	468	"2003.viii.04"
"40"	"Ismarus"	"dorsiger"	"(Haliday, 1831)"	1	27	1036	"2004.viii.03"
"41"	"Ismarus"	"dorsiger"	"(Haliday, 1831)"	3	28	488	"2003.vii.08"
"42"	"Ismarus"	"dorsiger"	"(Haliday, 1831)"	1	28	1459	"2004.viii.02"
"43"	"Ismarus"	"dorsiger"	"(Haliday, 1831)"	3	28	1468	"2005.viii.09"
"44"	"Ismarus"	"dorsiger"	"(Haliday, 1831)"	1	34	546	"2003.vii.15"
"45"	"Ismarus"	"dorsiger"	"(Haliday, 1831)"	3	36	828	"2004.viii.06"
"46"	"Ismarus"	"dorsiger"	"(Haliday, 1831)"	1	38	577	"2003.vii.11"
"47"	"Ismarus"	"dorsiger"	"(Haliday, 1831)"	2	38	1120	"2004.viii.03"
"48"	"Ismarus"	"dorsiger"	"(Haliday, 1831)"	10	38	1121	"2004.viii.10"
"49"	"Ismarus"	"dorsiger"	"(Haliday, 1831)"	1	38	1126	"2004.ix.22"
"50"	"Ismarus"	"dorsiger"	"(Haliday, 1831)"	1	38	1454	"2005.viii.05"
"51"	"Ismarus"	"dorsiger"	"(Haliday, 1831)"	2	39	602	"2003.vii.12"
"52"	"Ismarus"	"dorsiger"	"(Haliday, 1831)"	1	39	603	"2003.vii.25"
"53"	"Ismarus"	"dorsiger"	"(Haliday, 1831)"	1	39	1140	"2004.viii.20"
"54"	"Ismarus"	"dorsiger"	"(Haliday, 1831)"	4	40	1146	"2004.vii.13"
"55"	"Ismarus"	"dorsiger"	"(Haliday, 1831)"	4	1001	1355	"2005.viii.13"
"56"	"Ismarus"	"dorsiger"	"(Haliday, 1831)"	1	1001	1366	"2005.ix.12"
"57"	"Ismarus"	"dorsiger"	"(Haliday, 1831)"	2	1002	1378	"2005.vii.23"
"58"	"Ismarus"	"dorsiger"	"(Haliday, 1831)"	2	1002	1379	"2005.viii.12"
"59"	"Ismarus"	"dorsiger"	"(Haliday, 1831)"	1	1003	1896	"2005.ix.12"
"60"	"Ismarus"	"dorsiger"	"(Haliday, 1831)"	1	2046	2053	"2008.vi.15"
"61"	"Ismarus"	"dorsiger"	"(Haliday, 1831)"	1	2046	2055	"2008.vii.16"
"62"	"Ismarus"	"dorsiger"	"(Haliday, 1831)"	1	2046	2058	"2008.ix.01"
"63"	"Ismarus"	"flavicornis"	"(Thomson, 1858)"	1	8	1560	"2004.vii.29"
"64"	"Ismarus"	"flavicornis"	"(Thomson, 1858)"	1	27	466	"2003.vii.07"
"65"	"Ismarus"	"flavicornis"	"(Thomson, 1858)"	1	27	1035	"2004.vii.20"
"66"	"Ismarus"	"flavicornis"	"(Thomson, 1858)"	1	1002	1372	"2005.vi.04"
"67"	"Ismarus"	"halidayi"	"Förster, 1850"	1	5	64	"2003.vi.16"
"68"	"Ismarus"	"halidayi"	"Förster, 1850"	1	7	1591	"2005.vi.14"
"69"	"Ismarus"	"halidayi"	"Förster, 1850"	7	11	417	"2003.x.25"
"70"	"Ismarus"	"halidayi"	"Förster, 1850"	3	11	418	"2004.vi.08"
"71"	"Ismarus"	"halidayi"	"Förster, 1850"	2	11	411	"2003.vii.23"
"72"	"Ismarus"	"halidayi"	"Förster, 1850"	1	23	431	"2003.vii.10"
"73"	"Ismarus"	"halidayi"	"Förster, 1850"	1	27	466	"2003.vii.07"
"74"	"Ismarus"	"halidayi"	"Förster, 1850"	1	27	486	"2004.v.17"
"75"	"Ismarus"	"halidayi"	"Förster, 1850"	1	28	1459	"2004.viii.02"
"76"	"Ismarus"	"halidayi"	"Förster, 1850"	1	1001	1728	"2006.v.18"
"77"	"Ismarus"	"halidayi"	"Förster, 1850"	1	2003	2034	"2006.vi.29 "
"78"	"Ismarus"	"rugulosus"	"Förster, 1850"	2	6	852	"2004.vii.26"
"79"	"Ismarus"	"rugulosus"	"Förster, 1850"	3	13	913	"2004.viii.08"
"80"	"Ismarus"	"rugulosus"	"Förster, 1850"	1	13	1643	"2005.vii.05"
"81"	"Ismarus"	"rugulosus"	"Förster, 1850"	1	13	1644	"2005.vii.12"
"82"	"Ismarus"	"rugulosus"	"Förster, 1850"	1	27	466	"2003.vii.07"
"83"	"Ismarus"	"rugulosus"	"Förster, 1850"	1	28	488	"2003.vii.08"
"84"	"Ismarus"	"rugulosus"	"Förster, 1850"	1	28	1459	"2004.viii.02"
"85"	"Ismarus"	"rugulosus"	"Förster, 1850"	1	38	577	"2003.vii.11"
"86"	"Ismarus"	"rugulosus"	"Förster, 1850"	1	41	1159	"2004.viii.03"
"87"	"Ismarus"	"rugulosus"	"Förster, 1850"	1	42	1167	"2004.viii.04"
"88"	"Ismarus"	"rugulosus"	"Förster, 1850"	1	43	1172	"2004.viii.11"
"89"	"Ismarus"	"rugulosus"	"Förster, 1850"	1	43	1912	"2005.viii.25"
"90"	"Ismarus"	"rugulosus"	"Förster, 1850"	1	1002	1378	"2005.vii.23"
"91"	"Ismarus"	"dorsiger"	"(Haliday, 1831)"	1	12	895	"2004.viii.19"
"92"	"Ismarus"	"dorsiger"	"(Haliday, 1831)"	1	13	1648	"2005.viii.23"
"93"	"Ismarus"	"dorsiger"	"(Haliday, 1831)"	1	13	1648	"2005.viii.23"
"94"	"Ismarus"	"dorsiger"	"(Haliday, 1831)"	1	22	1730	"2006.vii.03"
"95"	"Ismarus"	"dorsiger"	"(Haliday, 1831)"	1	24	818	"2003.viii.01"
"96"	"Ismarus"	"dorsiger"	"(Haliday, 1831)"	1	24	818	"2003.viii.01"
"97"	"Ismarus"	"dorsiger"	"(Haliday, 1831)"	1	24	818	"2003.viii.01"
"98"	"Ismarus"	"dorsiger"	"(Haliday, 1831)"	1	28	488	"2003.vii.08"
"99"	"Ismarus"	"dorsiger"	"(Haliday, 1831)"	1	38	1120	"2004.viii.03"
"100"	"Ismarus"	"dorsiger"	"(Haliday, 1831)"	1	54	192	"2003.viii.18"
"101"	"Ismarus"	"dorsiger"	"(Haliday, 1831)"	1	1002	1379	"2005.viii.12"
"102"	"Ismarus"	"dorsiger"	"(Haliday, 1831)"	1	3001	3054	"2014.vii.10"
"103"	"Ismarus"	"dorsiger"	"(Haliday, 1831)"	1	23	431	"2003.vii.10"
"104"	"Ismarus"	"dorsiger"	"(Haliday, 1831)"	1	38	1121	"2004.viii.10"
"105"	"Ismarus"	"dorsiger"	"(Haliday, 1831)"	1	22	1829	"2006.viii.15"
"106"	"Ismarus"	"dorsiger"	"(Haliday, 1831)"	1	24	1674	"2005.vii.20"
"107"	"Ismarus"	"dorsiger"	"(Haliday, 1831)"	1	30	1718	"2005.vii.17"
"108"	"Ismarus"	"dorsiger"	"(Haliday, 1831)"	1	1000	1362	"2005.viii.24"
"109"	"Ismarus"	"dorsiger"	"(Haliday, 1831)"	1	2046	2055	"2008.vii.16"
"110"	"Ismarus"	"dorsiger"	"(Haliday, 1831)"	1	2046	2058	"2008.ix.01"
"111"	"Ismarus"	"flavicornis"	"(Thomson, 1858)"	1	24	1309	"2004.vi.27"
"112"	"Ismarus"	"flavicornis"	"(Thomson, 1858)"	1	27	466	"2003.vii.07"
"113"	"Ismarus"	"flavicornis"	"(Thomson, 1858)"	1	27	466	"2003.vii.07"
"114"	"Ismarus"	"flavicornis"	"(Thomson, 1858)"	1	27	466	"2003.vii.07"
"115"	"Ismarus"	"flavicornis"	"(Thomson, 1858)"	1	27	466	"2003.vii.07"
"116"	"Ismarus"	"flavicornis"	"(Thomson, 1858)"	1	27	466	"2003.vii.07"
"117"	"Ismarus"	"flavicornis"	"(Thomson, 1858)"	1	1003	1384	"2005.v.22"
"118"	"Ismarus"	"halidayi"	"Förster, 1850"	1	6	852	"2004.vii.26"
"119"	"Ismarus"	"halidayi"	"Förster, 1850"	1	11	417	"2003.x.25"
"120"	"Ismarus"	"halidayi"	"Förster, 1850"	1	11	881	"2004.vi.16"
"121"	"Ismarus"	"halidayi"	"Förster, 1850"	1	11	881	"2004.vi.16"
"122"	"Ismarus"	"halidayi"	"Förster, 1850"	1	11	881	"2004.vi.16"
"123"	"Ismarus"	"halidayi"	"Förster, 1850"	1	11	881	"2004.vi.16"
"124"	"Ismarus"	"halidayi"	"Förster, 1850"	1	11	881	"2004.vi.16"
"125"	"Ismarus"	"halidayi"	"Förster, 1850"	1	11	881	"2004.vi.16"
"126"	"Ismarus"	"halidayi"	"Förster, 1850"	1	11	881	"2004.vi.16"
"127"	"Ismarus"	"halidayi"	"Förster, 1850"	1	11	881	"2004.vi.16"
