"Genus"	"Species"	"Author"	"Total"	"TrapID"	"EventID"	"StartDate"
"1"	"Ismarus"	"dorsiger"	"(Haliday, 1831)"	1	13	903	"2003.viii.05"
"2"	"Ismarus"	"dorsiger"	"(Haliday, 1831)"	1	13	1647	"2005.viii.02"
"3"	"Ismarus"	"dorsiger"	"(Haliday, 1831)"	1	14	920	"2003.viii.05"
"4"	"Ismarus"	"dorsiger"	"(Haliday, 1831)"	2	14	931	"2004.viii.17"
"5"	"Ismarus"	"dorsiger"	"(Haliday, 1831)"	2	23	1011	"2004.vii.02"
"6"	"Ismarus"	"dorsiger"	"(Haliday, 1831)"	2	23	1012	"2004.vii.29"
"7"	"Ismarus"	"dorsiger"	"(Haliday, 1831)"	1	29	257	"2003.viii.21"
"8"	"Ismarus"	"dorsiger"	"(Haliday, 1831)"	1	32	1070	"2004.vii.17"
"9"	"Ismarus"	"dorsiger"	"(Haliday, 1831)"	1	32	1071	"2004.vii.31"
"10"	"Ismarus"	"dorsiger"	"(Haliday, 1831)"	1	35	552	"2003.vii.11"
"11"	"Ismarus"	"dorsiger"	"(Haliday, 1831)"	4	35	1104	"2004.viii.19"
"12"	"Ismarus"	"dorsiger"	"(Haliday, 1831)"	1	38	583	"2003.ix.15"
"13"	"Ismarus"	"dorsiger"	"(Haliday, 1831)"	1	38	1123	"2004.viii.25"
"14"	"Ismarus"	"flavicornis"	"(Thomson, 1858)"	1	7	1592	"2005.vii.04"
"15"	"Ismarus"	"halidayi"	"Förster, 1850"	7	23	1010	"2004.vi.18"
"16"	"Ismarus"	"halidayi"	"Förster, 1850"	1	54	1253	"2004.vii.23"
"17"	"Ismarus"	"halidayi"	"Förster, 1850"	1	56	1268	"2004.viii.05"
"18"	"Ismarus"	"rugulosus"	"Förster, 1850"	1	5	65	"2003.vii.02"
"19"	"Ismarus"	"rugulosus"	"Förster, 1850"	1	13	1647	"2005.viii.02"
"20"	"Ismarus"	"rugulosus"	"Förster, 1850"	1	28	1466	"2005.vii.05"
"21"	"Ismarus"	"rugulosus"	"Förster, 1850"	3	35	552	"2003.vii.11"
"22"	"Ismarus"	"halidayi"	"Förster, 1850"	1	54	1253	"2004.vii.23"
