"Genus"	"Species"	"Author"	"Total"	"TrapID"	"EventID"	"StartDate"
"1"	"Pseudolyciella"	"sp."	"Shatalkin, 2000"	1	5	765	"2004.vi.30"
"2"	"Calliopum"	"elisae"	"(Meigen, 1826)"	2	6	853	"2004.viii.18"
"3"	"Meiosimyza"	"rorida"	"(Fallén, 1820)"	1	6	853	"2004.viii.18"
"4"	"Sapromyza"	"opaca"	"Becker, 1895"	2	6	853	"2004.viii.18"
"5"	"Aulogastromyia"	"anisodactyla"	"(Loew, 1845)"	1	8	1563	"2004.ix.10"
"6"	"Calliopum"	"simillimum"	"(Collin, 1933)"	1	8	1563	"2004.ix.10"
"7"	"Meiosimyza"	"decempunctata"	"(Fallén, 1820)"	2	8	1563	"2004.ix.10"
"8"	"Meiosimyza"	"rorida"	"(Fallén, 1820)"	14	8	1563	"2004.ix.10"
"9"	"Sapromyza"	"schnabli"	"Papp, 1987"	2	8	1563	"2004.ix.10"
"10"	"Meiosimyza"	"affinis"	"(Zetterstedt, 1847)"	5	10	1625	"2005.viii.01"
"11"	"Meiosimyza"	"rorida"	"(Fallén, 1820)"	16	10	1625	"2005.viii.01"
"12"	"Tricholauxania"	"praeusta"	"(Fallén, 1820)"	5	10	1625	"2005.viii.01"
"13"	"Calliopum"	"elisae"	"(Meigen, 1826)"	1	11	412	"2003.viii.04"
"14"	"Sapromyzosoma"	"quadripunctata"	"(Linnaeus, 1758)"	1	11	415	"2003.ix.15"
"15"	"Meiosimyza"	"decipiens"	"(Loew, 1847)"	2	12	892	"2004.vii.17"
"16"	"Meiosimyza"	"rorida"	"(Fallén, 1820)"	1	12	892	"2004.vii.17"
"17"	"Meiosimyza"	"sp."	"Hendel, 1925"	1	12	892	"2004.vii.17"
"18"	"Sapromyza"	"opaca"	"Becker, 1895"	1	12	892	"2004.vii.17"
"19"	"Meiosimyza"	"decempunctata"	"(Fallén, 1820)"	1	15	1661	"2005.vii.19"
"20"	"Meiosimyza"	"rorida"	"(Fallén, 1820)"	3	15	1661	"2005.vii.19"
"21"	"Meiosimyza"	"affinis"	"(Zetterstedt, 1847)"	1	15	1662	"2005.viii.02"
"22"	"Meiosimyza"	"decempunctata"	"(Fallén, 1820)"	3	15	1662	"2005.viii.02"
"23"	"Meiosimyza"	"rorida"	"(Fallén, 1820)"	2	21	1508	"2005.viii.01"
"24"	"Pseudolyciella"	"stylata"	"(Papp, 1978)"	6	21	1508	"2005.viii.01"
