"Genus"	"Species"	"Author"	"GUID"	"Notes..errors..synonyms..undescribed.etc."	"Source"	"Taxon.name..computed."
"1"	"Lauxaniidae"	NA	"Bezzi, 1914"	"urn:lsid:dyntaxa.se:Taxon:2001342"	NA	"Dyntaxa"	"Lauxaniidae"
"2"	"Aulogastromyia"	"sp."	"Hendel, 1925"	"http://en.wikipedia.org/wiki/Lauxaniidae"	NA	"Wikipedia"	"Aulogastromyia sp."
"3"	"Aulogastromyia"	"anisodactyla"	"(Loew, 1845)"	"urn:lsid:dyntaxa.se:Taxon:241171"	NA	"Dyntaxa"	"Aulogastromyia anisodactyla"
"4"	"Calliopum"	"sp."	"Strand, 1928"	"http://en.wikipedia.org/wiki/Lauxaniidae"	NA	"Wikipedia"	"Calliopum sp."
"5"	"Calliopum"	"aeneum"	"(Fallén, 1820)"	"urn:lsid:dyntaxa.se:Taxon:241172"	NA	"Dyntaxa"	"Calliopum aeneum"
"6"	"Calliopum"	"elisae"	"(Meigen, 1826)"	"urn:lsid:dyntaxa.se:Taxon:241173"	NA	"Dyntaxa"	"Calliopum elisae"
"7"	"Calliopum"	"simillimum"	"(Collin, 1933)"	"urn:lsid:dyntaxa.se:Taxon:241175"	NA	"Dyntaxa"	"Calliopum simillimum"
"8"	"Cnemacantha"	"sp."	"Macquart, 1835"	"http://en.wikipedia.org/wiki/Lauxaniidae"	NA	"Wikipedia"	"Cnemacantha sp."
"9"	"Cnemacantha"	"muscaria"	"(Fallén, 1823)"	"urn:lsid:dyntaxa.se:Taxon:241176"	NA	"Dyntaxa"	"Cnemacantha muscaria"
"10"	"Eusapromyza"	"sp."	"Malloch, 1923"	"http://en.wikipedia.org/wiki/Lauxaniidae"	NA	"Wikipedia"	"Eusapromyza sp."
"11"	"Eusapromyza"	"multipunctata"	"(Fallén, 1820)"	"urn:lsid:dyntaxa.se:Taxon:241177"	NA	"Dyntaxa"	"Eusapromyza multipunctata"
"12"	"Homoneura"	"sp."	"Wulp, 1891"	"http://en.wikipedia.org/wiki/Lauxaniidae"	NA	"Wikipedia"	"Homoneura sp."
"13"	"Homoneura"	"consobrina"	"(Zetterstedt, 1847)"	"urn:lsid:dyntaxa.se:Taxon:241178"	NA	"Dyntaxa"	"Homoneura consobrina"
"14"	"Homoneura"	"dilecta"	"(Rondani, 1868)"	"urn:lsid:dyntaxa.se:Taxon:241179"	NA	"Dyntaxa"	"Homoneura dilecta"
"15"	"Homoneura"	"interstincta"	"(Fallén, 1820)"	"urn:lsid:dyntaxa.se:Taxon:241180"	NA	"Dyntaxa"	"Homoneura interstincta"
"16"	"Homoneura"	"lamellata"	"(Becker, 1895)"	"urn:lsid:dyntaxa.se:Taxon:241181"	NA	"Dyntaxa"	"Homoneura lamellata"
"17"	"Homoneura"	"modesta"	"(Loew, 1857)"	"urn:lsid:dyntaxa.se:Taxon:241182"	NA	"Dyntaxa"	"Homoneura modesta"
"18"	"Homoneura"	"notata"	"(Fallén, 1820)"	"urn:lsid:dyntaxa.se:Taxon:241183"	NA	"Dyntaxa"	"Homoneura notata"
"19"	"Homoneura"	"patelliformis"	"(Becker, 1895)"	"urn:lsid:dyntaxa.se:Taxon:241184"	NA	"Dyntaxa"	"Homoneura patelliformis"
"20"	"Homoneura"	"tenera"	"(Loew, 1846)"	"urn:lsid:dyntaxa.se:Taxon:241185"	NA	"Dyntaxa"	"Homoneura tenera"
"21"	"Lauxania"	"sp."	"Latreille, 1804"	"http://en.wikipedia.org/wiki/Lauxaniidae"	NA	"Wikipedia"	"Lauxania sp."
"22"	"Lauxania"	"cylindricornis"	"(Fabricius, 1794)"	"urn:lsid:dyntaxa.se:Taxon:241187"	NA	"Dyntaxa"	"Lauxania cylindricornis"
"23"	"Lyciella"	"sp."	"Collin, 1948"	"http://www.faunaeur.org/full_results.php?id=62076"	"apparently obsolete classification, cf below"	"Fauna Europaea"	"Lyciella sp."
"24"	"Lyciella"	"affinis"	"(Zetterstedt, 1847)"	"urn:lsid:dyntaxa.se:Taxon:241188"	"apparently obsolete classification, cf below"	"Dyntaxa"	"Lyciella affinis"
"25"	"Lyciella"	"decempunctata"	"(Fallén, 1820)"	"urn:lsid:dyntaxa.se:Taxon:241189"	"apparently obsolete classification, cf below"	"Dyntaxa"	"Lyciella decempunctata"
"26"	"Lyciella"	"decipiens"	"(Loew, 1847)"	"urn:lsid:dyntaxa.se:Taxon:241190"	"apparently obsolete classification, cf below"	"Dyntaxa"	"Lyciella decipiens"
"27"	"Lyciella"	"illota"	"(Loew, 1847)"	"urn:lsid:dyntaxa.se:Taxon:241191"	"apparently obsolete classification, cf below"	"Dyntaxa"	"Lyciella illota"
"28"	"Lyciella"	"laeta"	"(Zetterstedt, 1838)"	"urn:lsid:dyntaxa.se:Taxon:241192"	"apparently obsolete classification, cf below"	"Dyntaxa"	"Lyciella laeta"
"29"	"Lyciella"	"mihalyii"	"Papp, 1978"	"urn:lsid:dyntaxa.se:Taxon:241193"	"apparently obsolete classification, cf below"	"Dyntaxa"	"Lyciella mihalyii"
"30"	"Lyciella"	"pallidiventris"	"(Fallén, 1820)"	"urn:lsid:dyntaxa.se:Taxon:241194"	"apparently obsolete classification, cf below"	"Dyntaxa"	"Lyciella pallidiventris"
"31"	"Lyciella"	"platycephala"	"(Loew, 1847)"	"urn:lsid:dyntaxa.se:Taxon:241195"	"apparently obsolete classification, cf below"	"Dyntaxa"	"Lyciella platycephala"
"32"	"Lyciella"	"rorida"	"(Fallén, 1820)"	"urn:lsid:dyntaxa.se:Taxon:241196"	"apparently obsolete classification, cf below"	"Dyntaxa"	"Lyciella rorida"
"33"	"Lyciella"	"stylata"	"Papp, 1978"	"urn:lsid:dyntaxa.se:Taxon:241197"	"apparently obsolete classification, cf below"	"Dyntaxa"	"Lyciella stylata"
"34"	"Lyciella"	"subfasciata"	"(Zetterstedt, 1838)"	"urn:lsid:dyntaxa.se:Taxon:241198"	"apparently obsolete classification, cf below"	"Dyntaxa"	"Lyciella subfasciata"
"35"	"Minettia"	"sp."	"Robineau-Desvoidy, 1830"	"urn:lsid:dyntaxa.se:Taxon:1011139"	NA	"Dyntaxa"	"Minettia sp."
"36"	"Minettia"	"desmometopa"	"(de Meijere, 1907)"	"urn:lsid:dyntaxa.se:Taxon:241201"	NA	"Dyntaxa"	"Minettia desmometopa"
"37"	"Minettia"	"fasciata"	"(Fallén, 1826) "	"urn:lsid:dyntaxa.se:Taxon:241202"	NA	"Dyntaxa"	"Minettia fasciata"
"38"	"Minettia"	"filia"	"(T.Becker, 1895)"	"urn:lsid:dyntaxa.se:Taxon:241203"	NA	"Dyntaxa"	"Minettia filia"
"39"	"Minettia"	"loewi"	"(Schiner, 1864)"	"urn:lsid:dyntaxa.se:Taxon:241206"	NA	"Dyntaxa"	"Minettia loewi"
"40"	"Minettia"	"longipennis"	"(Fabricius, 1794)"	"urn:lsid:dyntaxa.se:Taxon:241207"	NA	"Dyntaxa"	"Minettia longipennis"
"41"	"Minettia"	"lupulina"	"(Fabricius, 1787)"	"urn:lsid:dyntaxa.se:Taxon:241209"	NA	"Dyntaxa"	"Minettia lupulina"
"42"	"Minettia"	"plumicornis"	"(Fallén, 1820)"	"urn:lsid:dyntaxa.se:Taxon:241210"	NA	"Dyntaxa"	"Minettia plumicornis"
"43"	"Minettia"	"tabidiventris"	"(Rondani, 1877)"	"urn:lsid:dyntaxa.se:Taxon:6001318"	NA	"Dyntaxa"	"Minettia tabidiventris"
"44"	"Pachycerina"	"sp."	"Macquart, 1835"	"http://en.wikipedia.org/wiki/Lauxaniidae"	NA	"Wikipedia"	"Pachycerina sp."
"45"	"Pachycerina"	"seticornis"	"(Fallén, 1820)"	"urn:lsid:dyntaxa.se:Taxon:241212"	NA	"Dyntaxa"	"Pachycerina seticornis"
"46"	"Pachycerina"	"pulchra"	"(Loew, 1850)"	"urn:lsid:dyntaxa.se:Taxon:6003525"	NA	"Dyntaxa"	"Pachycerina pulchra"
