"Genus"	"Species"	"Author"	"Total"	"TrapID"	"EventID"	"StartDate"
"1"	"Chaetolonchaea"	"dasyops"	"(Meigen, 1826)"	2	20	1496	"2005.vi.03"
"2"	"Chaetolonchaea"	"dasyops"	"(Meigen, 1826)"	1	22	840	"2005.iv.25"
"3"	"Chaetolonchaea"	"dasyops"	"(Meigen, 1826)"	2	22	1314	"2005.vi.15"
"4"	"Chaetolonchaea"	"dasyops"	"(Meigen, 1826)"	12	2006	2029	"2008.vi.05"
"5"	"Chaetolonchaea"	"dasyops"	"(Meigen, 1826)"	1	2046	2053	"2008.vi.15"
"6"	"Chaetolonchaea"	"dasyops"	"(Meigen, 1826)"	2	2046	2052	"2008.vi.01"
"7"	"Chaetolonchaea"	"pallipennis"	"(Zetterstedt, 1855)"	1	8	395	"2004.vi.01"
"8"	"Chaetolonchaea"	"pallipennis"	"(Zetterstedt, 1855)"	2	13	1750	"2004.iv.25"
"9"	"Chaetolonchaea"	"pallipennis"	"(Zetterstedt, 1855)"	1	22	1314	"2005.vi.15"
"10"	"Chaetolonchaea"	"pallipennis"	"(Zetterstedt, 1855)"	6	22	1725	"2006.v.20"
"11"	"Chaetolonchaea"	"pallipennis"	"(Zetterstedt, 1855)"	1	2046	2052	"2008.vi.01"
"12"	"Dasiops"	"appendiculus"	"Morge, 1959"	1	1002	1375	"2005.vii.07"
"13"	"Dasiops"	"laticeps"	"(Czerny, 1934)"	1	5	353	"2004.v.18"
"14"	"Dasiops"	"laticeps"	"(Czerny, 1934)"	1	2003	2034	"2006.vi.29 "
"15"	"Dasiops"	"laticeps"	"(Czerny, 1934)"	1	1008	1032	"2005.v.15"
"16"	"Dasiops"	"laticeps"	"(Czerny, 1934)"	1	6	371	"2003.viii.12"
"17"	"Dasiops"	"spatiosus"	"(Becker, 1895)"	1	8	1604	"2005.ix.05"
"18"	"Dasiops"	"spatiosus"	"(Becker, 1895)"	1	31	1551	"2005.ix.28"
"19"	"Dasiops"	"spatiosus"	"(Becker, 1895)"	1	31	1547	"2005.vii.15"
"20"	"Dasiops"	"spatiosus"	"(Becker, 1895)"	1	42	1166	"2004.vii.04"
"21"	"Dasiops"	"spatiosus"	"(Becker, 1895)"	1	44	670	"2003.vii.17"
"22"	"Dasiops"	"spatiosus"	"(Becker, 1895)"	1	47	694	"2003.viii.06"
"23"	"Dasiops"	"spatiosus"	"(Becker, 1895)"	1	1002	1376	"2005.vii.15"
"24"	"Dasiops"	"spatiosus"	"(Becker, 1895)"	1	1002	1378	"2005.vii.23"
"25"	"Dasiops"	"spatiosus"	"(Becker, 1895)"	1	1002	1372	"2005.vi.04"
"26"	"Dasiops"	"solivagus"	"Morge 1959"	1	46	1200	"2004.vii.15"
"27"	"Earomyia"	"lonchaeoides"	"Zetterstedt, 1848"	4	7	386	"2003.xii.09"
"28"	"Earomyia"	"lonchaeoides"	"Zetterstedt, 1848"	15	8	1605	"2005.xi.15"
"29"	"Earomyia"	"lonchaeoides"	"Zetterstedt, 1848"	9	8	1599	"2004.xii.17"
"30"	"Earomyia"	"lonchaeoides"	"Zetterstedt, 1848"	2	15	1664	"2005.ix.16"
"31"	"Earomyia"	"lonchaeoides"	"Zetterstedt, 1848"	1	15	1658	"2005.iii.03"
"32"	"Earomyia"	"lonchaeoides"	"Zetterstedt, 1848"	1	17	1522	"2006.iii.18"
"33"	"Earomyia"	"lonchaeoides"	"Zetterstedt, 1848"	1	24	1671	"2005.i.19"
"34"	"Earomyia"	"lonchaeoides"	"Zetterstedt, 1848"	2	42	650	"2004.v.21"
"35"	"Earomyia"	"lonchaeoides"	"Zetterstedt, 1848"	7	42	649	"2004.iv.10"
"36"	"Earomyia"	"lonchaeoides"	"Zetterstedt, 1848"	2	43	1903	"2005.iv.23"
"37"	"Earomyia"	"lonchaeoides"	"Zetterstedt, 1848"	4	43	1919	"2005.xii.01"
"38"	"Earomyia"	"lonchaeoides"	"Zetterstedt, 1848"	2	47	1358	"2003.xi.15"
"39"	"Earomyia"	"lonchaeoides"	"Zetterstedt, 1848"	2	48	706	"2004.iv.20"
"40"	"Earomyia"	"lonchaeoides"	"Zetterstedt, 1848"	3	55	744	"2004.iv.20"
"41"	"Earomyia"	"lonchaeoides"	"Zetterstedt, 1848"	1	1000	1432	"2006.iv.27"
"42"	"Earomyia"	"lonchaeoides"	"Zetterstedt, 1848"	4	1000	1431	"2006.iii.16"
"43"	"Earomyia"	"lonchaeoides"	"Zetterstedt, 1848"	4	1001	1565	"2006.iv.27"
"44"	"Earomyia"	"lonchaeoides"	"Zetterstedt, 1848"	2	1008	1492	"2006.iv.02"
"45"	"Earomyia"	"lonchaeoides"	"Zetterstedt, 1848"	2	1003	1897	"2006.ii.19"
"46"	"Earomyia"	"virilis"	"Collin, 1953"	1	13	1750	"2004.iv.25"
"47"	"Earomyia"	"viridana"	"(Meigen, 1826)"	2	2046	2054	"2008.vii.01"
"48"	"Lonchaea"	"affinis"	"Malloch, 1920"	2	43	1170	"2004.vii.14"
"49"	"Lonchaea"	"affinis"	"Malloch, 1920"	9	43	1169	"2004.vi.30"
"50"	"Lonchaea"	"affinis"	"Malloch, 1920"	3	42	650	"2004.v.21"
"51"	"Lonchaea"	"affinis"	"Malloch, 1920"	2	42	1166	"2004.vii.04"
"52"	"Lonchaea"	"affinis"	"Malloch, 1920"	1	48	1208	"2004.vii.08"
"53"	"Lonchaea"	"affinis"	"Malloch, 1920"	15	43	1908	"2005.vi.29"
"54"	"Lonchaea"	"affinis"	"Malloch, 1920"	4	43	1168	"2004.vi.16"
"55"	"Lonchaea"	"affinis"	"Malloch, 1920"	3	43	1909	"2005.vii.14"
"56"	"Lonchaea"	"affinis"	"Malloch, 1920"	3	46	1199	"2004.vi.28"
"57"	"Lonchaea"	"affinis"	"Malloch, 1920"	1	47	1954	"2005.vi.15"
"58"	"Lonchaea"	"affinis"	"Malloch, 1920"	10	48	1209	"2004.vii.29"
"59"	"Lonchaea"	"affinis"	"Malloch, 1920"	2	49	2062	" 2003.vii.21"
"60"	"Lonchaea"	"affinis"	"Malloch, 1920"	1	50	1977	"2005.viii.04"
"61"	"Lonchaea"	"affinis"	"Malloch, 1920"	1	51	1233	"2004.vii.21"
"62"	"Lonchaea"	"affinis"	"Malloch, 1920"	1	56	1269	"2004.viii.20"
"63"	"Lonchaea"	"affinis"	"Malloch, 1920"	1	1002	1371	"2005.v.14"
"64"	"Lonchaea"	"affinis"	"Malloch, 1920"	5	42	644	"2003.vii.16"
"65"	"Lonchaea"	"affinis"	"Malloch, 1920"	2	1001	1333	"2005.vii.12"
"66"	"Lonchaea"	"affinis"	"Malloch, 1920"	5	43	1907	"2005.vi.15"
"67"	"Lonchaea"	"affinis"	"Malloch, 1920"	2	55	1258	"2004.vi.18"
"68"	"Lonchaea"	"affinis"	"Malloch, 1920"	6	46	1200	"2004.vii.15"
"69"	"Lonchaea"	"angelina"	"MacGowan, 2014"	1	1003	1383	"2005.iv.26"
"70"	"Lonchaea"	"bukowskii"	"Czerny, 1934"	1	6	373	"2003.ix.09"
"71"	"Lonchaea"	"bukowskii"	"Czerny, 1934"	1	8	389	"2003.vi.18"
"72"	"Lonchaea"	"bukowskii"	"Czerny, 1934"	1	6	376	"2003.xii.09"
"73"	"Lonchaea"	"bukowskii"	"Czerny, 1934"	1	16	1666	"2005.v.28"
"74"	"Lonchaea"	"bukowskii"	"Czerny, 1934"	2	42	644	"2003.vii.16"
"75"	"Lonchaea"	"bukowskii"	"Czerny, 1934"	1	27	469	"2003.viii.18"
"76"	"Lonchaea"	"bukowskii"	"Czerny, 1934"	1	26	1690	"2005.v.27"
"77"	"Lonchaea"	"chorea"	"(Fabricius, 1781)"	1	12	897	"2004.ix.11"
"78"	"Lonchaea"	"chorea"	"(Fabricius, 1781)"	4	12	178	"2003.viii.25"
"79"	"Lonchaea"	"chorea"	"(Fabricius, 1781)"	5	12	891	"2004.vi.27"
"80"	"Lonchaea"	"chorea"	"(Fabricius, 1781)"	3	22	1725	"2006.v.20"
"81"	"Lonchaea"	"chorea"	"(Fabricius, 1781)"	1	22	1730	"2006.vii.03"
"82"	"Lonchaea"	"chorea"	"(Fabricius, 1781)"	1	1002	1375	"2005.vii.07"
"83"	"Lonchaea"	"chorea"	"(Fabricius, 1781)"	1	2006	2029	"2008.vi.05"
"84"	"Lonchaea"	"chorea"	"(Fabricius, 1781)"	2	2046	2055	"2008.vii.16"
"85"	"Lonchaea"	"corusca"	"Czerny, 1934"	1	29	1048	"2004.vii.30"
"86"	"Lonchaea"	"corusca"	"Czerny, 1934"	1	33	543	"2004.iv.28"
"87"	"Lonchaea"	"corusca"	"Czerny, 1934"	1	27	469	"2003.viii.18"
"88"	"Lonchaea"	"corusca"	"Czerny, 1934"	1	11	411	"2003.vii.23"
"89"	"Lonchaea"	"deutschi"	"Zetterstedt, 1837"	1	43	1168	"2004.vi.16"
"90"	"Lonchaea"	"deutschi"	"Zetterstedt, 1837"	1	46	1945	"2005.vi.27"
"91"	"Lonchaea"	"deutschi"	"Zetterstedt, 1837"	1	1007	1981	"2006.vi.26"
"92"	"Lonchaea"	"deutschi"	"Zetterstedt, 1837"	1	1007	1982	"2005.vii.01"
"93"	"Lonchaea"	"deutschi"	"Zetterstedt, 1837"	1	1008	1734	"2006.v.12"
"94"	"Lonchaea"	"deutschi"	"Zetterstedt, 1837"	1	42	644	"2003.vii.16"
"95"	"Lonchaea"	"deutschi"	"Zetterstedt, 1837"	1	44	1186	"2004.vii.05"
"96"	"Lonchaea"	"deutschi"	"Zetterstedt, 1837"	1	43	1169	"2004.vi.30"
"97"	"Lonchaea"	"deutschi"	"Zetterstedt, 1837"	1	43	1170	"2004.vii.14"
"98"	"Lonchaea"	"fraxina"	"MacGowan & Rotheray, 2000"	1	17	428	"2004.iv.28"
"99"	"Lonchaea"	"fraxina"	"MacGowan & Rotheray, 2000"	1	17	966	"2004.v.19"
"100"	"Lonchaea"	"fraxina"	"MacGowan & Rotheray, 2000"	1	1002	1371	"2005.v.14"
"101"	"Lonchaea"	"fugax"	"Becker, 1895"	1	12	891	"2004.vi.27"
"102"	"Lonchaea"	"fugax"	"Becker, 1895"	1	43	1919	"2005.xii.01"
"103"	"Lonchaea"	"fugax"	"Becker, 1895"	1	1000	1322	"2005.vi.27"
"104"	"Lonchaea"	"fugax"	"Becker, 1895"	3	1003	1387	"2005.vi.27"
"105"	"Lonchaea"	"fugax"	"Becker, 1895"	1	1000	1359	"2005.viii.02"
"106"	"Lonchaea"	"fugax"	"Becker, 1895"	1	1001	1333	"2005.vii.12"
"107"	"Lonchaea"	"fugax"	"Becker, 1895"	1	2046	2054	"2008.vii.01"
"108"	"Lonchaea"	"hackmani"	"V.G.Kovalev, 1981"	1	5	768	"2004.viii.16"
"109"	"Lonchaea"	"hackmani"	"V.G.Kovalev, 1981"	1	9	360	"2003.ix.01"
"110"	"Lonchaea"	"hackmani"	"V.G.Kovalev, 1981"	1	34	548	"2003.ix.13"
"111"	"Lonchaea"	"hackmani"	"V.G.Kovalev, 1981"	1	13	1648	"2005.viii.23"
"112"	"Lonchaea"	"nitens"	"Bigot, 1885"	1	14	1652	"2005.vi.15"
"113"	"Lonchaea"	"nitens"	"Bigot, 1885"	2	1008	1339	"2005.vi.05"
"114"	"Lonchaea"	"nitens"	"Bigot, 1885"	1	1008	1736	"2006.vi.01"
"115"	"Lonchaea"	"obscuritarsis"	"Collin, 1953"	1	24	1673	"2005.v.31"
"116"	"Lonchaea"	"obscuritarsis"	"Collin, 1953"	1	29	1393	"2005.v.21"
"117"	"Lonchaea"	"obscuritarsis"	"Collin, 1953"	1	30	1716	"2004.x.28"
"118"	"Lonchaea"	"obscuritarsis"	"Collin, 1953"	1	1008	1032	"2005.v.15"
"119"	"Lonchaea"	"patens"	"Collin, 1953"	1	1001	1329	"2005.vi.04"
"120"	"Lonchaea"	"patens"	"Collin, 1953"	1	1002	1371	"2005.v.14"
"121"	"Lonchaea"	"ragnari"	"Hackman, 1956"	1	6	368	"2003.vi.17"
"122"	"Lonchaea"	"ragnari"	"Hackman, 1956"	1	50	1971	"2005.iii.07"
"123"	"Lonchaea"	"ragnari"	"Hackman, 1956"	1	43	1169	"2004.vi.30"
"124"	"Lonchaea"	"spicata"	"MacGowan, 2008"	1	52	736	"2004.v.28"
"125"	"Lonchaea"	"sylvatica"	"Beling, 1873"	2	6	370	"2003.vii.29"
"126"	"Lonchaea"	"sylvatica"	"Beling, 1873"	3	6	376	"2003.xii.09"
