"Genus"	"Species"	"Author"	"GUID"	"Notes..errors..synonyms..undescribed.etc."	"Source"	"Taxon.name..computed."
"1"	"Chaetolonchaea"	"sp."	"Czerny 1934"	"urn:lsid:faunaeur.org:taxname:62702"	"Fauna Europaea"	NA	"Chaetolonchaea sp."
"2"	"Chaetolonchaea"	"dasyops"	"(Meigen, 1826)"	"https://www.dyntaxa.se/taxon/info/240973"	"Dyntaxa"	NA	"Chaetolonchaea dasyops"
"3"	"Chaetolonchaea"	"pallipennis"	"(Zetterstedt, 1855)"	"https://www.dyntaxa.se/taxon/info/240974"	"Dyntaxa"	NA	"Chaetolonchaea pallipennis"
"4"	"Chaetolonchaea"	"brevipilosa"	"Czerny, 1934"	"https://www.dyntaxa.se/taxon/info/250227"	"Dyntaxa"	NA	"Chaetolonchaea brevipilosa"
"5"	"Dasiops"	"sp."	"Rondani, 1856"	"https://www.dyntaxa.se/taxon/info/1011063"	"Dyntaxa"	NA	"Dasiops sp."
"6"	"Dasiops"	"appendiculus"	"Morge, 1959"	"https://www.dyntaxa.se/taxon/info/240975"	"Dyntaxa"	"changed from \"appendiculatus\" to \"appendiculus\" (spelling, Pelle)"	"Dasiops appendiculus"
"7"	"Dasiops"	"facialis"	"Collin, 1953"	"https://www.dyntaxa.se/taxon/info/240976"	"Dyntaxa"	NA	"Dasiops facialis"
"8"	"Dasiops"	"hennigi"	"Morge, 1959"	"https://www.dyntaxa.se/taxon/info/240977"	"Dyntaxa"	NA	"Dasiops hennigi"
"9"	"Dasiops"	"laticeps"	"(Czerny, 1934)"	"https://www.dyntaxa.se/taxon/info/240978"	"Dyntaxa"	NA	"Dasiops laticeps"
"10"	"Dasiops"	"occultus"	"Collin, 1953"	"https://www.dyntaxa.se/taxon/info/240979"	"Dyntaxa"	NA	"Dasiops occultus"
"11"	"Dasiops"	"spatiosus"	"(Becker, 1895)"	"https://www.dyntaxa.se/taxon/info/240980"	"Dyntaxa"	NA	"Dasiops spatiosus"
"12"	"Dasiops"	"trichosternalis"	"Morge, 1959"	"https://www.dyntaxa.se/taxon/info/240981"	"Dyntaxa"	NA	"Dasiops trichosternalis"
"13"	"Dasiops"	"mucronatus"	"Morge, 1859"	"https://www.dyntaxa.se/taxon/info/250228"	"Dyntaxa"	NA	"Dasiops mucronatus"
"14"	"Dasiops"	"perpropinquus"	"Morge, 1959"	"https://www.dyntaxa.se/taxon/info/6000105"	"Dyntaxa"	NA	"Dasiops perpropinquus"
"15"	"Earomyia"	"sp."	"Zetterstedt, 1842"	"https://www.dyntaxa.se/taxon/info/1011064"	"Dyntaxa"	NA	"Earomyia sp."
"16"	"Earomyia"	"lonchaeoides"	"Zetterstedt, 1848"	"https://www.dyntaxa.se/taxon/info/240982"	"Dyntaxa"	NA	"Earomyia lonchaeoides"
"17"	"Earomyia"	"viridana"	"(Meigen, 1826)"	"https://www.dyntaxa.se/taxon/info/240983"	"Dyntaxa"	NA	"Earomyia viridana"
"18"	"Earomyia"	"schistopyga"	"Collin, 1953"	"https://www.dyntaxa.se/taxon/info/6000106"	"Dyntaxa"	NA	"Earomyia schistopyga"
"19"	"Earomyia"	"virilis"	"Collin, 1953"	"https://www.dyntaxa.se/taxon/info/6000108"	"Dyntaxa"	NA	"Earomyia virilis"
"20"	"Lonchaea"	"sp."	"Fallén, 1820"	"https://www.dyntaxa.se/taxon/info/1011065"	"Dyntaxa"	NA	"Lonchaea sp."
"21"	"Lonchaea"	"affinis"	"Malloch, 1920"	"https://www.dyntaxa.se/taxon/info/240984"	"Dyntaxa"	NA	"Lonchaea affinis"
"22"	"Lonchaea"	"albitarsis"	"Zetterstedt, 1837"	"https://www.dyntaxa.se/taxon/info/240985"	"Dyntaxa"	NA	"Lonchaea albitarsis"
"23"	"Lonchaea"	"bruggeri"	"Morge, 1967"	"https://www.dyntaxa.se/taxon/info/240987"	"Dyntaxa"	NA	"Lonchaea bruggeri"
"24"	"Lonchaea"	"caledonica"	"MacGowan & Rotheray, 2000"	"https://www.dyntaxa.se/taxon/info/240988"	"Dyntaxa"	NA	"Lonchaea caledonica"
"25"	"Lonchaea"	"carpatica"	"Kovalev, 1974"	"https://www.dyntaxa.se/taxon/info/240989"	"Dyntaxa"	NA	"Lonchaea carpatica"
"26"	"Lonchaea"	"chorea"	"(Fabricius, 1781)"	"https://www.dyntaxa.se/taxon/info/240990"	"Dyntaxa"	NA	"Lonchaea chorea"
"27"	"Lonchaea"	"collini"	"Hackman, 1956"	"https://www.dyntaxa.se/taxon/info/240991"	"Dyntaxa"	NA	"Lonchaea collini"
