"Genus"	"Species"	"Author"	"Total"	"TrapID"	"EventID"	"StartDate"
"1"	"Agrochola"	"helvola"	"(Linnaeus, 1758)"	1	1005	1419	"2005.v.22"
"2"	"Agrotis"	"vestigialis"	"(Hufnagel, 1766)"	1	29	1048	"2004.vii.30"
"3"	"Amphipoea"	"fucosa"	"(Freyer, 1830)"	16	28	488	"2003.vii.08"
"4"	"Amphipyra"	"tragopoginis"	"(Clerck, 1759)"	1	1005	1419	"2005.v.22"
"5"	"Antitype"	"chi"	"(Linnaeus, 1758)"	1	1005	1419	"2005.v.22"
"6"	"Apamea"	"monoglypha"	"(Hufnagel, 1766)"	2	23	431	"2003.vii.10"
"7"	"Apamea"	"remissa"	"(Hübner, 1809)"	2	28	488	"2003.vii.08"
"8"	"Aphantopus"	"hyperantus"	"(Linnaeus, 1758)"	5	28	488	"2003.vii.08"
"9"	"Araschnia"	"levana"	"(Linnaeus, 1758)"	1	37	835	"2004.viii.06"
"10"	"Autographa"	"gamma"	"(Linnaeus, 1758)"	1	1005	1419	"2005.v.22"
"11"	"Autographa"	"gamma"	"(Linnaeus, 1758)"	1	37	835	"2004.viii.06"
"12"	"Autographa"	"gamma"	"(Linnaeus, 1758)"	1	28	488	"2003.vii.08"
"13"	"Autographa"	"gamma"	"(Linnaeus, 1758)"	1	1006	1426	"2005.vii.30"
"14"	"Autographa"	"gamma"	"(Linnaeus, 1758)"	2	34	547	"2003.viii.20"
"15"	"Brenthis"	"ino"	"(Rottemburg, 1775)"	4	28	488	"2003.vii.08"
"16"	"Cabera"	"pusaria"	"(Linnaeus, 1758)"	1	1005	1419	"2005.v.22"
"17"	"Cabera"	"pusaria"	"(Linnaeus, 1758)"	1	23	431	"2003.vii.10"
"18"	"Cabera"	"exanthemata"	"(Scopoli, 1763)"	1	23	431	"2003.vii.10"
"19"	"Camptogramma"	"bilineata"	"(Linnaeus, 1758)"	1	1005	1421	"2005.vii.30"
"20"	"Camptogramma"	"bilineata"	"(Linnaeus, 1758)"	3	28	488	"2003.vii.08"
"21"	"Catocala"	"promissa"	"(Denis & Schiffermüller, 1775)"	1	1005	1419	"2005.v.22"
"22"	"Cerapteryx"	"graminis"	"(Linnaeus, 1758)"	1	1005	1419	"2005.v.22"
"23"	"Cerapteryx"	"graminis"	"(Linnaeus, 1758)"	2	1005	1421	"2005.vii.30"
"24"	"Charissa"	"obscurata"	"(Denis & Schiffermüller, 1775)"	2	1005	1421	"2005.vii.30"
"25"	"Charissa"	"obscurata"	"(Denis & Schiffermüller, 1775)"	1	28	488	"2003.vii.08"
"26"	"Clostera"	"pigra"	"(Hufnagel, 1766)"	1	1006	1426	"2005.vii.30"
"27"	"Colostygia"	"pectinataria"	"(Knoch, 1781)"	1	37	835	"2004.viii.06"
"28"	"Conistra"	"erythrocephala"	"(Denis & Schiffermüller, 1775)"	1	23	1415	"2005.ix.22"
"29"	"Conistra"	"rubiginosa"	"(Scopoli, 1763)"	1	23	440	"2003.xi.13"
"30"	"Coscinia"	"cribraria"	"(Linnaeus, 1758)"	1	1006	1426	"2005.vii.30"
"31"	"Cosmorhoe"	"ocellata"	"(Linnaeus, 1758)"	1	29	1048	"2004.vii.30"
"32"	"Crocallis"	"elinguaria"	"(Linnaeus, 1758)"	1	1005	1419	"2005.v.22"
