"Genus"	"Species"	"Author"	"GUID"	"Source"	"Notes..errors..synonyms..undescribed.etc."	"Taxon.name..computed."
"1"	"Bisigna"	"sp."	"Toll, 1956"	"http://dyntaxa.se/taxon/info/1003791"	"Dyntaxa"	NA	"Bisigna sp."
"2"	"Bisigna"	"procerella"	"(Denis & Schiffermüller, 1775)"	"http://dyntaxa.se/taxon/info/214391"	"Dyntaxa"	NA	"Bisigna procerella"
"3"	"Schiffermuelleria"	"sp."	"Hübner, 1825"	"http://dyntaxa.se/taxon/info/1003792"	"Dyntaxa"	NA	"Schiffermuelleria sp."
"4"	"Schiffermuelleria"	"schaefferella"	"(Linnaeus, 1758)"	"http://dyntaxa.se/taxon/info/214392"	"Dyntaxa"	NA	"Schiffermuelleria schaefferella"
"5"	"Buvatina"	"sp."	"Leraut, 1984"	"http://dyntaxa.se/taxon/info/1003793"	"Dyntaxa"	NA	"Buvatina sp."
"6"	"Buvatina"	"obscurella"	"(Brandt, 1937)"	"http://dyntaxa.se/taxon/info/100807"	"Dyntaxa"	NA	"Buvatina obscurella"
"7"	"Buvatina"	"stroemella"	"(Fabricius, 1779)"	"http://dyntaxa.se/taxon/info/102498"	"Dyntaxa"	NA	"Buvatina stroemella"
"8"	"Denisia"	"sp."	"Hübner, 1825"	"http://dyntaxa.se/taxon/info/1003794"	"Dyntaxa"	NA	"Denisia sp."
"9"	"Denisia"	"albimaculea"	"(Haworth, 1828)"	"http://dyntaxa.se/taxon/info/100806"	"Dyntaxa"	NA	"Denisia albimaculea"
"10"	"Denisia"	"augustella"	"(Hübner, 1796)"	"http://dyntaxa.se/taxon/info/214395"	"Dyntaxa"	NA	"Denisia augustella"
"11"	"Denisia"	"similella"	"(Hübner, 1796)"	"http://dyntaxa.se/taxon/info/214397"	"Dyntaxa"	NA	"Denisia similella"
"12"	"Denisia"	"stipella"	"(Linnaeus, 1758)"	"http://dyntaxa.se/taxon/info/214398"	"Dyntaxa"	NA	"Denisia stipella"
"13"	"Decantha"	"sp."	"Busck, 1900"	"http://dyntaxa.se/taxon/info/1003795"	"Dyntaxa"	NA	"Decantha sp."
"14"	"Decantha"	"borkhausenii"	"(Zeller, 1839)"	"http://dyntaxa.se/taxon/info/102413"	"Dyntaxa"	NA	"Decantha borkhausenii"
"15"	"Metalampra"	"sp."	"Toll, 1956"	"http://dyntaxa.se/taxon/info/1003796"	"Dyntaxa"	NA	"Metalampra sp."
"16"	"Metalampra"	"cinnamomea"	"(Zeller, 1939)"	"http://dyntaxa.se/taxon/info/214400"	"Dyntaxa"	NA	"Metalampra cinnamomea"
"17"	"Endrosis"	"sp."	"Hübner, 1825"	"http://dyntaxa.se/taxon/info/1003797"	"Dyntaxa"	NA	"Endrosis sp."
