"Genus"	"Species"	"Author"	"GUID"	"Source"	"Taxon.name..computed."
"1"	"Allurus"	"sp."	"Förster, 1862"	"http://dyntaxa.se/taxon/info/1014344"	"Dyntaxa"	"Allurus sp."
"2"	"Allurus"	"lituratus"	"(Haliday, 1835)"	"http://dyntaxa.se/taxon/info/253124"	"Dyntaxa"	"Allurus lituratus"
"3"	"Allurus"	"muricatus"	"(Haliday, 1833)"	"http://dyntaxa.se/taxon/info/253125"	"Dyntaxa"	"Allurus muricatus"
"4"	"Spathicopis"	"sp."	"van Achterberg, 1977"	"http://dyntaxa.se/taxon/info/6002590"	"Dyntaxa"	"Spathicopis sp."
"5"	"Spathicopis"	"flavicephala"	"van Achterberg, 1977"	"http://dyntaxa.se/taxon/info/6002591"	"Dyntaxa"	"Spathicopis flavicephala"
"6"	"Townesilitus"	"sp."	"Haeselbarth & Loan, 1983"	"http://dyntaxa.se/taxon/info/6006917"	"Dyntaxa"	"Townesilitus sp."
"7"	"Townesilitus"	"bicolor"	"(Wesmael, 1835)"	"http://dyntaxa.se/taxon/info/253196"	"Dyntaxa"	"Townesilitus bicolor"
"8"	"Townesilitus"	"deceptor"	"(Wesmael, 1835)"	"http://dyntaxa.se/taxon/info/253201"	"Dyntaxa"	"Townesilitus deceptor"
"9"	"Townesilitus"	"fulviceps"	"(Ruthe, 1856)"	"http://dyntaxa.se/taxon/info/253205"	"Dyntaxa"	"Townesilitus fulviceps"
"10"	"Peristenus"	"sp."	"Förster, 1862"	"http://dyntaxa.se/taxon/info/6006918"	"Dyntaxa"	"Peristenus sp."
"11"	"Peristenus"	"accinctus"	"(Haliday, 1835)"	"http://dyntaxa.se/taxon/info/253139"	"Dyntaxa"	"Peristenus accinctus"
"12"	"Peristenus"	"facialis"	"(Thomson, 1892)"	"http://dyntaxa.se/taxon/info/253142"	"Dyntaxa"	"Peristenus facialis"
"13"	"Peristenus"	"grandiceps"	"(Thomson, 1892)"	"http://dyntaxa.se/taxon/info/253145"	"Dyntaxa"	"Peristenus grandiceps"
"14"	"Peristenus"	"obscuripes"	"(Thomson, 1892)"	"http://dyntaxa.se/taxon/info/253146"	"Dyntaxa"	"Peristenus obscuripes"
"15"	"Peristenus"	"pallipes"	"(Curtis, 1833)"	"http://dyntaxa.se/taxon/info/253148"	"Dyntaxa"	"Peristenus pallipes"
"16"	"Peristenus"	"picipes"	"(Curtis, 1833)"	"http://dyntaxa.se/taxon/info/253149"	"Dyntaxa"	"Peristenus picipes"
"17"	"Peristenus"	"relictus"	"(Ruthe, 1856)"	"http://dyntaxa.se/taxon/info/253150"	"Dyntaxa"	"Peristenus relictus"
"18"	"Peristenus"	"rubricollis"	"(Thomson, 1892)"	"http://dyntaxa.se/taxon/info/253151"	"Dyntaxa"	"Peristenus rubricollis"
"19"	"Peristenus"	"varisae"	"van Achterberg, 2001"	"http://dyntaxa.se/taxon/info/253153"	"Dyntaxa"	"Peristenus varisae"
"20"	"Centistes"	"sp."	"Haliday, 1835"	"http://dyntaxa.se/taxon/info/1014345"	"Dyntaxa"	"Centistes sp."
"21"	"Centistes"	"ater"	"(Nees, 1834)"	"http://dyntaxa.se/taxon/info/253126"	"Dyntaxa"	"Centistes ater"
"22"	"Centistes"	"collaris"	"(Thomson, 1895)"	"http://dyntaxa.se/taxon/info/253127"	"Dyntaxa"	"Centistes collaris"
"23"	"Centistes"	"cuspidatus"	"(Haliday, 1833)"	"http://dyntaxa.se/taxon/info/253128"	"Dyntaxa"	"Centistes cuspidatus"
"24"	"Centistes"	"edentatus"	"(Haliday, 1835)"	"http://dyntaxa.se/taxon/info/253129"	"Dyntaxa"	"Centistes edentatus"
"25"	"Centistes"	"fuscipes"	"(Nees, 1834)"	"http://dyntaxa.se/taxon/info/253130"	"Dyntaxa"	"Centistes fuscipes"
"26"	"Centistes"	"nasutus"	"(Wesmael, 1838)"	"http://dyntaxa.se/taxon/info/253131"	"Dyntaxa"	"Centistes nasutus"
"27"	"Centistes"	"subsulcatus"	"(Thomson, 1895)"	"http://dyntaxa.se/taxon/info/253132"	"Dyntaxa"	"Centistes subsulcatus"
"28"	"Cosmophorus"	"sp."	"Ratzeburg, 1848"	"http://dyntaxa.se/taxon/info/1014346"	"Dyntaxa"	"Cosmophorus sp."
"29"	"Cosmophorus"	"cembrae"	"Ruschka, 1925"	"http://dyntaxa.se/taxon/info/253133"	"Dyntaxa"	"Cosmophorus cembrae"
"30"	"Cosmophorus"	"henscheli"	"Ruschka, 1925"	"http://dyntaxa.se/taxon/info/253134"	"Dyntaxa"	"Cosmophorus henscheli"
"31"	"Cosmophorus"	"klugii"	"Ratzeburg, 1848"	"http://dyntaxa.se/taxon/info/253135"	"Dyntaxa"	"Cosmophorus klugii"
"32"	"Cosmophorus"	"regius"	"Niezabitowski, 1910"	"http://dyntaxa.se/taxon/info/253136"	"Dyntaxa"	"Cosmophorus regius"
