"Genus"	"Species"	"Author"	"Total"	"TrapID"	"EventID"	"StartDate"
"1"	"Acanthophila"	"alacella"	"(Zeller, 1839)"	1	23	431	"2003.vii.10"
"2"	"Acleris"	"ferrugana"	"(Denis & Schiffermüller, 1775)"	1	1005	1419	"2005.v.22"
"3"	"Acleris"	"ferrugana"	"(Denis & Schiffermüller, 1775)"	1	1005	1421	"2005.vii.30"
"4"	"Acleris"	"laterana"	"(Fabricius, 1794)"	1	36	828	"2004.viii.06"
"5"	"Acleris"	"sp."	"Hübner, 1825"	1	1006	1426	"2005.vii.30"
"6"	"Adela"	"reaumurella"	"(Linnaeus, 1758)"	4	37	831	"2004.v.20"
"7"	"Adela"	"reaumurella"	"(Linnaeus, 1758)"	1	23	449	"2004.v.20"
"8"	"Agapeta"	"hamana"	"(Linnaeus, 1758)"	1	28	488	"2003.vii.08"
"9"	"Agonopterix"	"heracliana"	"(Linnaeus, 1758)"	1	1005	1419	"2005.v.22"
"10"	"Agonopterix"	"heracliana"	"(Linnaeus, 1758)"	1	24	823	"2004.v.06"
"11"	"Agonopterix"	"heracliana"	"(Linnaeus, 1758)"	1	37	831	"2004.v.20"
"12"	"Agriphila"	"straminella"	"(Denis & Schiffermüller, 1775)"	1	37	835	"2004.viii.06"
"13"	"Agriphila"	"tristella"	"(Denis & Schiffermüller, 1775)"	1	36	828	"2004.viii.06"
"14"	"Alucita"	"hexadactyla"	"(Linnaeus, 1758)"	2	31	515	"2004.iv.14"
"15"	"Anacampsis"	"blattariella"	"(Hübner, 1796)"	1	36	828	"2004.viii.06"
"16"	"Anacampsis"	"blattariella"	"(Hübner, 1796)"	1	34	547	"2003.viii.20"
"17"	"Ancylis"	"apicella"	"(Denis & Schiffermüller, 1775)"	1	24	823	"2004.v.06"
"18"	"Aphomia"	"sociella"	"(Linnaeus, 1758)"	1	28	488	"2003.vii.08"
"19"	"Apotomis"	"betuletana"	"(Haworth, 1811)"	1	28	488	"2003.vii.08"
"20"	"Argynnis"	"paphia"	"(Linnaeus, 1758)"	2	28	488	"2003.vii.08"
"21"	"Argynnis"	"adippe"	"(Denis & Schiffermüller, 1775)"	4	28	488	"2003.vii.08"
"22"	"Argyresthia"	"conjugella"	"Zeller, 1839"	1	23	431	"2003.vii.10"
"23"	"Argyresthia"	"albistria"	"(Haworth, 1828)"	1	23	431	"2003.vii.10"
"24"	"Argyresthia"	"conjugella"	"Zeller, 1839"	1	23	431	"2003.vii.10"
"25"	"Argyresthia"	"pygmaeella"	"([Denis & Schiffermüller], 1775)"	3	1006	1426	"2005.vii.30"
"26"	"Argyresthia"	"semitestacella"	"(Curtis, 1833)"	1	23	1413	"2005.viii.25"
"27"	"Bactra"	"furfurana"	"(Haworth, 1811)"	1	23	431	"2003.vii.10"
"28"	"Bembecia"	"ichneumoniformis"	"(Denis & Schiffermüller, 1775)"	1	28	488	"2003.vii.08"
"29"	"Caloptilia"	"populetorum"	"(Zeller, 1839)"	1	27	473	"2003.x.12"
"30"	"Carcina"	"quercana"	"(Fabricius, 1775)"	1	1005	1421	"2005.vii.30"
"31"	"Carcina"	"quercana"	"(Fabricius, 1775)"	5	23	431	"2003.vii.10"
"32"	"Caryocolum"	"blandella"	"(Douglas, 1852)"	10	23	431	"2003.vii.10"
"33"	"Caryocolum"	"blandella"	"(Douglas, 1852)"	3	23	1413	"2005.viii.25"
"34"	"Catoptria"	"fulgidella"	"(Hübner, 1813)"	1	1006	1424	"2005.v.22"
"35"	"Celypha"	"striana"	"(Denis & Schiffermüller, 1775)"	3	28	488	"2003.vii.08"
"36"	"Clepsis"	"spectrana"	"(Treitschke, 1830)"	1	1006	1426	"2005.vii.30"
