"Genus"	"Species"	"Author"	"GUID"	"Source"	"Notes..errors..synonyms..undescribed.etc."	"Taxon.name..computed."
"1"	"Desmometopa"	"sp."	"Loew 1866"	"urn:lsid:faunaeur.org:taxname:62826"	"Fauna Europaea"	NA	"Desmometopa sp."
"2"	"Desmometopa"	"m-nigrum"	"(Zetterstedt, 1848)"	"http://dyntaxa.se/taxon/info/241717"	"Dyntaxa"	NA	"Desmometopa m-nigrum"
"3"	"Desmometopa"	"palpalia"	"(Wahlberg in Zetterstedt, 1848)"	"http://dyntaxa.se/taxon/info/241718"	"Dyntaxa"	NA	"Desmometopa palpalia"
"4"	"Desmometopa"	"sordida"	"(Fallén, 1820)"	"http://dyntaxa.se/taxon/info/241719"	"Dyntaxa"	NA	"Desmometopa sordida"
"5"	"Leptometopa"	"sp."	"Becker 1903"	"urn:lsid:faunaeur.org:taxname:62817"	"Fauna Europaea"	NA	"Leptometopa sp."
"6"	"Leptometopa"	"latipes"	"(Meigen, 1830)"	"http://dyntaxa.se/taxon/info/241720"	"Dyntaxa"	NA	"Leptometopa latipes"
"7"	"Leptometopa"	"niveipennis"	"(Strobl, 1900)"	"http://dyntaxa.se/taxon/info/241721"	"Dyntaxa"	NA	"Leptometopa niveipennis"
"8"	"Madiza"	"sp."	"Fallen 1810"	"urn:lsid:faunaeur.org:taxname:61075"	"Fauna Europaea"	NA	"Madiza sp."
"9"	"Madiza"	"brittanica"	"Hennig, 1937"	"http://dyntaxa.se/taxon/info/241722"	"Dyntaxa"	"wrong spelled in dyntaxa. Madiza britannica Hennig 1937"	"Madiza brittanica"
"10"	"Madiza"	"glabra"	"Fallén, 1820"	"http://dyntaxa.se/taxon/info/241723"	"Dyntaxa"	NA	"Madiza glabra"
"11"	"Madiza"	"eximia"	"Papp, 1993"	"http://dyntaxa.se/taxon/info/250231"	"Dyntaxa"	NA	"Madiza eximia"
"12"	"Madiza"	"pachymera"	"Becker, 1908"	"http://dyntaxa.se/taxon/info/250232"	"Dyntaxa"	NA	"Madiza pachymera"
"13"	"Madiza"	"britannica"	"Hennig, 1937"	"http://faunaeur.org/full_results.php?id=62851"	"Fauna Europaea"	"misspellt in Dyntaxa"	"Madiza britannica"
"14"	"Milichia"	"sp."	"Meigen 1830"	"urn:lsid:faunaeur.org:taxname:62804"	"Fauna Europaea"	NA	"Milichia sp."
"15"	"Milichia"	"ludens"	"(Wahlberg, 1847)"	"http://dyntaxa.se/taxon/info/241724"	"Dyntaxa"	NA	"Milichia ludens"
"16"	"Neophyllomyza"	"sp."	"Melander 1913"	"urn:lsid:faunaeur.org:taxname:62798"	"Fauna Europaea"	NA	"Neophyllomyza sp."
"17"	"Neophyllomyza"	"acyglossa"	"(Villeneuve, 1920)"	"http://dyntaxa.se/taxon/info/241725"	"Dyntaxa"	NA	"Neophyllomyza acyglossa"
"18"	"Phyllomyza"	"sp."	"Fallen 1810"	"urn:lsid:faunaeur.org:taxname:62794"	"Fauna Europaea"	NA	"Phyllomyza sp."
"19"	"Phyllomyza"	"donisthorpei"	"Schmitz, 1923"	"http://dyntaxa.se/taxon/info/241726"	"Dyntaxa"	NA	"Phyllomyza donisthorpei"
"20"	"Phyllomyza"	"equitans"	"(Hendel, 1919)"	"http://dyntaxa.se/taxon/info/241727"	"Dyntaxa"	NA	"Phyllomyza equitans"
"21"	"Phyllomyza"	"flavitarsis"	"(Meigen, 1830)"	"http://dyntaxa.se/taxon/info/241728"	"Dyntaxa"	NA	"Phyllomyza flavitarsis"
"22"	"Phyllomyza"	"formicae"	"Schmitz, 1923"	"http://dyntaxa.se/taxon/info/241729"	"Dyntaxa"	NA	"Phyllomyza formicae"
"23"	"Phyllomyza"	"longipalpis"	"(Schmitz, 1924)"	"http://dyntaxa.se/taxon/info/241730"	"Dyntaxa"	NA	"Phyllomyza longipalpis"
"24"	"Phyllomyza"	"securicornis"	"Fallén, 1823"	"http://dyntaxa.se/taxon/info/241731"	"Dyntaxa"	NA	"Phyllomyza securicornis"
"25"	"Phyllomyza"	"silesiaca"	"(Duda, 1935)"	"http://dyntaxa.se/taxon/info/241732"	"Dyntaxa"	NA	"Phyllomyza silesiaca"
"26"	"Phyllomyza"	"tetragona"	"Hendel, 1924"	"http://dyntaxa.se/taxon/info/241733"	"Dyntaxa"	NA	"Phyllomyza tetragona"
"27"	"Neophyllomyza"	"leanderi"	"Hendel 1924"	"urn:lsid:faunaeur.org:taxname:62837"	"Fauna Europaea"	NA	"Neophyllomyza leanderi"
