"Genus"	"Species"	"Author"	"Total"	"TrapID"	"EventID"	"StartDate"
"1"	"Desmometopa"	"m-nigrum"	"(Zetterstedt, 1848)"	16	5	77	"2003.viii.11"
"2"	"Leptometopa"	"latipes"	"(Meigen, 1830)"	1	5	77	"2003.viii.11"
"3"	"Milichia"	"ludens"	"(Wahlberg, 1847)"	1	35	1102	"2004.vii.23"
"4"	"Neophyllomyza"	"acyglossa"	"(Villeneuve, 1920)"	26	35	1102	"2004.vii.23"
"5"	"Desmometopa"	"sordida"	"(Fallén, 1820)"	1	35	1102	"2004.vii.23"
"6"	"Neophyllomyza"	"acyglossa"	"(Villeneuve, 1920)"	10	5	71	"2003.vii.14"
"7"	"Milichia"	"ludens"	"(Wahlberg, 1847)"	3	5	71	"2003.vii.14"
"8"	"Desmometopa"	"sordida"	"(Fallén, 1820)"	15	22	246	"2003.vii.17"
"9"	"Neophyllomyza"	"leanderi"	"Hendel, 1924"	11	10	397	"2003.vii.08"
"10"	"Desmometopa"	"sordida"	"(Fallén, 1820)"	1	5	65	"2003.vii.02"
"11"	"Neophyllomyza"	"acyglossa"	"(Villeneuve, 1920)"	2	5	65	"2003.vii.02"
"12"	"Desmometopa"	"m-nigrum"	"(Zetterstedt, 1848)"	28	5	76	"2003.vii.28"
"13"	"Phyllomyza"	"sp."	"Fallen 1810"	2	5	76	"2003.vii.28"
"14"	"Neophyllomyza"	"acyglossa"	"(Villeneuve, 1920)"	3	5	76	"2003.vii.28"
"15"	"Neophyllomyza"	"leanderi"	"Hendel, 1924"	1	5	76	"2003.vii.28"
"16"	"Leptometopa"	"latipes"	"(Meigen, 1830)"	1	5	76	"2003.vii.28"
"17"	"Neophyllomyza"	"acyglossa"	"(Villeneuve, 1920)"	3	1000	1324	"2005.vii.12"
"18"	"Neophyllomyza"	"acyglossa"	"(Villeneuve, 1920)"	1	24	816	"2003.vi.26"
"19"	"Neophyllomyza"	"leanderi"	"Hendel, 1924"	1	24	816	"2003.vi.26"
"20"	"Neophyllomyza"	"acyglossa"	"(Villeneuve, 1920)"	1	10	406	"2004.iii.27"
"21"	"Neophyllomyza"	"acyglossa"	"(Villeneuve, 1920)"	2	54	1253	"2004.vii.23"
"22"	"Neophyllomyza"	"acyglossa"	"(Villeneuve, 1920)"	2	1008	1341	"2005.vi.15"
"23"	"Neophyllomyza"	"acyglossa"	"(Villeneuve, 1920)"	1	24	817	"2003.vii.15"
"24"	"Desmometopa"	"sordida"	"(Fallén, 1820)"	1	22	250	"2003.ix.12"
"25"	"Desmometopa"	"sordida"	"(Fallén, 1820)"	1	22	247	"2003.viii.07"
