"Genus"	"Species"	"Author"	"GUID"	"Source"	"Taxon.name..computed."
"1"	"Desmometopa"	"sp."	"Loew 1866"	"urn:lsid:faunaeur.org:taxname:62826"	"Dyntaxa"	"Desmometopa sp."
"2"	"Desmometopa"	"m-nigrum"	"(Zetterstedt, 1848)"	"http://dyntaxa.se/taxon/info/241717"	"Dyntaxa"	"Desmometopa m-nigrum"
"3"	"Desmometopa"	"palpalia"	"(Wahlberg in Zetterstedt, 1848)"	"http://dyntaxa.se/taxon/info/241718"	"Dyntaxa"	"Desmometopa palpalia"
"4"	"Desmometopa"	"sordida"	"(Fallén, 1820)"	"http://dyntaxa.se/taxon/info/241719"	"Dyntaxa"	"Desmometopa sordida"
"5"	"Leptometopa"	"sp."	"Becker 1903"	"urn:lsid:faunaeur.org:taxname:62817"	"Dyntaxa"	"Leptometopa sp."
"6"	"Leptometopa"	"latipes"	"(Meigen, 1830)"	"http://dyntaxa.se/taxon/info/241720"	"Dyntaxa"	"Leptometopa latipes"
"7"	"Leptometopa"	"niveipennis"	"(Strobl, 1900)"	"http://dyntaxa.se/taxon/info/241721"	"Dyntaxa"	"Leptometopa niveipennis"
"8"	"Madiza"	"sp."	"Fallen 1810"	"urn:lsid:faunaeur.org:taxname:61075"	"Dyntaxa"	"Madiza sp."
"9"	"Madiza"	"brittanica"	"Hennig, 1937"	"http://dyntaxa.se/taxon/info/241722"	"Dyntaxa"	"Madiza brittanica"
"10"	"Madiza"	"glabra"	"Fallén, 1820"	"http://dyntaxa.se/taxon/info/241723"	"Dyntaxa"	"Madiza glabra"
"11"	"Madiza"	"eximia"	"Papp, 1993"	"http://dyntaxa.se/taxon/info/250231"	"Dyntaxa"	"Madiza eximia"
"12"	"Madiza"	"pachymera"	"Becker, 1908"	"http://dyntaxa.se/taxon/info/250232"	"Dyntaxa"	"Madiza pachymera"
"13"	"Milichia"	"sp."	"Meigen 1830"	"urn:lsid:faunaeur.org:taxname:62804"	"Dyntaxa"	"Milichia sp."
"14"	"Milichia"	"ludens"	"(Wahlberg, 1847)"	"http://dyntaxa.se/taxon/info/241724"	"Dyntaxa"	"Milichia ludens"
"15"	"Neophyllomyza"	"sp."	"Melander 1913"	"urn:lsid:faunaeur.org:taxname:62798"	"Dyntaxa"	"Neophyllomyza sp."
"16"	"Neophyllomyza"	"acyglossa"	"(Villeneuve, 1920)"	"http://dyntaxa.se/taxon/info/241725"	"Dyntaxa"	"Neophyllomyza acyglossa"
"17"	"Phyllomyza"	"sp."	"Fallen 1810"	"urn:lsid:faunaeur.org:taxname:62794"	"Dyntaxa"	"Phyllomyza sp."
"18"	"Phyllomyza"	"donisthorpei"	"Schmitz, 1923"	"http://dyntaxa.se/taxon/info/241726"	"Dyntaxa"	"Phyllomyza donisthorpei"
"19"	"Phyllomyza"	"equitans"	"(Hendel, 1919)"	"http://dyntaxa.se/taxon/info/241727"	"Dyntaxa"	"Phyllomyza equitans"
"20"	"Phyllomyza"	"flavitarsis"	"(Meigen, 1830)"	"http://dyntaxa.se/taxon/info/241728"	"Dyntaxa"	"Phyllomyza flavitarsis"
"21"	"Phyllomyza"	"formicae"	"Schmitz, 1923"	"http://dyntaxa.se/taxon/info/241729"	"Dyntaxa"	"Phyllomyza formicae"
"22"	"Phyllomyza"	"longipalpis"	"(Schmitz, 1924)"	"http://dyntaxa.se/taxon/info/241730"	"Dyntaxa"	"Phyllomyza longipalpis"
"23"	"Phyllomyza"	"securicornis"	"Fallén, 1823"	"http://dyntaxa.se/taxon/info/241731"	"Dyntaxa"	"Phyllomyza securicornis"
"24"	"Phyllomyza"	"silesiaca"	"(Duda, 1935)"	"http://dyntaxa.se/taxon/info/241732"	"Dyntaxa"	"Phyllomyza silesiaca"
"25"	"Phyllomyza"	"tetragona"	"Hendel, 1924"	"http://dyntaxa.se/taxon/info/241733"	"Dyntaxa"	"Phyllomyza tetragona"
"26"	"Neophyllomyza"	"leanderi"	"Hendel, 1924"	"urn:lsid:faunaeur.org:taxname:62837"	"Fauna Europaea"	"Neophyllomyza leanderi"
