"Genus"	"Species"	"Author"	"Total"	"TrapID"	"EventID"	"StartDate"
"1"	"Azelia"	"cilipes"	"(Haliday, 1838)"	18	1003	1896	"2005.ix.12"
"2"	"Azelia"	"gibbera"	"(Meigen, 1826)"	2	1003	1389	"2005.vii.24"
"3"	"Azelia"	"sp."	"Robineau-Desvoidy, 1830"	8	1003	1896	"2005.ix.12"
"4"	"Azelia"	"sp."	"Robineau-Desvoidy, 1830"	1	1003	1389	"2005.vii.24"
"5"	"Azelia"	"zetterstedtii"	"Rondani, 1866"	1	1003	1896	"2005.ix.12"
"6"	"Brontaea"	"humilis"	"(Zetterstedt, 1860)"	1	1003	1896	"2005.ix.12"
"7"	"Coenosia"	"agromyzina"	"(Fallén, 1825)"	2	2046	2051	"2008.v.01"
"8"	"Coenosia"	"infantula"	"Rondani, 1866"	2	1003	1896	"2005.ix.12"
"9"	"Coenosia"	"mollicula"	"(Fallén, 1825)"	1	1003	1896	"2005.ix.12"
"10"	"Coenosia"	"mollicula"	"(Fallén, 1825)"	2	1006	1902	"2005.ix.26"
"11"	"Coenosia"	"pedella"	"(Fallén, 1825)"	1	1003	1896	"2005.ix.12"
"12"	"Coenosia"	"pumila"	"(Fallén, 1825)"	23	1003	1896	"2005.ix.12"
"13"	"Coenosia"	"pumila"	"(Fallén, 1825)"	3	2046	2051	"2008.v.01"
"14"	"Coenosia"	"sp."	"Meigen 1826"	9	1003	1896	"2005.ix.12"
"15"	"Coenosia"	"sp."	"Meigen 1826"	1	2046	2051	"2008.v.01"
"16"	"Coenosia"	"testacea"	"(Robineau-Desvoidy, 1830)"	10	1003	1896	"2005.ix.12"
"17"	"Coenosia"	"testacea"	"(Robineau-Desvoidy, 1830)"	25	2046	2051	"2008.v.01"
"18"	"Coenosia"	"tigrina"	"(Fabricius, 1775)"	6	2046	2051	"2008.v.01"
"19"	"Coenosia"	"verralli"	"Collin, 1953"	2	2046	2051	"2008.v.01"
"20"	"Drymeia"	"hamata"	"(Fallén, 1823)"	1	1003	1896	"2005.ix.12"
"21"	"Drymeia"	"vicana"	"(Harris, 1780)"	1	2046	2051	"2008.v.01"
"22"	"Eudasyphora"	"zimini"	"(Hennig, 1963)"	1	1008	2000	"2006.ix.05"
"23"	"Haematobosca"	"stimulans"	"(Meigen, 1824)"	2	1003	1896	"2005.ix.12"
"24"	"Hebecnema"	"sp."	"Schnabl, 1889"	2	2046	2051	"2008.v.01"
"25"	"Hebecnema"	"umbratica"	"(Meigen, 1826)"	2	1003	1896	"2005.ix.12"
"26"	"Hebecnema"	"vespertina"	"(Fallén, 1823)"	4	1003	1896	"2005.ix.12"
"27"	"Hebecnema"	"vespertina"	"(Fallén, 1823)"	1	1003	1389	"2005.vii.24"
"28"	"Helina"	"ciliatocosta"	"(Zetterstedt, 1845)"	1	1003	1896	"2005.ix.12"
"29"	"Helina"	"depuncta"	"(Fallén, 1825)"	27	1003	1896	"2005.ix.12"
"30"	"Helina"	"depuncta"	"(Fallén, 1825)"	7	1003	1896	"2005.ix.12"
"31"	"Helina"	"depuncta"	"(Fallén, 1825)"	2	1003	1389	"2005.vii.24"
"32"	"Helina"	"depuncta"	"(Fallén, 1825)"	19	1008	2000	"2006.ix.05"
"33"	"Helina"	"evecta"	"(Harris, 1780)"	1	1008	1736	"2006.vi.01"
"34"	"Helina"	"evecta"	"(Harris, 1780)"	2	1003	1896	"2005.ix.12"
"35"	"Helina"	"evecta"	"(Harris, 1780)"	2	1003	1389	"2005.vii.24"
"36"	"Helina"	"evecta"	"(Harris, 1780)"	11	1006	1902	"2005.ix.26"
"37"	"Helina"	"evecta"	"(Harris, 1780)"	1	2046	2051	"2008.v.01"
"38"	"Helina"	"impuncta"	"(Fallén, 1825)"	37	1003	1896	"2005.ix.12"
"39"	"Helina"	"impuncta"	"(Fallén, 1825)"	1	1003	1389	"2005.vii.24"
"40"	"Helina"	"impuncta"	"(Fallén, 1825)"	45	1006	1902	"2005.ix.26"
"41"	"Helina"	"impuncta"	"(Fallén, 1825)"	1	1008	2000	"2006.ix.05"
"42"	"Helina"	"reversio"	"(Harris, 1780)"	1	1003	1896	"2005.ix.12"
"43"	"Helina"	"reversio"	"(Harris, 1780)"	29	2046	2051	"2008.v.01"
"44"	"Helina"	"sp 1"	"sp. indet."	5	1008	1736	"2006.vi.01"
"45"	"Helina"	"sp 2"	"sp. indet."	2	1008	1736	"2006.vi.01"
"46"	"Helina"	"sp."	"Robineau-Desvoidy, 1830"	1	1003	1896	"2005.ix.12"
"47"	"Helina"	"sp."	"Robineau-Desvoidy, 1830"	1	2046	2051	"2008.v.01"
"48"	"Hydrotaea"	"albipuncta"	"(Zetterstedt, 1845)"	1	1003	1896	"2005.ix.12"
"49"	"Hydrotaea"	"cinerea"	"Robineau-Desvoidy, 1830"	1	1003	1896	"2005.ix.12"
"50"	"Hydrotaea"	"cyrtoneurina"	"(Zetterstedt, 1845)"	1	1003	1896	"2005.ix.12"
"51"	"Hydrotaea"	"cyrtoneurina"	"(Zetterstedt, 1845)"	1	1006	1902	"2005.ix.26"
"52"	"Hydrotaea"	"cyrtoneurina"	"(Zetterstedt, 1845)"	2	2046	2051	"2008.v.01"
"53"	"Hydrotaea"	"dentipes"	"(Fabricius, 1805)"	1	1003	1896	"2005.ix.12"
"54"	"Hydrotaea"	"sp."	"Robineau-Desvoidy, 1830"	2	1003	1896	"2005.ix.12"
"55"	"Limnophora"	"triangula"	"(Fallén, 1825)"	2	1003	1389	"2005.vii.24"
"56"	"Lispocephala"	"alma"	"(Meigen, 1826)"	1	1008	1736	"2006.vi.01"
"57"	"Lispocephala"	"alma"	"(Meigen, 1826)"	4	1006	1902	"2005.ix.26"
"58"	"Lispocephala"	"alma"	"(Meigen, 1826)"	1	2046	2051	"2008.v.01"
"59"	"Lispocephala"	"erythrocera"	"(Robineau-Desvoidy, 1830)"	3	1003	1896	"2005.ix.12"
"60"	"Lispocephala"	"erythrocera"	"(Robineau-Desvoidy, 1830)"	1	1006	1902	"2005.ix.26"
"61"	"Lophosceles"	"cinereiventris"	"(Zetterstedt, 1845)"	1	1003	1896	"2005.ix.12"
"62"	"Lophosceles"	"mutatus"	"(Fallén, 1825)"	1	1003	1896	"2005.ix.12"
"63"	"Mesembrina"	"meridiana"	"(Linnaeus, 1758)"	2	1003	1896	"2005.ix.12"
"64"	"Mesembrina"	"meridiana"	"(Linnaeus, 1758)"	1	2046	2051	"2008.v.01"
"65"	"Mesembrina"	"mystacea"	"(Linnaeus, 1758)"	1	1003	1896	"2005.ix.12"
"66"	"Musca"	"autumnalis"	"De Geer, 1776"	1	1003	1896	"2005.ix.12"
"67"	"Muscina"	"levida"	"(Harris, 1780)"	2	1003	1896	"2005.ix.12"
"68"	"Muscina"	"prolapsa"	"(Harris, 1780)"	1	2046	2051	"2008.v.01"
"69"	"Mydaea"	"corni"	"(Scopoli, 1763)"	1	1003	1389	"2005.vii.24"
"70"	"Mydaea"	"corni"	"(Scopoli, 1763)"	1	1008	2000	"2006.ix.05"
"71"	"Mydaea"	"electa"	"(Zetterstedt, 1860)"	5	1003	1896	"2005.ix.12"
"72"	"Mydaea"	"electa"	"(Zetterstedt, 1860)"	1	1008	2000	"2006.ix.05"
"73"	"Mydaea"	"humeralis"	"Robineau-Desvoidy, 1830"	1	1003	1896	"2005.ix.12"
"74"	"Mydaea"	"nebulosa"	"(Stein, 1893)"	1	1008	1736	"2006.vi.01"
"75"	"Mydaea"	"nebulosa"	"(Stein, 1893)"	1	1008	2000	"2006.ix.05"
"76"	"Mydaea"	"setifemur"	"Ringdahl, 1924"	1	1008	2000	"2006.ix.05"
"77"	"Mydaea"	"sp."	"Robineau-Desvoidy, 1830"	2	1003	1896	"2005.ix.12"
"78"	"Mydaea"	"urbana"	"(Meigen, 1826)"	1	1003	1896	"2005.ix.12"
"79"	"Myospila"	"meditabunda"	"(Fabricius, 1781)"	2	1003	1896	"2005.ix.12"
"80"	"Myospila"	"meditabunda"	"(Fabricius, 1781)"	1	2046	2051	"2008.v.01"
