"Genus"	"Species"	"Author"	"GUID"	"Source"	"Notes..errors..synonyms..undescribed.etc."	"Taxon.name..computed."
"1"	"Muscidae"	"sp."	NA	"https://www.dyntaxa.se/taxon/info/2001373"	"Dyntaxa"	NA	"Muscidae sp."
"2"	"Achanthiptera"	"sp."	NA	"https://www.dyntaxa.se/taxon/info/1011562"	"Dyntaxa"	NA	"Achanthiptera sp."
"3"	"Achanthiptera"	"rohrelliformis"	"(Robineau-Desvoidy, 1830)"	"https://www.dyntaxa.se/taxon/info/243093"	"Dyntaxa"	NA	"Achanthiptera rohrelliformis"
"4"	"Azelia"	"sp."	"Robineau-Desvoidy, 1830"	"http://faunaeur.org/full_results.php?id=139304"	"Fauna Europaea"	NA	"Azelia sp."
"5"	"Azelia"	"aterrima"	"(Meigen, 1826)"	"https://www.dyntaxa.se/taxon/info/243094"	"Dyntaxa"	NA	"Azelia aterrima"
"6"	"Azelia"	"cilipes"	"(Haliday, 1838)"	"https://www.dyntaxa.se/taxon/info/243096"	"Dyntaxa"	NA	"Azelia cilipes"
"7"	"Azelia"	"gibbera"	"(Meigen, 1826)"	"https://www.dyntaxa.se/taxon/info/243097"	"Dyntaxa"	NA	"Azelia gibbera"
"8"	"Azelia"	"monodactyla"	"Loew, 1874"	"https://www.dyntaxa.se/taxon/info/243099"	"Dyntaxa"	NA	"Azelia monodactyla"
"9"	"Azelia"	"nebulosa"	"Robineau-Desvoidy, 1830"	"https://www.dyntaxa.se/taxon/info/243107"	"Dyntaxa"	NA	"Azelia nebulosa"
"10"	"Azelia"	"trigonica"	"Hennig, 1956"	"https://www.dyntaxa.se/taxon/info/243108"	"Dyntaxa"	NA	"Azelia trigonica"
"11"	"Azelia"	"triquetra"	"(Wiedemann, 1817)"	"https://www.dyntaxa.se/taxon/info/243110"	"Dyntaxa"	NA	"Azelia triquetra"
"12"	"Azelia"	"zetterstedtii"	"Rondani, 1866"	"https://www.dyntaxa.se/taxon/info/243111"	"Dyntaxa"	NA	"Azelia zetterstedtii"
"13"	"Brontaea"	"sp."	NA	"https://www.dyntaxa.se/taxon/info/1011564"	"Dyntaxa"	NA	"Brontaea sp."
"14"	"Brontaea"	"humilis"	"(Zetterstedt, 1860)"	"https://www.dyntaxa.se/taxon/info/243112"	"Dyntaxa"	NA	"Brontaea humilis"
"15"	"Coenosia"	"sp."	"Meigen 1826"	"http://www.faunaeur.org/full_results.php?id=129036"	"Fauna Europaea"	NA	"Coenosia sp."
"16"	"Coenosia"	"acuminata"	"Strobl, 1898"	"https://www.dyntaxa.se/taxon/info/243113"	"Dyntaxa"	NA	"Coenosia acuminata"
"17"	"Coenosia"	"agromyzina"	"(Fallén, 1825)"	"https://www.dyntaxa.se/taxon/info/243114"	"Dyntaxa"	NA	"Coenosia agromyzina"
"18"	"Coenosia"	"albicornis"	"Meigen, 1826"	"https://www.dyntaxa.se/taxon/info/243115"	"Dyntaxa"	NA	"Coenosia albicornis"
"19"	"Coenosia"	"ambulans"	"Meigen, 1826"	"https://www.dyntaxa.se/taxon/info/243116"	"Dyntaxa"	NA	"Coenosia ambulans"
