"Genus"	"Species"	"Author"	"Total"	"TrapID"	"EventID"	"StartDate"
"1"	"Acnemia"	"angusta"	"Zaitzev, 1982"	7	4	88	"2003.vii.02"
"2"	"Acnemia"	"nitidicollis"	"(Meigen, 1818)"	16	22	244	"2003.vi.25"
"3"	"Acnemia"	"nitidicollis"	"(Meigen, 1818)"	6	4	89	"2003.vii.21"
"4"	"Acnemia"	"angusta"	"Zaitzev, 1982"	1	27	487	"2004.vi.02"
"5"	"Acomoptera"	"difficilis"	"(Dziedzicki, 1885)"	4	10	408	"2004.v.13"
"6"	"Acomoptera"	"difficilis"	"(Dziedzicki, 1885)"	1	27	487	"2004.vi.02"
"7"	"Allocotocera"	"pulchella"	"(Curtis, 1837)"	77	4	89	"2003.vii.21"
"8"	"Allodia"	"silvatica"	"(Landrock, 1912)"	1	10	399	"2003.viii.04"
"9"	"Allodia"	"triangularis"	"(Strobl, 1895)"	1	27	487	"2004.vi.02"
"10"	"Allodia"	"silvatica"	"(Landrock, 1912)"	2	27	487	"2004.vi.02"
"11"	"Allodia"	"grata"	"(Meigen, 1830)"	1	27	487	"2004.vi.02"
"12"	"Allodia"	"sp."	"Winnertz, 1863"	4	27	487	"2004.vi.02"
"13"	"Allodia"	"truncata"	"Edwards, 1921"	3	15	1658	"2005.iii.03"
"14"	"Allodia"	"barbata"	"(Lundström, 1909)"	1	1002	1376	"2005.vii.15"
"15"	"Allodia"	"lugens"	"(Wiedemann, 1817)"	1	10	406	"2004.iii.27"
"16"	"Allodiopsis"	"domestica"	"(Meigen, 1830)"	1	27	487	"2004.vi.02"
"17"	"Allodiopsis"	"domestica"	"(Meigen, 1830)"	1	28	1467	"2005.vii.17"
"18"	"Allodiopsis"	"domestica"	"(Meigen, 1830)"	1	1002	1376	"2005.vii.15"
"19"	"Anatella"	"setigera"	"Edwards, 1921"	1	4	88	"2003.vii.02"
"20"	"Anatella"	"sp."	"Winnertz, 1863"	1	4	89	"2003.vii.21"
"21"	"Anatella"	"gibba"	"Winnertz, 1863"	1	44	1188	"2004.viii.09"
"22"	"Anatella"	"simpatica"	"Dziedzicki, 1923"	3	10	407	"2004.iv.15"
"23"	"Anatella"	"minuta"	"(Staeger, 1840)"	3	10	407	"2004.iv.15"
"24"	"Anatella"	"setigera"	"Edwards, 1921"	1	10	406	"2004.iii.27"
"25"	"Anatella"	"simpatica"	"Dziedzicki, 1923"	1	10	406	"2004.iii.27"
"26"	"Antlemon"	"sp."	"Haliday in Loew, 1871"	8	29	1047	"2004.vii.11"
"27"	"Antlemon"	"sp."	"Haliday in Loew, 1871"	1	29	1047	"2004.vii.11"
"28"	"Antlemon"	"sp."	"Haliday in Loew, 1871"	1	28	488	"2003.vii.08"
"29"	"Boletina"	"trispinosa"	"Edwards, 1913"	5	10	402	"2003.x.14"
"30"	"Boletina"	"sp."	"Staeger, 1840"	4	4	89	"2003.vii.21"
"31"	"Boletina"	"basalis"	"(Meigen, 1818)"	1	15	1658	"2005.iii.03"
"32"	"Boletina"	"cordata"	"Polevoi & Hedmark, 2004"	1	51	727	"2004.v.17"
"33"	"Boletina"	"cordata"	"Polevoi & Hedmark, 2004"	15	58	754	"2004.iv.20"
"34"	"Boletina"	"sahlbergi"	"Lundström, 1906"	1	1353	1996	"2005.ix.09"
"35"	"Boletina"	"landrocki"	"Edwards, 1924"	3	1353	1996	"2005.ix.09"
