"Genus"	"Species"	"Author"	"GUID"	"Source"	"Notes..errors..synonyms..undescribed.etc."	"Taxon.name..computed."
"1"	"Bolitophila"	"sp."	"Meigen, 1818"	"http://dyntaxa.se/taxon/info/1013852"	"Dyntaxa"	NA	"Bolitophila sp."
"2"	"Bolitophila"	"aperta"	"Lundström, 1914"	"http://dyntaxa.se/taxon/info/250462"	"Dyntaxa"	NA	"Bolitophila aperta"
"3"	"Bolitophila"	"bimaculata"	"Zetterstedt, 1838"	"http://dyntaxa.se/taxon/info/250463"	"Dyntaxa"	NA	"Bolitophila bimaculata"
"4"	"Bolitophila"	"doerrsteini"	"Plassmann, 1988"	"http://dyntaxa.se/taxon/info/250464"	"Dyntaxa"	NA	"Bolitophila doerrsteini"
"5"	"Bolitophila"	"dubia"	"Siebke, 1863"	"http://dyntaxa.se/taxon/info/250465"	"Dyntaxa"	NA	"Bolitophila dubia"
"6"	"Bolitophila"	"edwardsiana"	"Stackelberg, 1969"	"http://dyntaxa.se/taxon/info/250466"	"Dyntaxa"	NA	"Bolitophila edwardsiana"
"7"	"Bolitophila"	"fumida"	"Edwards, 1941"	"http://dyntaxa.se/taxon/info/250467"	"Dyntaxa"	NA	"Bolitophila fumida"
"8"	"Bolitophila"	"glabrata"	"Loew, 1869"	"http://dyntaxa.se/taxon/info/250468"	"Dyntaxa"	NA	"Bolitophila glabrata"
"9"	"Bolitophila"	"glabratella"	"Mayer, 1951"	"http://dyntaxa.se/taxon/info/250469"	"Dyntaxa"	NA	"Bolitophila glabratella"
"10"	"Bolitophila"	"hybrida"	"(Meigen, 1804)"	"http://dyntaxa.se/taxon/info/250470"	"Dyntaxa"	NA	"Bolitophila hybrida"
"11"	"Bolitophila"	"ingrica"	"Stackelberg, 1969"	"http://dyntaxa.se/taxon/info/250471"	"Dyntaxa"	NA	"Bolitophila ingrica"
"12"	"Bolitophila"	"maculipennis"	"Walker, 1835"	"http://dyntaxa.se/taxon/info/250472"	"Dyntaxa"	NA	"Bolitophila maculipennis"
"13"	"Bolitophila"	"modesta"	"Lackschewitz, 1937"	"http://dyntaxa.se/taxon/info/250473"	"Dyntaxa"	NA	"Bolitophila modesta"
"14"	"Bolitophila"	"nigrolineata"	"Landrock, 1912"	"http://dyntaxa.se/taxon/info/250474"	"Dyntaxa"	NA	"Bolitophila nigrolineata"
"15"	"Bolitophila"	"obscurior"	"Stackelberg, 1969"	"http://dyntaxa.se/taxon/info/250475"	"Dyntaxa"	NA	"Bolitophila obscurior"
"16"	"Bolitophila"	"occlusa"	"Edwards, 1913"	"http://dyntaxa.se/taxon/info/250476"	"Dyntaxa"	NA	"Bolitophila occlusa"
"17"	"Bolitophila"	"pseudohybrida"	"Landrock, 1912"	"http://dyntaxa.se/taxon/info/250477"	"Dyntaxa"	NA	"Bolitophila pseudohybrida"
"18"	"Bolitophila"	"rossica"	"Landrock, 1912"	"http://dyntaxa.se/taxon/info/250478"	"Dyntaxa"	NA	"Bolitophila rossica"
"19"	"Bolitophila"	"limitis"	"Polevoi, 1996"	"http://dyntaxa.se/taxon/info/267148"	"Dyntaxa"	NA	"Bolitophila limitis"
"20"	"Bolitophila"	"melanoleuci"	"Polevoi, 1996"	"http://dyntaxa.se/taxon/info/267149"	"Dyntaxa"	NA	"Bolitophila melanoleuci"
"21"	"Bolitophila"	"rectangulata"	"Lundström, 1913"	"http://dyntaxa.se/taxon/info/267150"	"Dyntaxa"	NA	"Bolitophila rectangulata"
"22"	"Bolitophila"	"austriaca"	"(Mayer, 1950)"	"http://dyntaxa.se/taxon/info/250454"	"Dyntaxa"	NA	"Bolitophila austriaca"
"23"	"Bolitophila"	"basicornis"	"(Mayer, 1951)"	"http://dyntaxa.se/taxon/info/250455"	"Dyntaxa"	NA	"Bolitophila basicornis"
"24"	"Bolitophila"	"caspersi"	"Plassmann, 1986"	"http://dyntaxa.se/taxon/info/250456"	"Dyntaxa"	NA	"Bolitophila caspersi"
"25"	"Bolitophila"	"cinerea"	"Meigen, 1818"	"http://dyntaxa.se/taxon/info/250457"	"Dyntaxa"	NA	"Bolitophila cinerea"
"26"	"Bolitophila"	"miki"	"(Mayer, 1950)"	"http://dyntaxa.se/taxon/info/250458"	"Dyntaxa"	NA	"Bolitophila miki"
"27"	"Bolitophila"	"saundersii"	"(Curtis, 1836)"	"http://dyntaxa.se/taxon/info/250459"	"Dyntaxa"	NA	"Bolitophila saundersii"
"28"	"Bolitophila"	"spinigera"	"Edwards, 1925"	"http://dyntaxa.se/taxon/info/250460"	"Dyntaxa"	NA	"Bolitophila spinigera"
"29"	"Bolitophila"	"tenella"	"Winnertz, 1863"	"http://dyntaxa.se/taxon/info/250461"	"Dyntaxa"	NA	"Bolitophila tenella"
"30"	"Diadocidia"	"sp."	"Ruthe, 1831"	"http://dyntaxa.se/taxon/info/1013853"	"Dyntaxa"	NA	"Diadocidia sp."
"31"	"Diadocidia"	"trispinosa"	"Polevoi, 1996"	"http://dyntaxa.se/taxon/info/251914"	"Dyntaxa"	NA	"Diadocidia trispinosa"
"32"	"Diadocidia"	"valida"	"Mik, 1874"	"http://dyntaxa.se/taxon/info/251915"	"Dyntaxa"	NA	"Diadocidia valida"
"33"	"Diadocidia"	"ferruginosa"	"(Meigen, 1830)"	"http://dyntaxa.se/taxon/info/251916"	"Dyntaxa"	NA	"Diadocidia ferruginosa"
"34"	"Diadocidia"	"spinosula"	"Tollet, 1948"	"http://dyntaxa.se/taxon/info/251917"	"Dyntaxa"	NA	"Diadocidia spinosula"
"35"	"Diadocidia"	"fissa"	"Zaitzev, 1994"	"http://dyntaxa.se/taxon/info/267182"	"Dyntaxa"	NA	"Diadocidia fissa"
"36"	"Ditomyia"	"sp."	"Winnertz, 1846"	"http://dyntaxa.se/taxon/info/1013777"	"Dyntaxa"	NA	"Ditomyia sp."
"37"	"Ditomyia"	"fasciata"	"(Meigen, 1818)"	"http://dyntaxa.se/taxon/info/250141"	"Dyntaxa"	NA	"Ditomyia fasciata"
"38"	"Symmerus"	"sp."	"Walker, 1848"	"http://dyntaxa.se/taxon/info/1013778"	"Dyntaxa"	NA	"Symmerus sp."
"39"	"Symmerus"	"annulatus"	"(Meigen, 1830)"	"http://dyntaxa.se/taxon/info/250142"	"Dyntaxa"	NA	"Symmerus annulatus"
"40"	"Symmerus"	"nobilis"	"Lackschewitz, 1937"	"http://dyntaxa.se/taxon/info/250143"	"Dyntaxa"	NA	"Symmerus nobilis"
"41"	"Keroplatus"	"sp."	"Bosc, 1792"	"http://dyntaxa.se/taxon/info/1006885"	"Dyntaxa"	NA	"Keroplatus sp."
"42"	"Keroplatus"	"tipuloides"	"Bosc, 1792"	"http://dyntaxa.se/taxon/info/101152"	"Dyntaxa"	NA	"Keroplatus tipuloides"
"43"	"Keroplatus"	"testaceus"	"Dalman, 1818"	"http://dyntaxa.se/taxon/info/232168"	"Dyntaxa"	NA	"Keroplatus testaceus"
"44"	"Keroplatus"	"tuvensis"	"Zaitzev, 1991"	"http://dyntaxa.se/taxon/info/264854"	"Dyntaxa"	NA	"Keroplatus tuvensis"
"45"	"Cerotelion"	"sp."	"Rondani, 1856"	"http://dyntaxa.se/taxon/info/1008261"	"Dyntaxa"	NA	"Cerotelion sp."
"46"	"Cerotelion"	"striatum"	"(Gmelin, 1790)"	"http://dyntaxa.se/taxon/info/232166"	"Dyntaxa"	NA	"Cerotelion striatum"
"47"	"Rocetelion"	"sp."	"Matile, 1988"	"http://dyntaxa.se/taxon/info/1008267"	"Dyntaxa"	NA	"Rocetelion sp."
