"Genus"	"Species"	"Author"	"GUID"	"Notes..errors..synonyms..undescribed.etc."	"Source"	"Taxon.name..computed."
"1"	"Mymaridae"	NA	"Haliday, 1839"	"http://dyntaxa.se/taxon/info/2001145"	NA	"Dyntaxa"	"Mymaridae"
"2"	"Alaptus"	NA	"Westwood, 1839"	"http://dyntaxa.se/taxon/info/1002087"	NA	"Dyntaxa"	"Alaptus"
"3"	"Alaptus"	"maidli"	"Soyka, 1939"	"http://dyntaxa.se/taxon/info/207374"	NA	"Dyntaxa"	"Alaptus maidli"
"4"	"Alaptus"	"pallidornis"	"Förster, 1856"	"http://dyntaxa.se/taxon/info/251248"	NA	"Dyntaxa"	"Alaptus pallidornis"
"5"	"Anagrus"	NA	"Haliday, 1833"	"http://dyntaxa.se/taxon/info/1002088"	NA	"Dyntaxa"	"Anagrus"
"6"	"Anagrus"	"incarnatus"	"Haliday, 1833"	"http://dyntaxa.se/taxon/info/207376"	NA	"Dyntaxa"	"Anagrus incarnatus"
"7"	"Anagrus"	"ensifer"	"Debauche, 1948"	"http://dyntaxa.se/taxon/info/251249"	NA	"Dyntaxa"	"Anagrus ensifer"
"8"	"Anagrus"	"atomus"	"(Linnaeus, 1767)"	"http://dyntaxa.se/taxon/info/251250"	NA	"Dyntaxa"	"Anagrus atomus"
"9"	"Anaphes"	NA	"Haliday, 1833"	"http://dyntaxa.se/taxon/info/1002089"	NA	"Dyntaxa"	"Anaphes"
"10"	"Anaphes"	"aries"	"Debauche, 1948"	"http://dyntaxa.se/taxon/info/207378"	NA	"Dyntaxa"	"Anaphes aries"
"11"	"Anaphes"	"dorcas"	"Debauche, 1948"	"http://dyntaxa.se/taxon/info/207379"	NA	"Dyntaxa"	"Anaphes dorcas"
"12"	"Camptoptera"	NA	"Förster, 1856"	"http://dyntaxa.se/taxon/info/1002090"	NA	"Dyntaxa"	"Camptoptera"
"13"	"Camptoptera"	"lapponica"	"Hedqvist, 1954"	"http://dyntaxa.se/taxon/info/207380"	NA	"Dyntaxa"	"Camptoptera lapponica"
"14"	"Camptoptera"	"strobilicola"	"Hedqvist, 1956"	"http://dyntaxa.se/taxon/info/207381"	NA	"Dyntaxa"	"Camptoptera strobilicola"
"15"	"Caraphractus"	NA	"Walker, 1846"	"http://dyntaxa.se/taxon/info/1002091"	NA	"Dyntaxa"	"Caraphractus"
"16"	"Caraphractus"	"cinctus"	"Walker, 1846"	"http://dyntaxa.se/taxon/info/207382"	NA	"Dyntaxa"	"Caraphractus cinctus"
"17"	"Erythmelus"	NA	"Enock, 1909"	"http://dyntaxa.se/taxon/info/1002092"	NA	"Dyntaxa"	"Erythmelus"
"18"	"Erythmelus"	"agilis"	"(Enock, 1909)"	"http://dyntaxa.se/taxon/info/207383"	NA	"Dyntaxa"	"Erythmelus agilis"
"19"	"Erythmelus"	"flavovarius"	"(Walker, 1846)"	"http://dyntaxa.se/taxon/info/207548"	NA	"Dyntaxa"	"Erythmelus flavovarius"
"20"	"Gonatocerus"	NA	"Nees, 1834"	"http://dyntaxa.se/taxon/info/1002093"	NA	"Dyntaxa"	"Gonatocerus"
"21"	"Gonatocerus"	"ater"	"Förster, 1841"	"http://dyntaxa.se/taxon/info/207384"	NA	"Dyntaxa"	"Gonatocerus ater"
"22"	"Gonatocerus"	"chrysis"	"(Debauche, 1948)"	"http://dyntaxa.se/taxon/info/207385"	NA	"Dyntaxa"	"Gonatocerus chrysis"
"23"	"Gonatocerus"	"litoralis"	"(Haliday, 1833)"	"http://dyntaxa.se/taxon/info/207386"	NA	"Dyntaxa"	"Gonatocerus litoralis"
"24"	"Gonatocerus"	"longicornis"	"Nees, 1834"	"http://dyntaxa.se/taxon/info/207387"	NA	"Dyntaxa"	"Gonatocerus longicornis"
