"Genus"	"Species"	"Author"	"Total"	"TrapID"	"EventID"	"StartDate"
"1"	"Myrmosa"	"atra"	"Panzer, 1801"	2	6	370	"2003.vii.29"
"2"	"Myrmosa"	"atra"	"Panzer, 1801"	1	6	371	"2003.viii.12"
"3"	"Myrmosa"	"atra"	"Panzer, 1801"	1	13	1645	"2005.vii.20"
"4"	"Myrmosa"	"atra"	"Panzer, 1801"	2	20	233	"2003.vi.25"
"5"	"Myrmosa"	"atra"	"Panzer, 1801"	2	20	1498	"2005.vii.05"
"6"	"Myrmosa"	"atra"	"Panzer, 1801"	9	24	816	"2003.vi.26"
"7"	"Myrmosa"	"atra"	"Panzer, 1801"	10	24	817	"2003.vii.15"
"8"	"Myrmosa"	"atra"	"Panzer, 1801"	1	24	818	"2003.viii.01"
"9"	"Myrmosa"	"atra"	"Panzer, 1801"	1	24	1310	"2004.vii.22"
"10"	"Myrmosa"	"atra"	"Panzer, 1801"	2	24	1673	"2005.v.31"
"11"	"Myrmosa"	"atra"	"Panzer, 1801"	1	31	1062	"2004.viii.11"
"12"	"Myrmosa"	"atra"	"Panzer, 1801"	2	35	1103	"2004.viii.07"
"13"	"Myrmosa"	"atra"	"Panzer, 1801"	1	37	1822	"2005.vii.07"
"14"	"Myrmosa"	"atra"	"Panzer, 1801"	2	38	577	"2003.vii.11"
"15"	"Myrmosa"	"atra"	"Panzer, 1801"	2	38	1120	"2004.viii.03"
"16"	"Myrmosa"	"atra"	"Panzer, 1801"	1	43	1908	"2005.vi.29"
"17"	"Myrmosa"	"atra"	"Panzer, 1801"	1	61	1302	"2004.vii.23"
"18"	"Myrmosa"	"atra"	"Panzer, 1801"	45	1002	1374	"2005.vi.25"
"19"	"Myrmosa"	"atra"	"Panzer, 1801"	19	1002	1375	"2005.vii.07"
"20"	"Myrmosa"	"atra"	"Panzer, 1801"	1	1002	1375	"2005.vii.07"
"21"	"Myrmosa"	"atra"	"Panzer, 1801"	1	1002	1376	"2005.vii.15"
"22"	"Myrmosa"	"atra"	"Panzer, 1801"	2	1004	1797	"2005.vi.27"
"23"	"Myrmosa"	"atra"	"Panzer, 1801"	1	2046	2054	"2008.vii.01"
