"Genus"	"Species"	"Author"	"Total"	"TrapID"	"EventID"	"StartDate"
"1"	"Netelia"	"melanura"	"(Thomson, 1888)"	4	22	1315	"2005.vi.29"
"2"	"Netelia"	"melanura"	"(Thomson, 1888)"	1	22	1829	"2006.viii.15"
"3"	"Netelia"	"cristata"	"(Thomson, 1888)"	1	22	1315	"2005.vi.29"
"4"	"Netelia"	"tarsatus"	"(Brischke, 1880)"	1	22	1316	"2005.vii.18"
"5"	"Netelia"	"latungula"	"(Thomson, 1888)"	2	1008	1737	"2006.vi.10"
"6"	"Netelia"	"inedita"	"(Kokujev, 1899)"	1	22	1315	"2005.vi.29"
"7"	"Netelia"	"pallescens"	"(Schmiedeknecht 1910)"	2	1008	1737	"2006.vi.10"
"8"	"Netelia"	"tarsatus"	"(Brischke, 1880)"	2	2003	2033	"2006.vi.09"
"9"	"Netelia"	"melanura"	"(Thomson, 1888)"	1	2003	2033	"2006.vi.09"
"10"	"Netelia"	"melanura"	"(Thomson, 1888)"	4	28	1465	"2005.vi.06"
"11"	"Netelia"	"terebrator"	"(Ulbricht 1922)"	2	9	356	"2003.vii.06"
"12"	"Netelia"	"melanura"	"(Thomson, 1888)"	6	9	356	"2003.vii.06"
"13"	"Netelia"	"fuscicornis"	"(Holmgren, 1860)"	3	2006	2016	"2007.vii.13"
"14"	"Netelia"	"latungula"	"(Thomson, 1888)"	2	1008	1737	"2006.vi.10"
"15"	"Netelia"	"melanura"	"(Thomson, 1888)"	1	1008	1740	"2006.vi.28"
"16"	"Netelia"	"inedita"	"(Kokujev, 1899)"	2	6	369	"2003.vii.02"
"17"	"Netelia"	"tarsata"	"(Brischke, 1880)"	1	6	372	"2003.viii.26"
"18"	"Netelia"	"inedita"	"(Kokujev, 1899)"	1	22	1316	"2005.vii.18"
"19"	"Netelia"	"pallescens"	"(Schmiedeknecht 1910)"	1	31	504	"2003.vii.24"
"20"	"Netelia"	"terebrator"	"(Ulbricht 1922)"	1	1003	1387	"2005.vi.27"
"21"	"Netelia"	"nigricarpus"	"(Thomson, 1888)"	1	1003	1387	"2005.vi.27"
