"Genus"	"Species"	"Author"	"Total"	"TrapID"	"EventID"	"StartDate"
"1"	"Apamea"	"remissa"	"(Hübner, 1809)"	1	13	1643	"2005.vii.05"
"2"	"Apamea"	"monoglypha"	"(Hufnagel, 1766)"	2	13	1643	"2005.vii.05"
"3"	"Abrostola"	"asclepiadis"	"(Denis & Schiffermüller, 1775)"	1	13	1643	"2005.vii.05"
"4"	"Anaplectoides"	"prasina"	"(Denis & Schiffermüller, 1775)"	1	13	1643	"2005.vii.05"
"5"	"Noctua"	"pronuba"	"(Linnaeus, 1758)"	1	13	1643	"2005.vii.05"
"6"	"Rusina"	"ferruginea"	"(Esper, 1785)"	1	5	64	"2003.vi.16"
"7"	"Lacanobia"	"thalassina"	"(Hufnagel, 1766)"	1	5	64	"2003.vi.16"
"8"	"Lacanobia"	"oleracea"	"(Linnaeus, 1758)"	1	5	64	"2003.vi.16"
"9"	"Paradrina"	"selini"	"(Boisduval, 1840)"	1	5	64	"2003.vi.16"
"10"	"Apamea"	"crenata"	"(Hufnagel, 1766)"	1	5	64	"2003.vi.16"
"11"	"Noctua"	"pronuba"	"(Linnaeus, 1758)"	1	31	1546	"2005.vi.23"
"12"	"Apamea"	"monoglypha"	"(Hufnagel, 1766)"	1	31	1546	"2005.vi.23"
"13"	"Apamea"	"crenata"	"(Hufnagel, 1766)"	1	31	1546	"2005.vi.23"
"14"	"Diarsia"	"mendica"	"(Fabricius, 1775)"	1	31	1546	"2005.vi.23"
"15"	"Apamea"	"monoglypha"	"(Hufnagel, 1766)"	5	13	902	"2003.vii.22"
"16"	"Opigena"	"polygona"	"(Denis & Schiffermüller, 1775)"	8	13	902	"2003.vii.22"
"17"	"Xestia"	"baja"	"(Denis & Schiffermüller, 1775)"	1	13	902	"2003.vii.22"
"18"	"Diarsia"	"dahlii"	"(Hübner, 1813)"	1	13	902	"2003.vii.22"
"19"	"Amphipyra"	"tragopoginis"	"(Clerck, 1759)"	1	13	902	"2003.vii.22"
"20"	"Mesapamea"	"didyma"	"(Esper, 1788)"	1	13	902	"2003.vii.22"
"21"	"Xestia"	"speciosa"	"(Hübner, 1813)"	1	1004	1898	"2005.viii.09"
"22"	"Hydraecia"	"micacea"	"(Esper, 1789)"	1	1004	1898	"2005.viii.09"
"23"	"Lithophane"	"socia"	"(Hufnagel, 1766)"	1	1004	1898	"2005.viii.09"
"24"	"Allophyes"	"oxyacanthae"	"(Linnaeus, 1758)"	2	1004	1898	"2005.viii.09"
"25"	"Blepharita"	"satura"	"(Denis & Schiffermüller, 1775)"	2	1004	1898	"2005.viii.09"
"26"	"Conistra"	"vaccinii"	"(Linnaeus, 1761)"	1	1003	1388	"2005.vii.10"
"27"	"Diarsia"	"mendica"	"(Fabricius, 1775)"	1	1003	1388	"2005.vii.10"
"28"	"Hypena"	"proboscidalis"	"(Linnaeus, 1758)"	1	1003	1388	"2005.vii.10"
"29"	"Blepharita"	"satura"	"(Denis & Schiffermüller, 1775)"	1	1008	2000	"2006.ix.05"
"30"	"Conistra"	"vaccinii"	"(Linnaeus, 1761)"	1	1008	2000	"2006.ix.05"
"31"	"Conistra"	"vaccinii"	"(Linnaeus, 1761)"	4	16	1665	"2005.iii.03"
"32"	"Eupsilia"	"transversa"	"(Hufnagel, 1766)"	3	16	1665	"2005.iii.03"
"33"	"Chortodes"	"pygmina"	"(Haworth, 1809)"	1	27	469	"2003.viii.18"
"34"	"Rivula"	"sericealis"	"(Scopoli, 1763)"	1	27	469	"2003.viii.18"
"35"	"Gortyna"	"flavago"	"(Denis & Schiffermüller, 1775)"	1	27	469	"2003.viii.18"
"36"	"Nonagria"	"typhae"	"(Thunberg, 1784)"	1	27	469	"2003.viii.18"
