"Genus"	"Species"	"Author"	"GUID"	"Notes..errors..synonyms..undescribed.etc."	"Source"	"Taxon.name..computed."
"1"	"Moma"	"sp."	"Hübner, 1820"	"https://www.dyntaxa.se/taxon/info/1004261"	NA	"Dyntaxa"	"Moma sp."
"2"	"Moma"	"alpium"	"(Osbeck, 1778)"	"https://www.dyntaxa.se/taxon/info/215873"	NA	"Dyntaxa"	"Moma alpium"
"3"	"Acronicta"	"sp."	"Ochsenheimer, 1816"	"https://www.dyntaxa.se/taxon/info/1004262"	NA	"Dyntaxa"	"Acronicta sp."
"4"	"Acronicta"	"cuspis"	"(Hübner, 1813)"	"https://www.dyntaxa.se/taxon/info/100171"	NA	"Dyntaxa"	"Acronicta cuspis"
"5"	"Acronicta"	"strigosa"	"(Denis & Schiffermüller, 1775)"	"https://www.dyntaxa.se/taxon/info/100172"	NA	"Dyntaxa"	"Acronicta strigosa"
"6"	"Acronicta"	"tridens"	"(Denis & Schiffermüller, 1775)"	"https://www.dyntaxa.se/taxon/info/100173"	NA	"Dyntaxa"	"Acronicta tridens"
"7"	"Acronicta"	"alni"	"(Linnaeus, 1767)"	"https://www.dyntaxa.se/taxon/info/215874"	NA	"Dyntaxa"	"Acronicta alni"
"8"	"Acronicta"	"psi"	"(Linnaeus, 1758)"	"https://www.dyntaxa.se/taxon/info/215877"	NA	"Dyntaxa"	"Acronicta psi"
"9"	"Acronicta"	"aceris"	"(Linnaeus, 1758)"	"https://www.dyntaxa.se/taxon/info/215878"	NA	"Dyntaxa"	"Acronicta aceris"
"10"	"Acronicta"	"leporina"	"(Linnaeus, 1758)"	"https://www.dyntaxa.se/taxon/info/215879"	NA	"Dyntaxa"	"Acronicta leporina"
"11"	"Acronicta"	"megacephala"	"(Denis & Schiffermüller, 1775)"	"https://www.dyntaxa.se/taxon/info/215880"	NA	"Dyntaxa"	"Acronicta megacephala"
"12"	"Acronicta"	"menyanthidis"	"(Esper, 1789)"	"https://www.dyntaxa.se/taxon/info/215882"	NA	"Dyntaxa"	"Acronicta menyanthidis"
"13"	"Acronicta"	"auricoma"	"(Denis & Schiffermüller, 1775)"	"https://www.dyntaxa.se/taxon/info/215883"	NA	"Dyntaxa"	"Acronicta auricoma"
"14"	"Acronicta"	"euphorbiae"	"(Denis & Schiffermüller, 1775)"	"https://www.dyntaxa.se/taxon/info/215884"	NA	"Dyntaxa"	"Acronicta euphorbiae"
"15"	"Acronicta"	"rumicis"	"(Linnaeus, 1758)"	"https://www.dyntaxa.se/taxon/info/215885"	NA	"Dyntaxa"	"Acronicta rumicis"
"16"	"Craniophora"	"sp."	"Snellen, 1867"	"https://www.dyntaxa.se/taxon/info/1004263"	NA	"Dyntaxa"	"Craniophora sp."
"17"	"Craniophora"	"ligustri"	"(Denis & Schiffermüller, 1775)"	"https://www.dyntaxa.se/taxon/info/215886"	NA	"Dyntaxa"	"Craniophora ligustri"
"18"	"Simyra"	"sp."	"Ochsenheimer, 1816"	"https://www.dyntaxa.se/taxon/info/1004264"	NA	"Dyntaxa"	"Simyra sp."
"19"	"Simyra"	"albovenosa"	"(Goeze, 1781)"	"https://www.dyntaxa.se/taxon/info/215887"	NA	"Dyntaxa"	"Simyra albovenosa"
"20"	"Cryphia"	"sp."	"Hübner, 1818"	"https://www.dyntaxa.se/taxon/info/1004265"	NA	"Dyntaxa"	"Cryphia sp."
"21"	"Cryphia"	"algae"	"(J.C.Fabricius, 1775)"	"https://www.dyntaxa.se/taxon/info/215888"	NA	"Dyntaxa"	"Cryphia algae"
"22"	"Victrix"	"sp."	"Staudinger, 1879"	"https://www.dyntaxa.se/taxon/info/1004266"	NA	"Dyntaxa"	"Victrix sp."
