"Genus"	"Species"	"Author"	"GUID"	"Source"	"Taxon.name..computed."
"1"	"Neoalticomerus"	"sp."	"Hendel 1903"	"urn:lsid:faunaeur.org:taxname:62942"	"Fauna Europaea"	"Neoalticomerus sp."
"2"	"Neoalticomerus"	"formosus"	"(Loew, 1844)"	"http://dyntaxa.se/taxon/info/101387"	"Dyntaxa"	"Neoalticomerus formosus"
"3"	"Odinia"	"sp."	"Robineau-Desvoidy 1830"	"urn:lsid:faunaeur.org:taxname:62945"	"Fauna Europaea"	"Odinia sp."
"4"	"Odinia"	"boletina"	"(Zetterstedt, 1848)"	"http://dyntaxa.se/taxon/info/240424"	"Dyntaxa"	"Odinia boletina"
"5"	"Odinia"	"meijeri"	"Collin, 1952"	"http://dyntaxa.se/taxon/info/240425"	"Dyntaxa"	"Odinia meijeri"
"6"	"Odinia"	"ornata"	"(Zetterstedt, 1838)"	"http://dyntaxa.se/taxon/info/240426"	"Dyntaxa"	"Odinia ornata"
"7"	"Odinia"	"xanthocera"	"Collin, 1952"	"http://dyntaxa.se/taxon/info/240427"	"Dyntaxa"	"Odinia xanthocera"
"8"	"Odinia"	"czernyi"	"Collin, 1952"	"http://dyntaxa.se/taxon/info/250235"	"Dyntaxa"	"Odinia czernyi"
"9"	"Odinia"	"loewi"	"Collin, 1952"	"http://dyntaxa.se/taxon/info/250236"	"Dyntaxa"	"Odinia loewi"
"10"	"Odinia"	"maculata"	"(Meigen, 1830)"	"http://dyntaxa.se/taxon/info/250237"	"Dyntaxa"	"Odinia maculata"
