"Genus"	"Species"	"Author"	"Total"	"TrapID"	"EventID"	"StartDate"
"1"	"Enallagma"	"cyathigerum"	"(Charpentier, 1840)"	1	30	1055	"2004.vii.03"
"2"	"Enallagma"	"cyathigerum"	"(Charpentier, 1840)"	4	5	71	"2003.vii.14"
"3"	"Enallagma"	"cyathigerum"	"(Charpentier, 1840)"	4	5	76	"2003.vii.28"
"4"	"Enallagma"	"cyathigerum"	"(Charpentier, 1840)"	1	30	1055	"2004.vii.03"
"5"	"Enallagma"	"cyathigerum"	"(Charpentier, 1840)"	5	5	71	"2003.vii.14"
"6"	"Enallagma"	"cyathigerum"	"(Charpentier, 1840)"	4	5	71	"2003.vii.14"
"7"	"Enallagma"	"cyathigerum"	"(Charpentier, 1840)"	4	5	64	"2003.vi.16"
"8"	"Enallagma"	"cyathigerum"	"(Charpentier, 1840)"	1	5	764	"2004.vi.16"
"9"	"Enallagma"	"cyathigerum"	"(Charpentier, 1840)"	4	5	71	"2003.vii.14"
"10"	"Enallagma"	"cyathigerum"	"(Charpentier, 1840)"	1	30	1055	"2004.vii.03"
"11"	"Enallagma"	"cyathigerum"	"(Charpentier, 1840)"	2	5	65	"2003.vii.02"
"12"	"Enallagma"	"cyathigerum"	"(Charpentier, 1840)"	4	5	65	"2003.vii.02"
"13"	"Coenagrion"	"hastulatum"	"(Charpentier, 1825)"	1	7	858	"2004.vi.27"
"14"	"Coenagrion"	"pulchellum"	"(van der Linden, 1823)"	1	7	858	"2004.vi.27"
"15"	"Coenagrion"	"pulchellum"	"(van der Linden, 1823)"	3	30	1717	"2005.vi.16"
"16"	"Pyrrhosoma"	"nymphula"	"(Sulzer, 1776)"	2	1001	1728	"2006.v.18"
"17"	"Platycnemis"	"pennipes"	"(Pallas, 1771)"	1	1008	1340	"2005.vi.10"
"18"	"Platycnemis"	"pennipes"	"(Pallas, 1771)"	2	1008	1343	"2005.vi.25"
"19"	"Platycnemis"	"pennipes"	"(Pallas, 1771)"	1	1008	1739	"2006.vi.22"
"20"	"Platycnemis"	"pennipes"	"(Pallas, 1771)"	1	1008	1344	"2005.vi.30"
"21"	"Platycnemis"	"pennipes"	"(Pallas, 1771)"	1	30	1056	"2004.viii.19"
"22"	"Lestes"	"dryas"	"(Kirby, 1890)"	1	24	1309	"2004.vi.27"
"23"	"Sympecma"	"fusca"	"(van der Linden, 1839)"	1	28	1460	"2004.viii.19"
"24"	"Sympecma"	"fusca"	"(van der Linden, 1839)"	1	22	1365	"2005.ix.12"
"25"	"Lestes"	"sponsa"	"(Hansemann, 1823)"	1	5	71	"2003.vii.14"
"26"	"Lestes"	"sponsa"	"(Hansemann, 1823)"	1	5	65	"2003.vii.02"
"27"	"Lestes"	"sponsa"	"(Hansemann, 1823)"	1	5	71	"2003.vii.14"
"28"	"Lestes"	"sponsa"	"(Hansemann, 1823)"	5	41	1160	"2004.viii.06"
"29"	"Lestes"	"sponsa"	"(Hansemann, 1823)"	1	41	1160	"2004.viii.06"
"30"	"Lestes"	"sponsa"	"(Hansemann, 1823)"	1	41	1162	"2004.ix.17"
"31"	"Lestes"	"sponsa"	"(Hansemann, 1823)"	1	41	1159	"2004.viii.03"
"32"	"Lestes"	"sponsa"	"(Hansemann, 1823)"	4	41	626	"2003.vii.12"
"33"	"Leucorrhinia"	"dubia"	"(van der Linden, 1825)"	1	41	1154	"2004.vi.04"
"34"	"Leucorrhinia"	"dubia"	"(van der Linden, 1825)"	2	41	643	"2004.v.19"
"35"	"Leucorrhinia"	"dubia"	"(van der Linden, 1825)"	1	41	1777	"2005.vi.05"
"36"	"Leucorrhinia"	"dubia"	"(van der Linden, 1825)"	1	41	1154	"2004.vi.04"
"37"	"Leucorrhinia"	"rubicunda"	"(Linneaus, 1758)"	1	41	1154	"2004.vi.04"
"38"	"Sympetrum"	"vulgatum"	"(Linneaus, 1758)"	1	30	1056	"2004.viii.19"
"39"	"Somatochlora"	"arctica"	"(Zetterstedt, 1840)"	1	2	1833	"2005.vii.22"
"40"	"Leucorrhinia"	"dubia"	"(van der Linden, 1825)"	1	45	1192	"2004.vii.06"
"41"	"Aeshna"	"serrata"	"Hagen, 1856"	1	13	1647	"2005.viii.02"
"42"	"Coenagrion"	"hastulatum"	"(Charpentier, 1825)"	2	10	876	"2004.vi.18"
"43"	"Leucorrhinia"	"pectoralis"	"(Charpentier, 1825)"	1	45	1943	"2006.vi.30"
