"Genus"	"Species"	"Author"	"GUID"	"Source"	"Notes..errors..synonyms..undescribed.etc."	"Taxon.name..computed."
"1"	"Calopteryx"	"sp."	"Leach, 1815"	"http://dyntaxa.se/taxon/info/1002302"	"Dyntaxa"	"Coenagrionidae"	"Calopteryx sp."
"2"	"Calopteryx"	"splendens"	"(Harris, 1789)"	"http://dyntaxa.se/taxon/info/208262"	"Dyntaxa"	"Coenagrionidae"	"Calopteryx splendens"
"3"	"Calopteryx"	"virgo"	"(Linneaus, 1758)"	"http://dyntaxa.se/taxon/info/208263"	"Dyntaxa"	"Coenagrionidae"	"Calopteryx virgo"
"4"	"Lestes"	"sp."	"Leach, 1815"	"http://dyntaxa.se/taxon/info/1002303"	"Dyntaxa"	"Coenagrionidae"	"Lestes sp."
"5"	"Lestes"	"virens"	"(Charpentier, 1825)"	"http://dyntaxa.se/taxon/info/101202"	"Dyntaxa"	"Platycnemididae"	"Lestes virens"
"6"	"Lestes"	"barbarus"	"(Fabricius, 1798)"	"http://dyntaxa.se/taxon/info/208264"	"Dyntaxa"	"Lestidae"	"Lestes barbarus"
"7"	"Lestes"	"sponsa"	"(Hansemann, 1823)"	"http://dyntaxa.se/taxon/info/208266"	"Dyntaxa"	"Lestidae"	"Lestes sponsa"
"8"	"Lestes"	"dryas"	"(Kirby, 1890)"	"http://dyntaxa.se/taxon/info/208267"	"Dyntaxa"	"Lestidae"	"Lestes dryas"
"9"	"Lestes"	"viridis"	"(Vander Linden, 1825)"	"http://dyntaxa.se/taxon/info/6000482"	"Dyntaxa"	"Libellulidae"	"Lestes viridis"
"10"	"Sympecma"	"sp."	"Selys, 1840"	"http://dyntaxa.se/taxon/info/1002304"	"Dyntaxa"	"Libellulidae"	"Sympecma sp."
"11"	"Sympecma"	"fusca"	"(van der Linden, 1839)"	"http://dyntaxa.se/taxon/info/101868"	"Dyntaxa"	"Libellulidae"	"Sympecma fusca"
"12"	"Sympecma"	"paedisca"	"(Brauer 1882)"	"urn:lsid:faunaeur.org:taxname:214256"	"Fauna Europaea"	NA	"Sympecma paedisca"
"13"	"Platycnemis"	"sp."	"Burmeister, 1839"	"http://dyntaxa.se/taxon/info/1002305"	"Dyntaxa"	NA	"Platycnemis sp."
"14"	"Platycnemis"	"pennipes"	"(Pallas, 1771)"	"http://dyntaxa.se/taxon/info/208269"	"Dyntaxa"	NA	"Platycnemis pennipes"
"15"	"Pyrrhosoma"	"sp."	"Charpentier, 1840"	"http://dyntaxa.se/taxon/info/1002306"	"Dyntaxa"	NA	"Pyrrhosoma sp."
