"Genus"	"Species"	"Author"	"Total"	"TrapID"	"EventID"	"StartDate"
"1"	"Aeshna"	"mixta"	"Latreille, 1805"	2	13	915	"2004.ix.08"
"2"	"Onychogomphus"	"forcipatus"	"(Linneaus, 1758)"	1	7	1591	"2005.vi.14"
"3"	"Enallagma"	"cyathigerum"	"(Charpentier, 1840)"	1	22	839	"2005.iv.01"
"4"	"Platycnemis"	"pennipes"	"(Pallas, 1771)"	1	1008	1740	"2006.vi.28"
"5"	"Coenagrion"	"puella"	"(Linnaeus, 1758)"	1	1008	1337	"2005.v.25"
"6"	"Coenagrion"	"puella"	"(Linnaeus, 1758)"	1	6	372	"2003.viii.26"
"7"	"Platycnemis"	"pennipes"	"(Pallas, 1771)"	1	1008	1738	"2006.vi.16"
"8"	"Enallagma"	"cyathigerum"	"(Charpentier, 1840)"	1	23	430	"2003.vi.26"
"9"	"Lestes"	"sponsa"	"(Hansemann, 1823)"	1	22	1829	"2006.viii.15"
"10"	"Lestes"	"sponsa"	"(Hansemann, 1823)"	1	28	1468	"2005.viii.09"
"11"	"Enallagma"	"cyathigerum"	"(Charpentier, 1840)"	1	28	1468	"2005.viii.09"
"12"	"Platycnemis"	"pennipes"	"(Pallas, 1771)"	1	1008	1341	"2005.vi.15"
"13"	"Coenagrion"	"hastulatum"	"(Charpentier, 1825)"	1	7	378	"2003.vi.17"
"14"	"Coenagrion"	"puella"	"(Linnaeus, 1758)"	2	7	378	"2003.vi.17"
"15"	"Coenagrion"	"sp."	"Kirby, 1890"	1	7	378	"2003.vi.17"
"16"	"Leucorrhinia"	"dubia"	"(van der Linden, 1825)"	2	41	1781	"2005.viii.21"
"17"	"Platycnemis"	"pennipes"	"(Pallas, 1771)"	2	1008	1737	"2006.vi.10"
"18"	"Platycnemis"	"pennipes"	"(Pallas, 1771)"	2	1008	1737	"2006.vi.10"
"19"	"Coenagrion"	"pulchellum"	"(van der Linden, 1823)"	1	7	1591	"2005.vi.14"
"20"	"Coenagrion"	"hastulatum"	"(Charpentier, 1825)"	1	7	1591	"2005.vi.14"
"21"	"Ischnura"	"elegans"	"(van der Linden, 1820)"	1	7	1591	"2005.vi.14"
"22"	"Erythromma"	"najas"	"(Hansemann, 1823)"	2	7	1591	"2005.vi.14"
"23"	"Coenagrion"	"hastulatum"	"(Charpentier, 1825)"	2	7	378	"2003.vi.17"
"24"	"Ischnura"	"elegans"	"(van der Linden, 1820)"	1	7	378	"2003.vi.17"
"25"	"Coenagrion"	"puella"	"(Linnaeus, 1758)"	1	7	378	"2003.vi.17"
"26"	"Ischnura"	"elegans"	"(van der Linden, 1820)"	3	7	378	"2003.vi.17"
"27"	"Leucorrhinia"	"dubia"	"(van der Linden, 1825)"	2	41	1781	"2005.viii.21"
