"Genus"	"Species"	"Author"	"GUID"	"Source"	"Taxon.name..computed."
"1"	"Calopteryx"	"sp."	"Leach, 1815"	"https://www.dyntaxa.se/taxon/info/1002302"	"Dyntaxa"	"Calopteryx sp."
"2"	"Calopteryx"	"splendens"	"(Harris, 1789)"	"https://www.dyntaxa.se/taxon/info/208262"	"Dyntaxa"	"Calopteryx splendens"
"3"	"Calopteryx"	"virgo"	"(Linneaus, 1758)"	"https://www.dyntaxa.se/taxon/info/208263"	"Dyntaxa"	"Calopteryx virgo"
"4"	"Lestes"	"sp."	"Leach, 1815"	"https://www.dyntaxa.se/taxon/info/1002303"	"Dyntaxa"	"Lestes sp."
"5"	"Lestes"	"virens"	"(Charpentier, 1825)"	"https://www.dyntaxa.se/taxon/info/101202"	"Dyntaxa"	"Lestes virens"
"6"	"Lestes"	"barbarus"	"(Fabricius, 1798)"	"https://www.dyntaxa.se/taxon/info/208264"	"Dyntaxa"	"Lestes barbarus"
"7"	"Lestes"	"sponsa"	"(Hansemann, 1823)"	"https://www.dyntaxa.se/taxon/info/208266"	"Dyntaxa"	"Lestes sponsa"
"8"	"Lestes"	"dryas"	"(Kirby, 1890)"	"https://www.dyntaxa.se/taxon/info/208267"	"Dyntaxa"	"Lestes dryas"
"9"	"Lestes"	"viridis"	"(Vander Linden, 1825)"	"https://www.dyntaxa.se/taxon/info/6000482"	"Dyntaxa"	"Lestes viridis"
"10"	"Sympecma"	"sp."	"Selys, 1840"	"https://www.dyntaxa.se/taxon/info/1002304"	"Dyntaxa"	"Sympecma sp."
"11"	"Sympecma"	"fusca"	"(van der Linden, 1839)"	"https://www.dyntaxa.se/taxon/info/101868"	"Dyntaxa"	"Sympecma fusca"
"12"	"Sympecma"	"paedisca"	"(Brauer 1882)"	"urn:lsid:faunaeur.org:taxname:214256"	"Fauna Europaea"	"Sympecma paedisca"
"13"	"Platycnemis"	"sp."	"Burmeister, 1839"	"https://www.dyntaxa.se/taxon/info/1002305"	"Dyntaxa"	"Platycnemis sp."
"14"	"Platycnemis"	"pennipes"	"(Pallas, 1771)"	"https://www.dyntaxa.se/taxon/info/208269"	"Dyntaxa"	"Platycnemis pennipes"
"15"	"Pyrrhosoma"	"sp."	"Charpentier, 1840"	"https://www.dyntaxa.se/taxon/info/1002306"	"Dyntaxa"	"Pyrrhosoma sp."
"16"	"Pyrrhosoma"	"nymphula"	"(Sulzer, 1776)"	"https://www.dyntaxa.se/taxon/info/208270"	"Dyntaxa"	"Pyrrhosoma nymphula"
"17"	"Nehalennia"	"sp."	"Selys, 1850"	"https://www.dyntaxa.se/taxon/info/1002308"	"Dyntaxa"	"Nehalennia sp."
"18"	"Nehalennia"	"speciosa"	"(Charpentier, 1840)"	"https://www.dyntaxa.se/taxon/info/101379"	"Dyntaxa"	"Nehalennia speciosa"
"19"	"Coenagrion"	"sp."	"Kirby, 1890"	"https://www.dyntaxa.se/taxon/info/1002309"	"Dyntaxa"	"Coenagrion sp."
"20"	"Coenagrion"	"lunulatum"	"(Charpentier, 1840)"	"https://www.dyntaxa.se/taxon/info/102599"	"Dyntaxa"	"Coenagrion lunulatum"
"21"	"Coenagrion"	"armatum"	"(Charpentier, 1840)"	"https://www.dyntaxa.se/taxon/info/208273"	"Dyntaxa"	"Coenagrion armatum"
"22"	"Coenagrion"	"hastulatum"	"(Charpentier, 1825)"	"https://www.dyntaxa.se/taxon/info/208274"	"Dyntaxa"	"Coenagrion hastulatum"
"23"	"Coenagrion"	"johanssoni"	"(Wallengren, 1894)"	"https://www.dyntaxa.se/taxon/info/208276"	"Dyntaxa"	"Coenagrion johanssoni"
"24"	"Coenagrion"	"puella"	"(Linnaeus, 1758)"	"https://www.dyntaxa.se/taxon/info/208277"	"Dyntaxa"	"Coenagrion puella"
