"Genus"	"Species"	"Author"	"GUID"	"Source"	"Taxon.name..computed."
"1"	"Bibio"	"sp."	"Geoffroy, 1762"	"https://www.dyntaxa.se/taxon/info/1006899"	"Dyntaxa"	"Bibio sp."
"2"	"Bibio"	"fulvicollis"	"Gimmerthal, 1842"	"https://www.dyntaxa.se/taxon/info/102067"	"Dyntaxa"	"Bibio fulvicollis"
"3"	"Bibio"	"leucopterus"	"(Meigen, 1804)"	"https://www.dyntaxa.se/taxon/info/102068"	"Dyntaxa"	"Bibio leucopterus"
"4"	"Bibio"	"venosus"	"(Meigen, 1804)"	"https://www.dyntaxa.se/taxon/info/102069"	"Dyntaxa"	"Bibio venosus"
"5"	"Bibio"	"brunnipes"	"(Fabricius, 1794)"	"https://www.dyntaxa.se/taxon/info/249459"	"Dyntaxa"	"Bibio brunnipes"
"6"	"Bibio"	"clavipes"	"Meigen, 1818"	"https://www.dyntaxa.se/taxon/info/249460"	"Dyntaxa"	"Bibio clavipes"
"7"	"Bibio"	"ferruginatus"	"(Linnaeus, 1767)"	"https://www.dyntaxa.se/taxon/info/249877"	"Dyntaxa"	"Bibio ferruginatus"
"8"	"Bibio"	"hortulanus"	"(Linnaeus, 1758)"	"https://www.dyntaxa.se/taxon/info/249878"	"Dyntaxa"	"Bibio hortulanus"
"9"	"Bibio"	"johannis"	"(Linnaeus, 1767)"	"https://www.dyntaxa.se/taxon/info/249879"	"Dyntaxa"	"Bibio johannis"
"10"	"Bibio"	"lanigerus"	"Meigen, 1818"	"https://www.dyntaxa.se/taxon/info/249880"	"Dyntaxa"	"Bibio lanigerus"
"11"	"Bibio"	"lepidus"	"Loew, 1871"	"https://www.dyntaxa.se/taxon/info/249881"	"Dyntaxa"	"Bibio lepidus"
"12"	"Bibio"	"marci"	"(Linnaeus, 1758)"	"https://www.dyntaxa.se/taxon/info/249882"	"Dyntaxa"	"Bibio marci"
"13"	"Bibio"	"nigriventris"	"Haliday, 1833"	"https://www.dyntaxa.se/taxon/info/249883"	"Dyntaxa"	"Bibio nigriventris"
"14"	"Bibio"	"pomonae"	"(Fabricius, 1775)"	"https://www.dyntaxa.se/taxon/info/249884"	"Dyntaxa"	"Bibio pomonae"
"15"	"Bibio"	"rufipes"	"(Zetterstedt, 1838)"	"https://www.dyntaxa.se/taxon/info/249885"	"Dyntaxa"	"Bibio rufipes"
"16"	"Bibio"	"siebkei"	"Mik, 1887"	"https://www.dyntaxa.se/taxon/info/249886"	"Dyntaxa"	"Bibio siebkei"
"17"	"Bibio"	"varipes"	"Meigen, 1830"	"https://www.dyntaxa.se/taxon/info/249887"	"Dyntaxa"	"Bibio varipes"
"18"	"Penthetria"	"sp."	"Meigen, 1803"	"https://www.dyntaxa.se/taxon/info/1006900"	"Dyntaxa"	"Penthetria sp."
"19"	"Penthetria"	"funebris"	"Meigen, 1804"	"https://www.dyntaxa.se/taxon/info/102070"	"Dyntaxa"	"Penthetria funebris"
"20"	"Dilophus"	"sp."	"Meigen, 1803"	"https://www.dyntaxa.se/taxon/info/1013670"	"Dyntaxa"	"Dilophus sp."
"21"	"Dilophus"	"borealis"	"Skartveit, 1993"	"https://www.dyntaxa.se/taxon/info/249461"	"Dyntaxa"	"Dilophus borealis"
"22"	"Dilophus"	"febrilis"	"(Linnaeus, 1758)"	"https://www.dyntaxa.se/taxon/info/249888"	"Dyntaxa"	"Dilophus febrilis"
"23"	"Dilophus"	"femoratus"	"Meigen, 1804"	"https://www.dyntaxa.se/taxon/info/249889"	"Dyntaxa"	"Dilophus femoratus"
"24"	"Dilophus"	"humeralis"	"Zetterstedt, 1850"	"https://www.dyntaxa.se/taxon/info/249890"	"Dyntaxa"	"Dilophus humeralis"
"25"	"Pachyneura"	"sp."	"Zetterstedt, 1838"	"https://www.dyntaxa.se/taxon/info/1006886"	"Dyntaxa"	"Pachyneura sp."
"26"	"Pachyneura"	"fasciata"	"Zetterstedt, 1838"	"https://www.dyntaxa.se/taxon/info/101497"	"Dyntaxa"	"Pachyneura fasciata"
"27"	"Bolitophila"	"sp."	"Meigen, 1818"	"https://www.dyntaxa.se/taxon/info/1013852"	"Dyntaxa"	"Bolitophila sp."
"28"	"Bolitophila"	"aperta"	"Lundström, 1914"	"https://www.dyntaxa.se/taxon/info/250462"	"Dyntaxa"	"Bolitophila aperta"
"29"	"Bolitophila"	"bimaculata"	"Zetterstedt, 1838"	"https://www.dyntaxa.se/taxon/info/250463"	"Dyntaxa"	"Bolitophila bimaculata"
"30"	"Bolitophila"	"doerrsteini"	"Plassmann, 1988"	"https://www.dyntaxa.se/taxon/info/250464"	"Dyntaxa"	"Bolitophila doerrsteini"
"31"	"Bolitophila"	"dubia"	"Siebke, 1863"	"https://www.dyntaxa.se/taxon/info/250465"	"Dyntaxa"	"Bolitophila dubia"
"32"	"Bolitophila"	"edwardsiana"	"Stackelberg, 1969"	"https://www.dyntaxa.se/taxon/info/250466"	"Dyntaxa"	"Bolitophila edwardsiana"
"33"	"Bolitophila"	"fumida"	"Edwards, 1941"	"https://www.dyntaxa.se/taxon/info/250467"	"Dyntaxa"	"Bolitophila fumida"
"34"	"Bolitophila"	"glabrata"	"Loew, 1869"	"https://www.dyntaxa.se/taxon/info/250468"	"Dyntaxa"	"Bolitophila glabrata"
"35"	"Bolitophila"	"glabratella"	"Mayer, 1951"	"https://www.dyntaxa.se/taxon/info/250469"	"Dyntaxa"	"Bolitophila glabratella"
"36"	"Bolitophila"	"hybrida"	"(Meigen, 1804)"	"https://www.dyntaxa.se/taxon/info/250470"	"Dyntaxa"	"Bolitophila hybrida"
"37"	"Bolitophila"	"ingrica"	"Stackelberg, 1969"	"https://www.dyntaxa.se/taxon/info/250471"	"Dyntaxa"	"Bolitophila ingrica"
"38"	"Bolitophila"	"maculipennis"	"Walker, 1835"	"https://www.dyntaxa.se/taxon/info/250472"	"Dyntaxa"	"Bolitophila maculipennis"
"39"	"Bolitophila"	"modesta"	"Lackschewitz, 1937"	"https://www.dyntaxa.se/taxon/info/250473"	"Dyntaxa"	"Bolitophila modesta"
"40"	"Bolitophila"	"nigrolineata"	"Landrock, 1912"	"https://www.dyntaxa.se/taxon/info/250474"	"Dyntaxa"	"Bolitophila nigrolineata"
"41"	"Bolitophila"	"obscurior"	"Stackelberg, 1969"	"https://www.dyntaxa.se/taxon/info/250475"	"Dyntaxa"	"Bolitophila obscurior"
"42"	"Bolitophila"	"occlusa"	"Edwards, 1913"	"https://www.dyntaxa.se/taxon/info/250476"	"Dyntaxa"	"Bolitophila occlusa"
"43"	"Bolitophila"	"pseudohybrida"	"Landrock, 1912"	"https://www.dyntaxa.se/taxon/info/250477"	"Dyntaxa"	"Bolitophila pseudohybrida"
"44"	"Bolitophila"	"rossica"	"Landrock, 1912"	"https://www.dyntaxa.se/taxon/info/250478"	"Dyntaxa"	"Bolitophila rossica"
"45"	"Bolitophila"	"limitis"	"Polevoi, 1996"	"https://www.dyntaxa.se/taxon/info/267148"	"Dyntaxa"	"Bolitophila limitis"
"46"	"Bolitophila"	"melanoleuci"	"Polevoi, 1996"	"https://www.dyntaxa.se/taxon/info/267149"	"Dyntaxa"	"Bolitophila melanoleuci"
"47"	"Bolitophila"	"rectangulata"	"Lundström, 1913"	"https://www.dyntaxa.se/taxon/info/267150"	"Dyntaxa"	"Bolitophila rectangulata"
"48"	"Bolitophila"	"austriaca"	"(Mayer, 1950)"	"https://www.dyntaxa.se/taxon/info/250454"	"Dyntaxa"	"Bolitophila austriaca"
"49"	"Bolitophila"	"basicornis"	"(Mayer, 1951)"	"https://www.dyntaxa.se/taxon/info/250455"	"Dyntaxa"	"Bolitophila basicornis"
"50"	"Bolitophila"	"caspersi"	"Plassmann, 1986"	"https://www.dyntaxa.se/taxon/info/250456"	"Dyntaxa"	"Bolitophila caspersi"
"51"	"Bolitophila"	"cinerea"	"Meigen, 1818"	"https://www.dyntaxa.se/taxon/info/250457"	"Dyntaxa"	"Bolitophila cinerea"
"52"	"Bolitophila"	"miki"	"(Mayer, 1950)"	"https://www.dyntaxa.se/taxon/info/250458"	"Dyntaxa"	"Bolitophila miki"
"53"	"Bolitophila"	"saundersii"	"(Curtis, 1836)"	"https://www.dyntaxa.se/taxon/info/250459"	"Dyntaxa"	"Bolitophila saundersii"
"54"	"Bolitophila"	"spinigera"	"Edwards, 1925"	"https://www.dyntaxa.se/taxon/info/250460"	"Dyntaxa"	"Bolitophila spinigera"
"55"	"Bolitophila"	"tenella"	"Winnertz, 1863"	"https://www.dyntaxa.se/taxon/info/250461"	"Dyntaxa"	"Bolitophila tenella"
"56"	"Diadocidia"	"sp."	"Ruthe, 1831"	"https://www.dyntaxa.se/taxon/info/1013853"	"Dyntaxa"	"Diadocidia sp."
"57"	"Diadocidia"	"trispinosa"	"Polevoi, 1996"	"https://www.dyntaxa.se/taxon/info/251914"	"Dyntaxa"	"Diadocidia trispinosa"
"58"	"Diadocidia"	"valida"	"Mik, 1874"	"https://www.dyntaxa.se/taxon/info/251915"	"Dyntaxa"	"Diadocidia valida"
"59"	"Diadocidia"	"ferruginosa"	"(Meigen, 1830)"	"https://www.dyntaxa.se/taxon/info/251916"	"Dyntaxa"	"Diadocidia ferruginosa"
"60"	"Diadocidia"	"spinosula"	"Tollet, 1948"	"https://www.dyntaxa.se/taxon/info/251917"	"Dyntaxa"	"Diadocidia spinosula"
"61"	"Diadocidia"	"fissa"	"Zaitzev, 1994"	"https://www.dyntaxa.se/taxon/info/267182"	"Dyntaxa"	"Diadocidia fissa"
"62"	"Ditomyia"	"sp."	"Winnertz, 1846"	"https://www.dyntaxa.se/taxon/info/1013777"	"Dyntaxa"	"Ditomyia sp."
"63"	"Ditomyia"	"fasciata"	"(Meigen, 1818)"	"https://www.dyntaxa.se/taxon/info/250141"	"Dyntaxa"	"Ditomyia fasciata"
"64"	"Symmerus"	"sp."	"Walker, 1848"	"https://www.dyntaxa.se/taxon/info/1013778"	"Dyntaxa"	"Symmerus sp."
"65"	"Symmerus"	"annulatus"	"(Meigen, 1830)"	"https://www.dyntaxa.se/taxon/info/250142"	"Dyntaxa"	"Symmerus annulatus"
"66"	"Symmerus"	"nobilis"	"Lackschewitz, 1937"	"https://www.dyntaxa.se/taxon/info/250143"	"Dyntaxa"	"Symmerus nobilis"
"67"	"Keroplatus"	"sp."	"Bosc, 1792"	"https://www.dyntaxa.se/taxon/info/1006885"	"Dyntaxa"	"Keroplatus sp."
"68"	"Keroplatus"	"tipuloides"	"Bosc, 1792"	"https://www.dyntaxa.se/taxon/info/101152"	"Dyntaxa"	"Keroplatus tipuloides"
"69"	"Keroplatus"	"testaceus"	"Dalman, 1818"	"https://www.dyntaxa.se/taxon/info/232168"	"Dyntaxa"	"Keroplatus testaceus"
"70"	"Keroplatus"	"tuvensis"	"Zaitzev, 1991"	"https://www.dyntaxa.se/taxon/info/264854"	"Dyntaxa"	"Keroplatus tuvensis"
"71"	"Cerotelion"	"sp."	"Rondani, 1856"	"https://www.dyntaxa.se/taxon/info/1008261"	"Dyntaxa"	"Cerotelion sp."
"72"	"Cerotelion"	"striatum"	"(Gmelin, 1790)"	"https://www.dyntaxa.se/taxon/info/232166"	"Dyntaxa"	"Cerotelion striatum"
"73"	"Rocetelion"	"sp."	"Matile, 1988"	"https://www.dyntaxa.se/taxon/info/1008267"	"Dyntaxa"	"Rocetelion sp."
"74"	"Rocetelion"	"humerale"	"(Zetterstedt, 1850)"	"https://www.dyntaxa.se/taxon/info/232182"	"Dyntaxa"	"Rocetelion humerale"
"75"	"Asindulum"	"sp."	"Latreille, 1805"	"https://www.dyntaxa.se/taxon/info/1008260"	"Dyntaxa"	"Asindulum sp."
"76"	"Asindulum"	"nigrum"	"Latreille, 1805"	"https://www.dyntaxa.se/taxon/info/232165"	"Dyntaxa"	"Asindulum nigrum"
"77"	"Isoneuromyia"	"sp."	"Brunetti, 1912"	"https://www.dyntaxa.se/taxon/info/1008262"	"Dyntaxa"	"Isoneuromyia sp."
"78"	"Isoneuromyia"	"semirufa"	"(Meigen, 1818)"	"https://www.dyntaxa.se/taxon/info/232167"	"Dyntaxa"	"Isoneuromyia semirufa"
"79"	"Macrorrhyncha"	"sp."	"Winnertz, 1846"	"https://www.dyntaxa.se/taxon/info/1008263"	"Dyntaxa"	"Macrorrhyncha sp."
"80"	"Macrorrhyncha"	"flava"	"Winnertz, 1846"	"https://www.dyntaxa.se/taxon/info/232169"	"Dyntaxa"	"Macrorrhyncha flava"
"81"	"Macrorrhyncha"	"rostrata"	"(Zetterstedt, 1851)"	"https://www.dyntaxa.se/taxon/info/232170"	"Dyntaxa"	"Macrorrhyncha rostrata"
"82"	"Neoplatyura"	"sp."	"Malloch, 1928"	"https://www.dyntaxa.se/taxon/info/1008264"	"Dyntaxa"	"Neoplatyura sp."
"83"	"Neoplatyura"	"flava"	"(Macquart, 1826)"	"https://www.dyntaxa.se/taxon/info/232171"	"Dyntaxa"	"Neoplatyura flava"
"84"	"Neoplatyura"	"modesta"	"(Winnertz, 1863)"	"https://www.dyntaxa.se/taxon/info/232172"	"Dyntaxa"	"Neoplatyura modesta"
