"Genus"	"Species"	"Author"	"Total"	"TrapID"	"EventID"	"StartDate"
"1"	"Toxoneura"	"ephippium"	"(Zetterstedt, 1860)"	1	45	291	"2003.viii.05"
"2"	"Toxoneura"	"ephippium"	"(Zetterstedt, 1860)"	1	45	294	"2003.ix.21"
"3"	"Toxoneura"	"ephippium"	"(Zetterstedt, 1860)"	1	44	1189	"2004.viii.23"
"4"	"Toxoneura"	"ephippium"	"(Zetterstedt, 1860)"	1	28	1462	"2005.iv.01"
"5"	"Palloptera"	"formosa"	"Frey, 1930"	1	44	671	"2003.vii.29"
"6"	"Palloptera"	"formosa"	"Frey, 1930"	2	5	768	"2004.viii.16"
"7"	"Palloptera"	"formosa"	"Frey, 1930"	1	1001	1333	"2005.vii.12"
"8"	"Toxoneura"	"modesta"	"(Meigen, 1830)"	3	1002	1376	"2005.vii.15"
"9"	"Toxoneura"	"modesta"	"(Meigen, 1830)"	1	2006	2040	"2008.vii.12"
"10"	"Toxoneura"	"quinquemaculata"	"(Macquart, 1835)"	1	28	1464	"2005.iv.10"
"11"	"Toxoneura"	"quinquemaculata"	"(Macquart, 1835)"	2	22	1725	"2006.v.20"
"12"	"Toxoneura"	"quinquemaculata"	"(Macquart, 1835)"	1	2006	2015	"2007.vii.02"
"13"	"Toxoneura"	"quinquemaculata"	"(Macquart, 1835)"	5	2046	2051	"2008.v.01"
"14"	"Toxoneura"	"quinquemaculata"	"(Macquart, 1835)"	20	2046	2052	"2008.vi.01"
"15"	"Toxoneura"	"quinquemaculata"	"(Macquart, 1835)"	16	2046	2053	"2008.vi.15"
"16"	"Temnosira"	"saltuum"	"(Linnaeus, 1758)"	1	8	395	"2004.vi.01"
"17"	"Temnosira"	"saltuum"	"(Linnaeus, 1758)"	1	25	450	"2003.vi.29"
"18"	"Temnosira"	"saltuum"	"(Linnaeus, 1758)"	4	12	892	"2004.vii.17"
"19"	"Temnosira"	"saltuum"	"(Linnaeus, 1758)"	1	1001	1332	"2005.vii.02"
"20"	"Temnosira"	"saltuum"	"(Linnaeus, 1758)"	12	1003	1388	"2005.vii.10"
"21"	"Temnosira"	"saltuum"	"(Linnaeus, 1758)"	1	17	1517	"2005.vii.17"
"22"	"Temnosira"	"saltuum"	"(Linnaeus, 1758)"	1	2046	2052	"2008.vi.01"
"23"	"Temnosira"	"saltuum"	"(Linnaeus, 1758)"	3	2046	2053	"2008.vi.15"
"24"	"Temnosira"	"saltuum"	"(Linnaeus, 1758)"	2	2046	2054	"2008.vii.01"
"25"	"Temnosira"	"saltuum"	"(Linnaeus, 1758)"	1	2046	2056	"2008.viii.01"
"26"	"Toxoneura"	"trimacula"	"(Meigen, 1826)"	1	37	570	"2003.vii.15"
"27"	"Toxoneura"	"trimacula"	"(Meigen, 1826)"	1	5	765	"2004.vi.30"
"28"	"Toxoneura"	"trimacula"	"(Meigen, 1826)"	1	1002	1380	"2005.viii.24"
"29"	"Toxoneura"	"trimacula"	"(Meigen, 1826)"	1	1003	1388	"2005.vii.10"
"30"	"Palloptera"	"umbellatarum"	"(Fabricius, 1775)"	2	8	395	"2004.vi.01"
"31"	"Palloptera"	"umbellatarum"	"(Fabricius, 1775)"	1	38	1113	"2004.vi.15"
"32"	"Palloptera"	"umbellatarum"	"(Fabricius, 1775)"	1	1000	1322	"2005.vi.27"
"33"	"Palloptera"	"umbellatarum"	"(Fabricius, 1775)"	1	1001	1331	"2005.vi.27"
"34"	"Palloptera"	"umbellatarum"	"(Fabricius, 1775)"	3	1001	1332	"2005.vii.02"
"35"	"Palloptera"	"umbellatarum"	"(Fabricius, 1775)"	6	1001	1333	"2005.vii.12"
"36"	"Palloptera"	"umbellatarum"	"(Fabricius, 1775)"	1	22	1363	"2005.viii.01"
"37"	"Palloptera"	"umbellatarum"	"(Fabricius, 1775)"	14	1003	1388	"2005.vii.10"
"38"	"Palloptera"	"umbellatarum"	"(Fabricius, 1775)"	1	1003	1389	"2005.vii.24"
"39"	"Palloptera"	"umbellatarum"	"(Fabricius, 1775)"	5	8	1602	"2005.vi.20"
"40"	"Palloptera"	"umbellatarum"	"(Fabricius, 1775)"	15	9	1610	"2005.vi.24"
"41"	"Palloptera"	"umbellatarum"	"(Fabricius, 1775)"	2	9	1611	"2005.vii.16"
