"Genus"	"Species"	"Author"	"GUID"	"Source"	"Taxon.name..computed."
"1"	"Eurygnathomyia"	"sp."	"Czerny 1904"	"urn:lsid:faunaeur.org:taxname:62208"	"Fauna Europaea"	"Eurygnathomyia sp."
"2"	"Eurygnathomyia"	"bicolor"	"(Zetterstedt, 1837)"	"http://dyntaxa.se/taxon/info/241024"	"Dyntaxa"	"Eurygnathomyia bicolor"
"3"	"Palloptera"	"sp."	"Fallen 1820"	"urn:lsid:faunaeur.org:taxname:62213"	"Fauna Europaea"	"Palloptera sp."
"4"	"Palloptera"	"ambusta"	"(Meigen, 1826)"	"http://dyntaxa.se/taxon/info/241025"	"Dyntaxa"	"Palloptera ambusta"
"5"	"Palloptera"	"anderssoni"	"Rotheray & MacGowan, 1998"	"http://dyntaxa.se/taxon/info/241026"	"Dyntaxa"	"Palloptera anderssoni"
"6"	"Palloptera"	"bimaculata"	"Strobl, 1910"	"http://dyntaxa.se/taxon/info/241027"	"Dyntaxa"	"Palloptera bimaculata"
"7"	"Palloptera"	"formosa"	"Frey, 1930"	"http://dyntaxa.se/taxon/info/241028"	"Dyntaxa"	"Palloptera formosa"
"8"	"Palloptera"	"marginata"	"(Meigen, 1826)"	"http://dyntaxa.se/taxon/info/241029"	"Dyntaxa"	"Palloptera marginata"
"9"	"Palloptera"	"umbellatarum"	"(Fabricius, 1775)"	"http://dyntaxa.se/taxon/info/241030"	"Dyntaxa"	"Palloptera umbellatarum"
"10"	"Palloptera"	"ustulata"	"Fallén, 1820"	"http://dyntaxa.se/taxon/info/241031"	"Dyntaxa"	"Palloptera ustulata"
"11"	"Palloptera"	"flava"	"Oldenberg, 1910"	"http://dyntaxa.se/taxon/info/250239"	"Dyntaxa"	"Palloptera flava"
"12"	"Temnosira"	"sp."	"Enderlein 1936"	"urn:lsid:faunaeur.org:taxname:62223"	"Fauna Europaea"	"Temnosira sp."
"13"	"Temnosira"	"saltuum"	"(Linnaeus, 1758)"	"http://dyntaxa.se/taxon/info/241032"	"Dyntaxa"	"Temnosira saltuum"
"14"	"Toxoneura"	"sp."	"Macquart 1835"	"urn:lsid:faunaeur.org:taxname:62226"	"Fauna Europaea"	"Toxoneura sp."
"15"	"Toxoneura"	"ephippium"	"(Zetterstedt, 1860)"	"http://dyntaxa.se/taxon/info/241033"	"Dyntaxa"	"Toxoneura ephippium"
"16"	"Toxoneura"	"laetabilis"	"(Loew, 1873)"	"http://dyntaxa.se/taxon/info/241034"	"Dyntaxa"	"Toxoneura laetabilis"
"17"	"Toxoneura"	"modesta"	"(Meigen, 1830)"	"http://dyntaxa.se/taxon/info/241035"	"Dyntaxa"	"Toxoneura modesta"
"18"	"Toxoneura"	"quinquemaculata"	"(Macquart, 1835)"	"http://dyntaxa.se/taxon/info/241036"	"Dyntaxa"	"Toxoneura quinquemaculata"
"19"	"Toxoneura"	"trimacula"	"(Meigen, 1826)"	"http://dyntaxa.se/taxon/info/241037"	"Dyntaxa"	"Toxoneura trimacula"
"20"	"Toxoneura"	"usta"	"(Meigen, 1826)"	"http://dyntaxa.se/taxon/info/241038"	"Dyntaxa"	"Toxoneura usta"
"21"	"Toxoneura"	"venusta"	"(Loew, 1858)"	"http://dyntaxa.se/taxon/info/241039"	"Dyntaxa"	"Toxoneura venusta"
"22"	"Homalocephala"	"biumbrata"	"(Wahlberg 1838)"	"urn:lsid:faunaeur.org:taxname:405797"	"Fauna Europaea"	"Homalocephala biumbrata"
