"Genus"	"Species"	"Author"	"GUID"	"Notes..errors..synonyms..undescribed.etc."	"Source"	"Taxon.name..computed."
"1"	"Parnassius"	"sp."	"Latreille, 1804"	"https://www.dyntaxa.se/taxon/info/1000516"	NA	"Dyntaxa"	"Parnassius sp."
"2"	"Parnassius"	"apollo"	"(Linnaeus, 1758)"	"https://www.dyntaxa.se/taxon/info/101509"	NA	"Dyntaxa"	"Parnassius apollo"
"3"	"Parnassius"	"mnemosyne"	"(Linnaeus, 1758)"	"https://www.dyntaxa.se/taxon/info/101510"	NA	"Dyntaxa"	"Parnassius mnemosyne"
"4"	"Papilio"	"sp."	"Linnaeus, 1758"	"https://www.dyntaxa.se/taxon/info/1000517"	NA	"Dyntaxa"	"Papilio sp."
"5"	"Papilio"	"machaon"	"Linnaeus, 1758"	"https://www.dyntaxa.se/taxon/info/201034"	NA	"Dyntaxa"	"Papilio machaon"
"6"	"Iphiclides"	"sp."	"Hübner, 1819"	"https://www.dyntaxa.se/taxon/info/1000518"	NA	"Dyntaxa"	"Iphiclides sp."
"7"	"Iphiclides"	"podalirius"	"(Linnaeus, 1758)"	"https://www.dyntaxa.se/taxon/info/201035"	NA	"Dyntaxa"	"Iphiclides podalirius"
"8"	"Leptidea"	"sp."	"Billberg, 1820"	"https://www.dyntaxa.se/taxon/info/1000519"	NA	"Dyntaxa"	"Leptidea sp."
"9"	"Leptidea"	"sinapis"	"(Linnaeus, 1758)"	"https://www.dyntaxa.se/taxon/info/201036"	NA	"Dyntaxa"	"Leptidea sinapis"
"10"	"Leptidea"	"reali"	"Reissinger, 1989"	"https://www.dyntaxa.se/taxon/info/201037"	NA	"Dyntaxa"	"Leptidea reali"
"11"	"Aporia"	"sp."	"Hübner, 1819"	"https://www.dyntaxa.se/taxon/info/1000520"	NA	"Dyntaxa"	"Aporia sp."
"12"	"Aporia"	"crataegi"	"(Linnaeus, 1758)"	"https://www.dyntaxa.se/taxon/info/201038"	NA	"Dyntaxa"	"Aporia crataegi"
"13"	"Pieris"	"sp."	"Schrank, 1801"	"https://www.dyntaxa.se/taxon/info/1000521"	NA	"Dyntaxa"	"Pieris sp."
"14"	"Pieris"	"brassicae"	"(Linnaeus, 1758)"	"https://www.dyntaxa.se/taxon/info/201039"	NA	"Dyntaxa"	"Pieris brassicae"
"15"	"Pieris"	"rapae"	"(Linnaeus, 1758)"	"https://www.dyntaxa.se/taxon/info/201040"	NA	"Dyntaxa"	"Pieris rapae"
"16"	"Pieris"	"napi"	"(Linnaeus, 1758)"	"https://www.dyntaxa.se/taxon/info/201041"	NA	"Dyntaxa"	"Pieris napi"
"17"	"Pontia"	"sp."	"Fabricius, 1807"	"https://www.dyntaxa.se/taxon/info/1000522"	NA	"Dyntaxa"	"Pontia sp."
"18"	"Pontia"	"daplidice"	"(Linnaeus, 1758)"	"https://www.dyntaxa.se/taxon/info/101621"	NA	"Dyntaxa"	"Pontia daplidice"
"19"	"Pontia"	"chloridice"	"(Hübner, 1813)"	"https://www.dyntaxa.se/taxon/info/201043"	NA	"Dyntaxa"	"Pontia chloridice"
"20"	"Pontia"	"callidice"	"(Hübner, 1813)"	"https://www.dyntaxa.se/taxon/info/232284"	NA	"Dyntaxa"	"Pontia callidice"
"21"	"Anthocharis"	"sp."	"Boisduval, et al. 1833"	"https://www.dyntaxa.se/taxon/info/1000523"	NA	"Dyntaxa"	"Anthocharis sp."
"22"	"Anthocharis"	"cardamines"	"(Linnaeus, 1758)"	"https://www.dyntaxa.se/taxon/info/201044"	NA	"Dyntaxa"	"Anthocharis cardamines"
"23"	"Colias"	"sp."	"Fabricius, 1807"	"https://www.dyntaxa.se/taxon/info/1000524"	NA	"Dyntaxa"	"Colias sp."
"24"	"Colias"	"hyale"	"(Linnaeus, 1758)"	"https://www.dyntaxa.se/taxon/info/100696"	NA	"Dyntaxa"	"Colias hyale"
"25"	"Colias"	"hecla"	"Lefèbvre, 1836"	"https://www.dyntaxa.se/taxon/info/102409"	NA	"Dyntaxa"	"Colias hecla"
"26"	"Colias"	"palaeno"	"(Linnaeus, 1758)"	"https://www.dyntaxa.se/taxon/info/201045"	NA	"Dyntaxa"	"Colias palaeno"
"27"	"Colias"	"alfacariensis"	"Ribbe, 1905"	"https://www.dyntaxa.se/taxon/info/201047"	NA	"Dyntaxa"	"Colias alfacariensis"
"28"	"Colias"	"werdandi"	"Zetterstedt, 1840"	"https://www.dyntaxa.se/taxon/info/201048"	NA	"Dyntaxa"	"Colias werdandi"
"29"	"Colias"	"croceus"	"(Fourcroy, 1785)"	"https://www.dyntaxa.se/taxon/info/201050"	NA	"Dyntaxa"	"Colias croceus"
"30"	"Gonepteryx"	"sp."	"Leach, 1815"	"https://www.dyntaxa.se/taxon/info/1000525"	NA	"Dyntaxa"	"Gonepteryx sp."
