"Genus"	"Species"	"Author"	"Total"	"TrapID"	"EventID"	"StartDate"
"1"	"Megaselia"	"pseudo-drakei"	"n. sp."	1	44	1188	"2004.viii.09"
"2"	"Megaselia"	"pseudo-drakei"	"n. sp."	4	44	1188	"2004.viii.09"
"3"	"Megaselia"	"pseudo-drakei"	"n. sp."	1	44	1187	"2004.vii.25"
"4"	"Megaselia"	"pseudo-drakei"	"n. sp."	1	44	1187	"2004.vii.25"
"5"	"Megaselia"	"pseudo-drakei"	"n. sp."	1	44	1187	"2004.vii.25"
"6"	"Megaselia"	"pseudo-drakei"	"n. sp."	1	1001	1329	"2005.vi.04"
"7"	"Megaselia"	"pseudo-drakei"	"n. sp."	58	1001	1329	"2005.vi.04"
"8"	"Megaselia"	"pseudo-drakei"	"n. sp."	1	1001	1329	"2005.vi.04"
"9"	"Megaselia"	"pseudo-drakei"	"n. sp."	5	1001	1329	"2005.vi.04"
"10"	"Megaselia"	"pseudo-drakei"	"n. sp."	1	10	396	"2003.vi.23"
"11"	"Megaselia"	"pseudo-drakei"	"n. sp."	1	10	401	"2003.ix.16"
"12"	"Megaselia"	"pseudo-drakei"	"n. sp."	1	18	731	"2004.ix.20"
"13"	"Megaselia"	"pseudo-eisfelderae"	"n. sp."	1	31	1061	"2004.vii.30"
"14"	"Megaselia"	"pseudo-eisfelderae"	"n. sp."	3	31	1061	"2004.vii.30"
"15"	"Megaselia"	"pseudo-eisfelderae"	"n. sp."	1	44	1188	"2004.viii.09"
"16"	"Megaselia"	"pseudo-eisfelderae"	"n. sp."	1	44	1188	"2004.viii.09"
"17"	"Megaselia"	"pseudo-eisfelderae"	"n. sp."	1	44	1188	"2004.viii.09"
"18"	"Megaselia"	"pseudo-eisfelderae"	"n. sp."	1	54	193	"2003.ix.01"
"19"	"Megaselia"	"pseudo-eisfelderae"	"n. sp."	9	54	193	"2003.ix.01"
"20"	"Megaselia"	"pseudo-emarginata"	"n. sp."	1	59	211	"2003.viii.01"
"21"	"Megaselia"	"pseudo-emarginata"	"n. sp."	2	59	211	"2003.viii.01"
