"Genus"	"Species"	"Author"	"GUID"	"Notes..errors..synonyms..undescribed.etc."	"Source"	"Taxon.name..computed."
"1"	"Aenigmatias"	"sp."	"Meinert, 1890"	"http://www.faunaeur.org/full_results.php?id=63271"	NA	"Dyntaxa"	"Aenigmatias sp."
"2"	"Aenigmatias"	"lubbockii"	"(Egger, 1860)"	"http://dyntaxa.se/taxon/info/240513"	NA	"Dyntaxa"	"Aenigmatias lubbockii"
"3"	"Anevrina"	"sp."	"Lioy, 1864"	"http://www.faunaeur.org/full_results.php?id=63281"	NA	NA	"Anevrina sp."
"4"	"Anevrina"	"curvinervis"	"(Becker, 1901)"	"http://dyntaxa.se/taxon/info/240514"	NA	NA	"Anevrina curvinervis"
"5"	"Anevrina"	"thoracica"	"(Meigen, 1804)"	"http://dyntaxa.se/taxon/info/240515"	NA	NA	"Anevrina thoracica"
"6"	"Anevrina"	"unispinosa"	"(Zetterstedt, 1860)"	"http://dyntaxa.se/taxon/info/240516"	NA	NA	"Anevrina unispinosa"
"7"	"Anevrina"	"urbana"	"(Meigen, 1830)"	"http://dyntaxa.se/taxon/info/240517"	NA	NA	"Anevrina urbana"
"8"	"Beckerina"	"sp."	"Malloch, 1910"	"http://www.faunaeur.org/full_results.php?id=63271"	NA	NA	"Beckerina sp."
"9"	"Beckerina"	"umbrimargo"	"(Becker, 1901)"	"http://dyntaxa.se/taxon/info/240518"	NA	NA	"Beckerina umbrimargo"
"10"	"Borophaga"	"sp."	"Enderlein, 1924"	"http://www.faunaeur.org/full_results.php?id=63295"	NA	NA	"Borophaga sp."
"11"	"Borophaga"	"agilis"	"(Becker, 1901)"	"http://dyntaxa.se/taxon/info/240519"	NA	NA	"Borophaga agilis"
"12"	"Borophaga"	"carinifrons"	"(Zetterstedt, 1848)"	"http://dyntaxa.se/taxon/info/240520"	NA	NA	"Borophaga carinifrons"
"13"	"Borophaga"	"femorata"	"(Meigen, 1830)"	"http://dyntaxa.se/taxon/info/240521"	NA	NA	"Borophaga femorata"
"14"	"Borophaga"	"incrassata"	"(Meigen, 1830)"	"http://dyntaxa.se/taxon/info/240522"	NA	NA	"Borophaga incrassata"
"15"	"Borophaga"	"irregularis"	"(Wood, 1912)"	"http://dyntaxa.se/taxon/info/240523"	NA	NA	"Borophaga irregularis"
"16"	"Borophaga"	"subsultans"	"(Linnaeus, 1767)"	"http://dyntaxa.se/taxon/info/240524"	NA	NA	"Borophaga subsultans"
"17"	"Chaetopleurophora"	"sp."	"Schmitz, 1922"	"http://www.faunaeur.org/full_results.php?id=63306"	NA	NA	"Chaetopleurophora sp."
"18"	"Chaetopleurophora"	"bohemanni"	"(Becker, 1901)"	"http://dyntaxa.se/taxon/info/240551"	NA	NA	"Chaetopleurophora bohemanni"
"19"	"Chaetopleurophora"	"erythronota"	"(Strobl, 1892)"	"http://dyntaxa.se/taxon/info/240552"	NA	NA	"Chaetopleurophora erythronota"
"20"	"Chaetopleurophora"	"spinosissima"	"(Strobl, 1892)"	"http://dyntaxa.se/taxon/info/240553"	NA	NA	"Chaetopleurophora spinosissima"
"21"	"Conicera"	"sp."	"Meigen, 1830"	"http://www.faunaeur.org/full_results.php?id=63318"	NA	NA	"Conicera sp."
"22"	"Conicera"	"dauci"	"(Meigen, 1830)"	"http://dyntaxa.se/taxon/info/240554"	NA	NA	"Conicera dauci"
"23"	"Conicera"	"floricola"	"Schmitz, 1938"	"http://dyntaxa.se/taxon/info/240555"	NA	NA	"Conicera floricola"
"24"	"Conicera"	"similis"	"(Haliday, 1833)"	"http://dyntaxa.se/taxon/info/240557"	NA	NA	"Conicera similis"
"25"	"Conicera"	"tarsalis"	"Schmitz, 1920"	"http://dyntaxa.se/taxon/info/240558"	NA	NA	"Conicera tarsalis"
"26"	"Conicera"	"tibialis"	"Schmitz, 1925"	"http://dyntaxa.se/taxon/info/240559"	NA	NA	"Conicera tibialis"
"27"	"Diplonevra"	"sp."	"Lioy, 1864"	"http://www.faunaeur.org/full_results.php?id=63329"	NA	NA	"Diplonevra sp."
"28"	"Diplonevra"	"florescens"	"(Turton, 1801)"	"http://dyntaxa.se/taxon/info/240562"	NA	NA	"Diplonevra florescens"
"29"	"Diplonevra"	"freyi"	"(Schmitz, 1927)"	"http://dyntaxa.se/taxon/info/240563"	NA	NA	"Diplonevra freyi"
"30"	"Diplonevra"	"funebris"	"(Meigen, 1830)"	"http://dyntaxa.se/taxon/info/240564"	NA	NA	"Diplonevra funebris"
"31"	"Diplonevra"	"glabra"	"Schmitz, 1927"	"http://dyntaxa.se/taxon/info/240565"	NA	NA	"Diplonevra glabra"
"32"	"Diplonevra"	"nitidula"	"(Meigen, 1830)"	"http://dyntaxa.se/taxon/info/240566"	NA	NA	"Diplonevra nitidula"
"33"	"Diplonevra"	"pilosella"	"(Schmitz, 1927)"	"http://dyntaxa.se/taxon/info/240568"	NA	NA	"Diplonevra pilosella"
"34"	"Diplonevra"	"unisetalis"	"(Schmitz, 1935)"	"http://dyntaxa.se/taxon/info/240569"	NA	NA	"Diplonevra unisetalis"
"35"	"Gymnophora"	"sp."	"Macquart, 1835"	"http://www.faunaeur.org/full_results.php?id=63357"	NA	NA	"Gymnophora sp."
"36"	"Gymnophora"	"arcuata"	"(Meigen, 1830)"	"http://dyntaxa.se/taxon/info/240571"	NA	NA	"Gymnophora arcuata"
"37"	"Gymnophora"	"nigripennis"	"Schmitz, 1926"	"http://dyntaxa.se/taxon/info/240572"	NA	NA	"Gymnophora nigripennis"
"38"	"Gymnoptera"	"sp."	"Lioy, 1864"	"http://www.faunaeur.org/full_results.php?id=63366"	NA	NA	"Gymnoptera sp."
"39"	"Gymnoptera"	"vitripennis"	"(Meigen, 1830)"	"http://dyntaxa.se/taxon/info/240575"	NA	NA	"Gymnoptera vitripennis"
"40"	"Hypocera"	"sp."	"Lioy, 1864"	"http://www.faunaeur.org/full_results.php?id=63298"	NA	NA	"Hypocera sp."
"41"	"Hypocera"	"mordellaria"	"(Fallén, 1823)"	"http://dyntaxa.se/taxon/info/240576"	NA	NA	"Hypocera mordellaria"
"42"	"Hypocerides"	"sp."	"Schmitz, 1915"	"http://www.faunaeur.org/full_results.php?id=63370"	NA	NA	"Hypocerides sp."
"43"	"Hypocerides"	"nearcticus"	"(Borgmeier, 1966)"	"http://dyntaxa.se/taxon/info/240577"	NA	NA	"Hypocerides nearcticus"
"44"	"Megaselia"	"sp."	"Rondani, 1856"	"http://www.faunaeur.org/full_results.php?id=63374"	NA	NA	"Megaselia sp."
"45"	"Megaselia"	"abdita"	"Schmitz, 1960"	"http://dyntaxa.se/taxon/info/240578"	NA	NA	"Megaselia abdita"
"46"	"Megaselia"	"abernethae"	"Disney, 1989"	"http://dyntaxa.se/taxon/info/240579"	NA	NA	"Megaselia abernethae"
"47"	"Megaselia"	"abludens"	"Schmitz, 1928"	"http://dyntaxa.se/taxon/info/240580"	NA	NA	"Megaselia abludens"
"48"	"Megaselia"	"aculeata"	"(Schmitz, 1919)"	"http://dyntaxa.se/taxon/info/240581"	NA	NA	"Megaselia aculeata"
"49"	"Megaselia"	"aequalis"	"(Wood, 1909)"	"http://dyntaxa.se/taxon/info/240582"	NA	NA	"Megaselia aequalis"
"50"	"Megaselia"	"affinis"	"(Wood, 1909)"	"http://dyntaxa.se/taxon/info/240583"	NA	NA	"Megaselia affinis"
"51"	"Megaselia"	"albicans"	"(Wood, 1908)"	"http://dyntaxa.se/taxon/info/240584"	NA	NA	"Megaselia albicans"
"52"	"Megaselia"	"albicaudata"	"(Wood, 1910)"	"http://dyntaxa.se/taxon/info/240585"	NA	NA	"Megaselia albicaudata"
"53"	"Megaselia"	"albiclava"	"Schmitz, 1926"	"http://dyntaxa.se/taxon/info/240586"	NA	NA	"Megaselia albiclava"
"54"	"Megaselia"	"albocingulata"	"(Strobl, 1906)"	"http://dyntaxa.se/taxon/info/240587"	NA	NA	"Megaselia albocingulata"
"55"	"Megaselia"	"alpina"	"Schmitz, 1965"	"http://dyntaxa.se/taxon/info/240588"	NA	NA	"Megaselia alpina"
"56"	"Megaselia"	"alticolella"	"(Wood, 1909)"	"http://dyntaxa.se/taxon/info/240589"	NA	NA	"Megaselia alticolella"
"57"	"Megaselia"	"altifrons"	"(Wood, 1909)"	"http://dyntaxa.se/taxon/info/240590"	NA	NA	"Megaselia altifrons"
"58"	"Megaselia"	"analis"	"(Lundbeck, 1920)"	"http://dyntaxa.se/taxon/info/240591"	NA	NA	"Megaselia analis"
"59"	"Megaselia"	"angularis"	"(Schmitz, 1924)"	"http://dyntaxa.se/taxon/info/240593"	NA	NA	"Megaselia angularis"
"60"	"Megaselia"	"angusta"	"(Wood, 1909)"	"http://dyntaxa.se/taxon/info/240594"	NA	NA	"Megaselia angusta"
"61"	"Megaselia"	"annulipes"	"(Schmitz, 1921)"	"http://dyntaxa.se/taxon/info/240595"	NA	NA	"Megaselia annulipes"
"62"	"Megaselia"	"aquilonia"	"Schmitz, 1958"	"http://dyntaxa.se/taxon/info/240596"	NA	NA	"Megaselia aquilonia"
"63"	"Megaselia"	"aristica"	"(Schmitz, 1920)"	"http://dyntaxa.se/taxon/info/240597"	NA	NA	"Megaselia aristica"
"64"	"Megaselia"	"armata"	"(Wood, 1909)"	"http://dyntaxa.se/taxon/info/240598"	NA	NA	"Megaselia armata"
"65"	"Megaselia"	"arquata"	"Schmitz, 1936"	"http://dyntaxa.se/taxon/info/240599"	NA	NA	"Megaselia arquata"
"66"	"Megaselia"	"aspera"	"Schmitz, 1930"	"http://dyntaxa.se/taxon/info/240600"	NA	NA	"Megaselia aspera"
"67"	"Megaselia"	"atrosericea"	"Schmitz, 1927"	"http://dyntaxa.se/taxon/info/240601"	NA	NA	"Megaselia atrosericea"
