"Genus"	"Species"	"Author"	"Total"	"TrapID"	"EventID"	"StartDate"
"1"	"Astrenis"	"paradoxa"	"(Schmiedeknecht 1907)"	1	23	1011	"2004.vii.02"
"2"	"Astrenis"	"paradoxa"	"(Schmiedeknecht 1907)"	1	55	1261	"2004.viii.05"
"3"	"Astrenis"	"sinuata"	"(Roman, 1909)"	2	7	1592	"2005.vii.04"
"4"	"Astrenis"	"sinuata"	"(Roman, 1909)"	5	7	1593	"2005.vii.17"
"5"	"Astrenis"	"sinuata"	"(Roman, 1909)"	1	15	945	"2004.vi.23"
"6"	"Astrenis"	"sinuata"	"(Roman, 1909)"	2	23	1011	"2004.vii.02"
"7"	"Astrenis"	"sinuata"	"(Roman, 1909)"	5	50	715	"2003.viii.07"
"8"	"Astrenis"	"sinuata"	"(Roman, 1909)"	1	50	716	"2003.viii.21"
"9"	"Astrenis"	"sinuata"	"(Roman, 1909)"	3	50	717	"2003.ix.01"
"10"	"Astrenis"	"sinuata"	"(Roman, 1909)"	3	50	1228	"2004.ix.12"
"11"	"Astrenis"	"sinuata"	"(Roman, 1909)"	2	50	1228	"2004.ix.12"
"12"	"Astrenis"	"sinuata"	"(Roman, 1909)"	1	55	1261	"2004.viii.05"
"13"	"Phrudus"	"defectus"	"Stelfox 1966"	1	7	1592	"2005.vii.04"
