"Genus"	"Species"	"Author"	"Total"	"TrapID"	"EventID"	"StartDate"
"1"	"Astrenis"	"brunneofacies"	"Vikberg 2000"	3	9	1611	"2005.vii.16"
"2"	"Astrenis"	"brunneofacies"	"Vikberg 2000"	3	10	396	"2003.vi.23"
"3"	"Astrenis"	"brunneofacies"	"Vikberg 2000"	11	10	397	"2003.vii.08"
"4"	"Astrenis"	"brunneofacies"	"Vikberg 2000"	1	10	398	"2003.vii.21"
"5"	"Astrenis"	"brunneofacies"	"Vikberg 2000"	1	10	408	"2004.v.13"
"6"	"Astrenis"	"brunneofacies"	"Vikberg 2000"	3	10	1625	"2005.viii.01"
"7"	"Astrenis"	"brunneofacies"	"Vikberg 2000"	2	11	881	"2004.vi.16"
"8"	"Astrenis"	"brunneofacies"	"Vikberg 2000"	1	17	271	"2003.vii.08"
"9"	"Astrenis"	"brunneofacies"	"Vikberg 2000"	2	17	1517	"2005.vii.17"
"10"	"Astrenis"	"brunneofacies"	"Vikberg 2000"	2	24	1674	"2005.vii.20"
"11"	"Astrenis"	"brunneofacies"	"Vikberg 2000"	1	37	1822	"2005.vii.07"
"12"	"Astrenis"	"brunneofacies"	"Vikberg 2000"	2	39	602	"2003.vii.12"
"13"	"Astrenis"	"brunneofacies"	"Vikberg 2000"	1	39	1136	"2004.vi.12"
"14"	"Astrenis"	"brunneofacies"	"Vikberg 2000"	3	39	1137	"2004.vii.13"
"15"	"Astrenis"	"brunneofacies"	"Vikberg 2000"	2	40	1145	"2004.vi.01"
"16"	"Astrenis"	"brunneofacies"	"Vikberg 2000"	2	40	1146	"2004.vii.13"
"17"	"Astrenis"	"brunneofacies"	"Vikberg 2000"	6	40	1810	"2005.iv.22"
"18"	"Astrenis"	"brunneofacies"	"Vikberg 2000"	1	40	1812	"2005.vi.20"
"19"	"Astrenis"	"brunneofacies"	"Vikberg 2000"	1	42	644	"2003.vii.16"
"20"	"Astrenis"	"brunneofacies"	"Vikberg 2000"	1	43	1910	"2005.vii.27"
"21"	"Astrenis"	"brunneofacies"	"Vikberg 2000"	2	44	670	"2003.vii.17"
"22"	"Astrenis"	"brunneofacies"	"Vikberg 2000"	4	44	1187	"2004.vii.25"
"23"	"Astrenis"	"brunneofacies"	"Vikberg 2000"	3	44	1188	"2004.viii.09"
