"Genus"	"Species"	"Author"	"Total"	"TrapID"	"EventID"	"StartDate"
"1"	"Zatypota"	"sp."	"Förster, 1869"	1	15	1659	"2005.v.28"
"2"	"Scambus"	"sp."	"Hartig, 1838"	1	20	233	"2003.vi.25"
"3"	"Dolichomitus"	"sp."	"Smith, 1877"	1	47	998	"2004.vi.18"
"4"	"Zatypota"	"sp."	"Förster, 1869"	1	13	1648	"2005.viii.23"
"5"	"Itoplectis"	"viduata"	"(Gravenhorst, 1829)"	1	29	1394	"2005.vi.04"
"6"	"Itoplectis"	"insignis"	"Perkins, 1957"	1	57	203	"2003.viii.01"
"7"	"Zatypota"	"sp."	"Förster, 1869"	1	4	114	"2003.viii.04"
"8"	"Pimpla"	"insignatoria"	"(Gravenhorst 1807)"	1	1000	1362	"2005.viii.24"
"9"	"Itoplectis"	"sp."	"Förster, 1869"	1	59	211	"2003.viii.01"
"10"	"Pimpla"	"insignatoria"	"(Gravenhorst 1807)"	1	1001	1329	"2005.vi.04"
"11"	"Scambus"	"sp."	"Hartig, 1838"	1	22	248	"2003.viii.18"
"12"	"Scambus"	"sp."	"Hartig, 1838"	1	28	1459	"2004.viii.02"
"13"	"Polysphincta"	"vexator"	"Fitton, Shaw & Gauld, 1988"	1	57	203	"2003.viii.01"
"14"	"Scambus"	"sp."	"Hartig, 1838"	1	57	203	"2003.viii.01"
"15"	"Schizopyga"	"podagrica"	"Gravenhorst, 1829"	3	1008	1743	"2006.vii.16"
"16"	"Acrodactyla"	"sp."	"Haliday, 1839"	1	2046	2059	"2008.x.03"
"17"	"Acrodactyla"	"sp."	"Haliday, 1839"	1	3	109	"2003.viii.04"
"18"	"Scambus"	"sp."	"Hartig, 1838"	3	59	213	"2003.ix.01"
"19"	"Itoplectis"	"viduata"	"(Gravenhorst, 1829)"	1	28	1459	"2004.viii.02"
"20"	"Zatypota"	"sp."	"Förster, 1869"	1	60	217	"2003.ix.01"
"21"	"Zatypota"	"sp."	"Förster, 1869"	1	15	1660	"2005.vii.05"
"22"	"Pimpla"	"rufipes"	"(Miller 1759)"	1	20	233	"2003.vi.25"
"23"	"Pimpla"	"contemplator"	"(Müller, 1776)"	2	1008	1743	"2006.vii.16"
"24"	"Schizopyga"	"podagrica"	"Gravenhorst, 1829"	1	9	1612	"2005.viii.06"
"25"	"Scambus"	"nigricans"	"(Thomson, 1877)"	1	22	777	"2004.vi.23"
"26"	"Pimpla"	"arcadica"	"Kasparyan, 1973"	1	28	1459	"2004.viii.02"
"27"	"Ephialtes"	"sp."	"Gravenhorst, 1829"	2	2	789	"2004.viii.11"
"28"	"Acrodactyla"	"sp."	"Haliday, 1839"	1	60	217	"2003.ix.01"
"29"	"Zatypota"	"sp."	"Förster, 1869"	1	15	1659	"2005.v.28"
"30"	"Scambus"	"sp."	"Hartig, 1838"	1	35	1792	"2005.viii.04"
"31"	"Apechthis"	"quadridentata"	"(Thomson, 1877)"	1	1008	1743	"2006.vii.16"
"32"	"Scambus"	"sp."	"Hartig, 1838"	1	22	777	"2004.vi.23"
"33"	"Scambus"	"nigricans"	"(Thomson, 1877)"	1	28	1459	"2004.viii.02"
"34"	"Zatypota"	"sp."	"Förster, 1869"	1	2	789	"2004.viii.11"
"35"	"Scambus"	"sp."	"Hartig, 1838"	1	1002	1376	"2005.vii.15"
"36"	"Zatypota"	"sp."	"Förster, 1869"	1	3	800	"2004.viii.11"
