"Genus"	"Species"	"Author"	"GUID"	"Notes..errors..synonyms..undescribed.etc."	"Source"	"Taxon.name..computed."
"1"	"Acropimpla"	"sp."	"Townes, 1960"	"http://dyntaxa.se/taxon/info/1014826"	NA	"Dyntaxa"	"Acropimpla sp."
"2"	"Acropimpla"	"didyma"	"(Gravenhorst, 1829)"	"http://dyntaxa.se/taxon/info/255870"	NA	"Dyntaxa"	"Acropimpla didyma"
"3"	"Acropimpla"	"pictipes"	"(Gravenhorst, 1829)"	"http://dyntaxa.se/taxon/info/255871"	NA	"Dyntaxa"	"Acropimpla pictipes"
"4"	"Atractogaster"	"sp."	"Kriechbaumer, 1872"	"http://dyntaxa.se/taxon/info/1014827"	NA	"Dyntaxa"	"Atractogaster sp."
"5"	"Atractogaster"	"semisculptus"	"Kriechbaumer, 1872"	"http://dyntaxa.se/taxon/info/255872"	NA	"Dyntaxa"	"Atractogaster semisculptus"
"6"	"Clistopyga"	"sp."	"Gravenhorst, 1829"	"http://dyntaxa.se/taxon/info/1014828"	NA	"Dyntaxa"	"Clistopyga sp."
"7"	"Clistopyga"	"incitator"	"(Fabricius, 1793)"	"http://dyntaxa.se/taxon/info/255873"	NA	"Dyntaxa"	"Clistopyga incitator"
"8"	"Clistopyga"	"rufator"	"Holmgren, 1856"	"http://dyntaxa.se/taxon/info/255874"	NA	"Dyntaxa"	"Clistopyga rufator"
"9"	"Clistopyga"	"sauberi"	"Brauns, 1898"	"http://dyntaxa.se/taxon/info/255875"	NA	"Dyntaxa"	"Clistopyga sauberi"
"10"	"Delomerista"	"sp."	"Förster, 1869"	"http://dyntaxa.se/taxon/info/1014829"	NA	"Dyntaxa"	"Delomerista sp."
"11"	"Delomerista"	"borealis"	"Walkley, 1960"	"http://dyntaxa.se/taxon/info/255876"	NA	"Dyntaxa"	"Delomerista borealis"
"12"	"Delomerista"	"frigida"	"Kasparyan, 1977"	"http://dyntaxa.se/taxon/info/255877"	NA	"Dyntaxa"	"Delomerista frigida"
"13"	"Delomerista"	"japonica"	"Cushman, 1937"	"http://dyntaxa.se/taxon/info/255878"	NA	"Dyntaxa"	"Delomerista japonica"
"14"	"Delomerista"	"laevis"	"(Gravenhorst, 1829)"	"http://dyntaxa.se/taxon/info/255879"	NA	"Dyntaxa"	"Delomerista laevis"
"15"	"Delomerista"	"longicauda"	"Kasparyan, 1973"	"http://dyntaxa.se/taxon/info/255880"	NA	"Dyntaxa"	"Delomerista longicauda"
"16"	"Delomerista"	"mandibularis"	"(Gravenhorst, 1829)"	"http://dyntaxa.se/taxon/info/255881"	NA	"Dyntaxa"	"Delomerista mandibularis"
"17"	"Delomerista"	"novita"	"(Cresson, 1870)"	"http://dyntaxa.se/taxon/info/255882"	NA	"Dyntaxa"	"Delomerista novita"
"18"	"Delomerista"	"pfankuchi"	"Brauns, 1905"	"http://dyntaxa.se/taxon/info/255884"	NA	"Dyntaxa"	"Delomerista pfankuchi"
"19"	"Dolichomitus"	"sp."	"Smith, 1877"	"http://dyntaxa.se/taxon/info/1014830"	NA	"Dyntaxa"	"Dolichomitus sp."
"20"	"Dolichomitus"	"agnoscendus"	"(Roman, 1939)"	"http://dyntaxa.se/taxon/info/255885"	NA	"Dyntaxa"	"Dolichomitus agnoscendus"
"21"	"Dolichomitus"	"cephalotes"	"(Holmgren, 1860)"	"http://dyntaxa.se/taxon/info/255886"	NA	"Dyntaxa"	"Dolichomitus cephalotes"
"22"	"Dolichomitus"	"cognator"	"(Thunberg, 1822)"	"http://dyntaxa.se/taxon/info/255887"	NA	"Dyntaxa"	"Dolichomitus cognator"
"23"	"Dolichomitus"	"curticornis"	"(Perkins, 1943)"	"http://dyntaxa.se/taxon/info/255888"	NA	"Dyntaxa"	"Dolichomitus curticornis"
"24"	"Dolichomitus"	"diversicostae"	"(Perkins, 1943)"	"http://dyntaxa.se/taxon/info/255889"	NA	"Dyntaxa"	"Dolichomitus diversicostae"
"25"	"Dolichomitus"	"dux"	"(Tschek, 1869)"	"http://dyntaxa.se/taxon/info/255890"	NA	"Dyntaxa"	"Dolichomitus dux"
"26"	"Dolichomitus"	"imperator"	"(Kriechbaumer, 1854)"	"http://dyntaxa.se/taxon/info/255891"	NA	"Dyntaxa"	"Dolichomitus imperator"
"27"	"Dolichomitus"	"mesocentrus"	"(Gravenhorst, 1829)"	"http://dyntaxa.se/taxon/info/255892"	NA	"Dyntaxa"	"Dolichomitus mesocentrus"
"28"	"Dolichomitus"	"messor"	"(Gravenhorst, 1829)"	"http://dyntaxa.se/taxon/info/255893"	NA	"Dyntaxa"	"Dolichomitus messor"
"29"	"Dolichomitus"	"populneus"	"(Ratzeburg, 1848)"	"http://dyntaxa.se/taxon/info/255894"	NA	"Dyntaxa"	"Dolichomitus populneus"
"30"	"Dolichomitus"	"pterelas"	"(Say, 1829)"	"http://dyntaxa.se/taxon/info/255895"	NA	"Dyntaxa"	"Dolichomitus pterelas"
"31"	"Dolichomitus"	"scutellaris"	"(Thomson, 1877)"	"http://dyntaxa.se/taxon/info/255896"	NA	"Dyntaxa"	"Dolichomitus scutellaris"
"32"	"Dolichomitus"	"terebrans"	"(Ratzeburg, 1844)"	"http://dyntaxa.se/taxon/info/255897"	NA	"Dyntaxa"	"Dolichomitus terebrans"
"33"	"Dolichomitus"	"tuberculatus"	"(Geoffroy, 1785)"	"http://dyntaxa.se/taxon/info/255898"	NA	"Dyntaxa"	"Dolichomitus tuberculatus"
"34"	"Endromopoda"	"sp."	"Hellén, 1939"	"http://dyntaxa.se/taxon/info/1014831"	NA	"Dyntaxa"	"Endromopoda sp."
"35"	"Endromopoda"	"arundinator"	"(Fabricius, 1804)"	"http://dyntaxa.se/taxon/info/255899"	NA	"Dyntaxa"	"Endromopoda arundinator"
"36"	"Endromopoda"	"detrita"	"(Holmgren, 1860)"	"http://dyntaxa.se/taxon/info/255900"	NA	"Dyntaxa"	"Endromopoda detrita"
"37"	"Endromopoda"	"nitida"	"(Brauns, 1898)"	"http://dyntaxa.se/taxon/info/255901"	NA	"Dyntaxa"	"Endromopoda nitida"
