"Genus"	"Species"	"Author"	"Total"	"TrapID"	"EventID"	"StartDate"
"1"	"Pimpla"	"melanacrias"	"Perkins, 1941"	1	20	233	"2003.vi.25"
"2"	"Pimpla"	"turionellae"	"(Linnaeus, 1758)"	1	10	397	"2003.vii.08"
"3"	"Endromopoda"	"detrita"	"(Holmgren, 1860)"	2	20	233	"2003.vi.25"
"4"	"Zaglyptus"	"multicolor"	"(Gravenhorst, 1829)"	2	1008	1743	"2006.vii.16"
"5"	"Acrodactyla"	"carinator"	"(Aubert, 1965)"	1	9	1611	"2005.vii.16"
"6"	"Pimpla"	"flavicoxis"	"Thomson, 1877"	3	9	1611	"2005.vii.16"
"7"	"Pimpla"	"flavicoxis"	"Thomson, 1877"	5	1008	1743	"2006.vii.16"
"8"	"Pimpla"	"flavicoxis"	"Thomson, 1877"	3	24	1308	"2004.v.19"
"9"	"Pimpla"	"flavicoxis"	"Thomson, 1877"	3	9	1612	"2005.viii.06"
"10"	"Clistopyga"	"incitator"	"(Fabricius, 1793)"	1	1008	1743	"2006.vii.16"
"11"	"Pimpla"	"insignatoria"	"(Gravenhorst 1807)"	2	24	1309	"2004.vi.27"
"12"	"Pimpla"	"flavicoxis"	"Thomson, 1877"	5	9	1608	"2005.v.28"
"13"	"Pimpla"	"insignatoria"	"(Gravenhorst 1807)"	1	9	1612	"2005.viii.06"
"14"	"Pimpla"	"flavicoxis"	"Thomson, 1877"	3	42	1166	"2004.vii.04"
"15"	"Tromatobia"	"ovivora"	"(Boheman, 1821)"	1	1000	1323	"2005.vii.02"
"16"	"Clistopyga"	"incitator"	"(Fabricius, 1793)"	1	24	1309	"2004.vi.27"
"17"	"Perithous"	"scurra"	"(Panzer, 1804)"	1	24	1309	"2004.vi.27"
"18"	"Tromatobia"	"lineatoria"	"(Villers, 1789)"	14	2046	2059	"2008.x.03"
"19"	"Paraperithous"	"gnathaulax"	"(Thomson, 1877)"	1	1000	1323	"2005.vii.02"
"20"	"Polysphincta"	"tuberosa"	"Gravenhorst, 1829"	1	20	233	"2003.vi.25"
"21"	"Pimpla"	"insignatoria"	"(Gravenhorst 1807)"	7	24	1308	"2004.v.19"
"22"	"Dolichomitus"	"tuberculatus"	"(Geoffroy, 1785)"	2	42	1166	"2004.vii.04"
"23"	"Itoplectis"	"maculator"	"(Fabricius, 1775)"	1	9	1609	"2005.vi.11"
"24"	"Clistopyga"	"incitator"	"(Fabricius, 1793)"	11	20	233	"2003.vi.25"
"25"	"Pimpla"	"spuria"	"Gravenhorst, 1829"	8	20	233	"2003.vi.25"
"26"	"Dolichomitus"	"diversicostae"	"(Perkins, 1943)"	1	1000	1323	"2005.vii.02"
"27"	"Pimpla"	"flavicoxis"	"Thomson, 1877"	1	24	1309	"2004.vi.27"
"28"	"Pimpla"	"flavicoxis"	"Thomson, 1877"	1	9	1609	"2005.vi.11"
"29"	"Pimpla"	"flavicoxis"	"Thomson, 1877"	2	1008	1741	"2006.vii.04"
"30"	"Itoplectis"	"maculator"	"(Fabricius, 1775)"	2	20	233	"2003.vi.25"
"31"	"Acropimpla"	"didyma"	"(Gravenhorst, 1829)"	1	20	233	"2003.vi.25"
"32"	"Pimpla"	"flavicoxis"	"Thomson, 1877"	5	10	397	"2003.vii.08"
"33"	"Itoplectis"	"alternans"	"(Gravenhorst, 1829)"	1	1008	1741	"2006.vii.04"
"34"	"Pimpla"	"turionellae"	"(Linnaeus, 1758)"	1	9	1609	"2005.vi.11"
"35"	"Pimpla"	"flavicoxis"	"Thomson, 1877"	12	44	1188	"2004.viii.09"
"36"	"Pimpla"	"flavicoxis"	"Thomson, 1877"	1	1	314	"2004.iii.28"
"37"	"Apechthis"	"quadridentata"	"(Thomson, 1877)"	1	4	1849	"2005.vii.22"
"38"	"Zaglyptus"	"varipes"	"(Gravenhorst, 1829)"	1	13	1648	"2005.viii.23"
"39"	"Pimpla"	"flavicoxis"	"Thomson, 1877"	2	1001	1329	"2005.vi.04"
"40"	"Gregopimpla"	"inquisitor"	"(Scopoli, 1763)"	1	9	1614	"2005.ix.05"
"41"	"Itoplectis"	"maculator"	"(Fabricius, 1775)"	1	1	314	"2004.iii.28"
"42"	"Pimpla"	"turionellae"	"(Linnaeus, 1758)"	1	1003	1382	"2005.iv.03"
"43"	"Schizopyga"	"circulator"	"(Panzer, 1800)"	1	2046	2059	"2008.x.03"
"44"	"Pimpla"	"flavicoxis"	"Thomson, 1877"	2	4	1849	"2005.vii.22"
"45"	"Pimpla"	"insignatoria"	"(Gravenhorst 1807)"	1	15	1662	"2005.viii.02"
"46"	"Clistopyga"	"incitator"	"(Fabricius, 1793)"	1	35	1792	"2005.viii.04"
"47"	"Pimpla"	"insignatoria"	"(Gravenhorst 1807)"	1	9	1614	"2005.ix.05"
"48"	"Zaglyptus"	"varipes"	"(Gravenhorst, 1829)"	2	59	211	"2003.viii.01"
"49"	"Zaglyptus"	"varipes"	"(Gravenhorst, 1829)"	1	12	891	"2004.vi.27"
"50"	"Zaglyptus"	"varipes"	"(Gravenhorst, 1829)"	1	12	175	"2003.vii.20"
"51"	"Scambus"	"nigricans"	"(Thomson, 1877)"	1	7	861	"2004.ix.04"
"52"	"Tromatobia"	"ovivora"	"(Boheman, 1821)"	1	7	861	"2004.ix.04"
"53"	"Dolichomitus"	"agnoscendus"	"(Roman, 1939)"	1	34	1093	"2004.vii.09"
"54"	"Zaglyptus"	"varipes"	"(Gravenhorst, 1829)"	1	34	1093	"2004.vii.09"
"55"	"Zaglyptus"	"varipes"	"(Gravenhorst, 1829)"	1	35	1723	"2005.ix.21"
"56"	"Apechthis"	"compunctor"	"(Linnaeus, 1758)"	1	12	891	"2004.vi.27"
"57"	"Schizopyga"	"pictifrons"	"(Thomson, 1877)"	2	7	861	"2004.ix.04"
"58"	"Perithous"	"scurra"	"(Panzer, 1804)"	1	34	1093	"2004.vii.09"
"59"	"Dolichomitus"	"terebrans"	"(Ratzeburg, 1844)"	1	2003	2033	"2006.vi.09"
"60"	"Clistopyga"	"incitator"	"(Fabricius, 1793)"	1	30	1718	"2005.vii.17"
"61"	"Tromatobia"	"lineatoria"	"(Villers, 1789)"	1	22	1730	"2006.vii.03"
"62"	"Iseropus"	"stercorator"	"(Fabricius, 1793)"	2	35	1103	"2004.viii.07"
"63"	"Perithous"	"divinator"	"(Rossi, 1790)"	1	12	891	"2004.vi.27"
"64"	"Zaglyptus"	"varipes"	"(Gravenhorst, 1829)"	4	12	894	"2004.viii.09"
"65"	"Perithous"	"albicinctus"	"(Gravenhorst, 1829)"	1	39	1808	"2005.viii.15"
"66"	"Dolichomitus"	"agnoscendus"	"(Roman, 1939)"	1	31	1545	"2005.v.26"
"67"	"Tromatobia"	"ovivora"	"(Boheman, 1821)"	1	27	471	"2003.ix.15"
"68"	"Endromopoda"	"detrita"	"(Holmgren, 1860)"	1	22	1730	"2006.vii.03"
"69"	"Zaglyptus"	"varipes"	"(Gravenhorst, 1829)"	1	35	1105	"2004.ix.05"
"70"	"Gregopimpla"	"inquisitor"	"(Scopoli, 1763)"	1	12	69	"2003.vi.24"
"71"	"Perithous"	"scurra"	"(Panzer, 1804)"	1	12	894	"2004.viii.09"
"72"	"Clistopyga"	"incitator"	"(Fabricius, 1793)"	2	35	1103	"2004.viii.07"
"73"	"Clistopyga"	"incitator"	"(Fabricius, 1793)"	1	7	862	"2004.ix.20"
"74"	"Apechthis"	"quadridentata"	"(Thomson, 1877)"	1	9	360	"2003.ix.01"
"75"	"Paraperithous"	"gnathaulax"	"(Thomson, 1877)"	1	12	894	"2004.viii.09"
"76"	"Dolichomitus"	"mesocentrus"	"(Gravenhorst, 1829)"	1	27	472	"2003.ix.29"
"77"	"Perithous"	"divinator"	"(Rossi, 1790)"	1	12	176	"2003.viii.02"
"78"	"Zaglyptus"	"varipes"	"(Gravenhorst, 1829)"	2	30	266	"2003.vii.09"
"79"	"Dolichomitus"	"imperator"	"(Kriechbaumer, 1854)"	1	31	1545	"2005.v.26"
"80"	"Clistopyga"	"incitator"	"(Fabricius, 1793)"	1	22	1314	"2005.vi.15"
"81"	"Clistopyga"	"incitator"	"(Fabricius, 1793)"	1	1004	1898	"2005.viii.09"
