"Genus"	"Species"	"Author"	"Total"	"TrapID"	"EventID"	"StartDate"
"1"	"Amphipogon"	"flavum"	"(Zetterstedt, 1838)"	1	4	810	"2004.vii.20"
"2"	"Liopiophila"	"varipes"	"(Meigen, 1830)"	1	5	768	"2004.viii.16"
"3"	"Liopiophila"	"varipes"	"(Meigen, 1830)"	3	5	353	"2004.v.18"
"4"	"Mycetaulus"	"bipunctatus"	"Fallén, 1823"	15	5	768	"2004.viii.16"
"5"	"Prochyliza"	"nigrimana"	"(Meigen, 1826)"	1	5	764	"2004.vi.16"
"6"	"Prochyliza"	"nigrimana"	"(Meigen, 1826)"	1	5	765	"2004.vi.30"
"7"	"Parapiophila"	"vulgaris"	"(Fallén, 1820)"	9	5	353	"2004.v.18"
"8"	"Parapiophila"	"sp."	"JF McAlpine 1977"	1	6	1578	"2004.xii.06"
"9"	"Mycetaulus"	"bipunctatus"	"Fallén, 1823"	1	7	379	"2003.vii.03"
"10"	"Parapiophila"	"vulgaris"	"(Fallén, 1820)"	1	11	411	"2003.vii.23"
"11"	"Parapiophila"	"vulgaris"	"(Fallén, 1820)"	3	11	412	"2003.viii.04"
"12"	"Parapiophila"	"vulgaris"	"(Fallén, 1820)"	1	11	418	"2004.vi.08"
"13"	"Parapiophila"	"vulgaris"	"(Fallén, 1820)"	1	12	897	"2004.ix.11"
"14"	"Mycetaulus"	"bipunctatus"	"Fallén, 1823"	2	30	1055	"2004.vii.03"
"15"	"Parapiophila"	"vulgaris"	"(Fallén, 1820)"	1	30	1055	"2004.vii.03"
"16"	"Parapiophila"	"vulgaris"	"(Fallén, 1820)"	1	31	504	"2003.vii.24"
"17"	"Parapiophila"	"vulgaris"	"(Fallén, 1820)"	1	34	1094	"2004.vii.23"
"18"	"Stearibia"	"nigriceps"	"(Meigen, 1826)"	1	37	1820	"2005.iv.14"
"19"	"Parapiophila"	"flavipes"	"(Zetterstedt, 1847)"	1	38	1443	"2005.v.24"
"20"	"Amphipogon"	"flavum"	"(Zetterstedt, 1838)"	16	42	645	"2003.vii.25"
"21"	"Amphipogon"	"flavum"	"(Zetterstedt, 1838)"	3	43	1171	"2004.vii.28"
"22"	"Mycetaulus"	"bipunctatus"	"Fallén, 1823"	5	43	1171	"2004.vii.28"
"23"	"Amphipogon"	"flavum"	"(Zetterstedt, 1838)"	87	42	644	"2003.vii.16"
"24"	"Amphipogon"	"flavum"	"(Zetterstedt, 1838)"	2	44	671	"2003.vii.29"
"25"	"Amphipogon"	"flavum"	"(Zetterstedt, 1838)"	1	44	673	"2003.viii.29"
"26"	"Amphipogon"	"flavum"	"(Zetterstedt, 1838)"	1	44	1186	"2004.vii.05"
"27"	"Amphipogon"	"flavum"	"(Zetterstedt, 1838)"	1	44	1189	"2004.viii.23"
"28"	"Actenoptera"	"hilarella"	"(Zetterstedt 1847)"	3	44	670	"2003.vii.17"
"29"	"Mycetaulus"	"bipunctatus"	"Fallén, 1823"	1	44	1188	"2004.viii.09"
"30"	"Parapiophila"	"vulgaris"	"(Fallén, 1820)"	1	42	644	"2003.vii.16"
"31"	"Amphipogon"	"flavum"	"(Zetterstedt, 1838)"	2	45	292	"2003.viii.23"
"32"	"Parapiophila"	"vulgaris"	"(Fallén, 1820)"	1	45	1192	"2004.vii.06"
"33"	"Parapiophila"	"vulgaris"	"(Fallén, 1820)"	1	46	1199	"2004.vi.28"
"34"	"Amphipogon"	"flavum"	"(Zetterstedt, 1838)"	1	47	998	"2004.vi.18"
"35"	"Amphipogon"	"flavum"	"(Zetterstedt, 1838)"	194	48	1209	"2004.vii.29"
"36"	"Amphipogon"	"flavum"	"(Zetterstedt, 1838)"	43	48	1210	"2004.viii.13"
"37"	"Amphipogon"	"flavum"	"(Zetterstedt, 1838)"	2	48	1966	"2005.viii.16"
"38"	"Parapiophila"	"vulgaris"	"(Fallén, 1820)"	1	48	1209	"2004.vii.29"
"39"	"Amphipogon"	"flavum"	"(Zetterstedt, 1838)"	2	49	708	"2003.viii.05"
"40"	"Amphipogon"	"flavum"	"(Zetterstedt, 1838)"	3	49	709	"2003.viii.22"
"41"	"Amphipogon"	"flavum"	"(Zetterstedt, 1838)"	1	52	183	"2003.viii.01"
"42"	"Amphipogon"	"flavum"	"(Zetterstedt, 1838)"	1	53	1247	"2004.viii.05"
"43"	"Amphipogon"	"flavum"	"(Zetterstedt, 1838)"	1	53	1249	"2004.ix.03"
"44"	"Mycetaulus"	"bipunctatus"	"Fallén, 1823"	1	54	1254	"2004.viii.05"
"45"	"Mycetaulus"	"bipunctatus"	"Fallén, 1823"	2	56	1268	"2004.viii.05"
"46"	"Amphipogon"	"flavum"	"(Zetterstedt, 1838)"	1	56	1268	"2004.viii.05"
"47"	"Amphipogon"	"flavum"	"(Zetterstedt, 1838)"	9	57	1276	"2004.viii.20"
"48"	"Mycetaulus"	"bipunctatus"	"Fallén, 1823"	12	57	1276	"2004.viii.20"
"49"	"Mycetaulus"	"bipunctatus"	"Fallén, 1823"	2	59	1289	"2004.viii.05"
"50"	"Amphipogon"	"flavum"	"(Zetterstedt, 1838)"	3	59	1289	"2004.viii.05"
"51"	"Amphipogon"	"flavum"	"(Zetterstedt, 1838)"	4	61	1302	"2004.vii.23"
"52"	"Mycetaulus"	"bipunctatus"	"Fallén, 1823"	6	61	1302	"2004.vii.23"
"53"	"Mycetaulus"	"bipunctatus"	"Fallén, 1823"	3	1002	1378	"2005.vii.23"
"54"	"Mycetaulus"	"bipunctatus"	"Fallén, 1823"	2	1002	1380	"2005.viii.24"
"55"	"Parapiophila"	"dudai"	"(Frey 1930)"	1	1002	1371	"2005.v.14"
"56"	"Parapiophila"	"vulgaris"	"(Fallén, 1820)"	1	1002	1380	"2005.viii.24"
"57"	"Actenoptera"	"hilarella"	"(Zetterstedt 1847)"	1	1003	1388	"2005.vii.10"
"58"	"Mycetaulus"	"bipunctatus"	"Fallén, 1823"	1	1006	1424	"2005.v.22"
"59"	"Stearibia"	"nigriceps"	"(Meigen, 1826)"	25	2003	2031	"2006.iii.01"
"60"	"Stearibia"	"nigriceps"	"(Meigen, 1826)"	100	2003	2034	"2006.vi.29 "
"61"	"Stearibia"	"nigriceps"	"(Meigen, 1826)"	50	2003	2036	"2006.vii.24"
"62"	"Stearibia"	"nigriceps"	"(Meigen, 1826)"	22	2003	2037	"2006.viii.14"
"63"	"Stearibia"	"nigriceps"	"(Meigen, 1826)"	11	2003	2038	"2006.ix.08"
"64"	"Stearibia"	"nigriceps"	"(Meigen, 1826)"	1	2003	2039	"2006.x.10"
"65"	"Parapiophila"	"flavipes"	"(Zetterstedt, 1847)"	1	2003	2036	"2006.vii.24"
"66"	"Parapiophila"	"vulgaris"	"(Fallén, 1820)"	58	2003	2031	"2006.iii.01"
"67"	"Parapiophila"	"vulgaris"	"(Fallén, 1820)"	29	2003	2034	"2006.vi.29 "
"68"	"Parapiophila"	"vulgaris"	"(Fallén, 1820)"	34	2003	2036	"2006.vii.24"
"69"	"Parapiophila"	"vulgaris"	"(Fallén, 1820)"	41	2003	2037	"2006.viii.14"
"70"	"Parapiophila"	"vulgaris"	"(Fallén, 1820)"	14	2003	2038	"2006.ix.08"
"71"	"Parapiophila"	"pectiniventris"	"(Duda, 1924)"	4	2003	2031	"2006.iii.01"
"72"	"Liopiophila"	"varipes"	"(Meigen, 1830)"	14	2003	2031	"2006.iii.01"
"73"	"Liopiophila"	"varipes"	"(Meigen, 1830)"	5	2003	2037	"2006.viii.14"
"74"	"Liopiophila"	"varipes"	"(Meigen, 1830)"	10	2003	2038	"2006.ix.08"
"75"	"Mycetaulus"	"bipunctatus"	"Fallén, 1823"	45	2003	2036	"2006.vii.24"
"76"	"Mycetaulus"	"bipunctatus"	"Fallén, 1823"	73	2003	2037	"2006.viii.14"
"77"	"Protopiophila"	"latipes"	"(Meigen, 1838)"	6	2003	2034	"2006.vi.29 "
"78"	"Protopiophila"	"latipes"	"(Meigen, 1838)"	1	2003	2036	"2006.vii.24"
"79"	"Protopiophila"	"latipes"	"(Meigen, 1838)"	1	2003	2037	"2006.viii.14"
"80"	"Prochyliza"	"nigrimana"	"(Meigen, 1826)"	32	2003	2034	"2006.vi.29 "
"81"	"Prochyliza"	"nigrimana"	"(Meigen, 1826)"	10	2003	2036	"2006.vii.24"
"82"	"Prochyliza"	"nigrimana"	"(Meigen, 1826)"	1	2003	2037	"2006.viii.14"
"83"	"Protopiophila"	"latipes"	"(Meigen, 1838)"	2	2046	2055	"2008.vii.16"
"84"	"Parapiophila"	"vulgaris"	"(Fallén, 1820)"	1	2046	2055	"2008.vii.16"
"85"	"Liopiophila"	"varipes"	"(Meigen, 1830)"	1	2046	2055	"2008.vii.16"
"86"	"Stearibia"	"nigriceps"	"(Meigen, 1826)"	1	2046	2055	"2008.vii.16"
"87"	"Stearibia"	"nigriceps"	"(Meigen, 1826)"	2	2046	2056	"2008.viii.01"
