"Genus"	"Species"	"Author"	"GUID"	"Source"	"Taxon.name..computed."
"1"	"Allopiophila"	"sp."	"Hendel 1917"	"urn:lsid:faunaeur.org:taxname:63986"	"Fauna Europaea"	"Allopiophila sp."
"2"	"Allopiophila"	"luteata"	"(Haliday, 1833)"	"http://dyntaxa.se/taxon/info/241040"	"Dyntaxa"	"Allopiophila luteata"
"3"	"Amphipogon"	"sp."	"Wahlberg 1845"	"urn:lsid:faunaeur.org:taxname:63983"	"Fauna Europaea"	"Amphipogon sp."
"4"	"Amphipogon"	"flavum"	"(Zetterstedt, 1838)"	"http://dyntaxa.se/taxon/info/241041"	"Dyntaxa"	"Amphipogon flavum"
"5"	"Boreopiophila"	"sp."	"Frey 1930"	"urn:lsid:faunaeur.org:taxname:63981"	"Fauna Europaea"	"Boreopiophila sp."
"6"	"Boreopiophila"	"tomentosa"	"Frey, 1930"	"http://dyntaxa.se/taxon/info/241042"	"Dyntaxa"	"Boreopiophila tomentosa"
"7"	"Centrophlebomyia"	"sp."	"Hendel 1903"	"urn:lsid:faunaeur.org:taxname:64017"	"Fauna Europaea"	"Centrophlebomyia sp."
"8"	"Centrophlebomyia"	"furcata"	"Hendel, 1903"	"http://dyntaxa.se/taxon/info/241043"	"Dyntaxa"	"Centrophlebomyia furcata"
"9"	"Liopiophila"	"sp."	"Duda 1924"	"urn:lsid:faunaeur.org:taxname:64010"	"Fauna Europaea"	"Liopiophila sp."
"10"	"Liopiophila"	"varipes"	"(Meigen, 1830)"	"http://dyntaxa.se/taxon/info/241044"	"Dyntaxa"	"Liopiophila varipes"
"11"	"Mycetaulus"	"sp."	"Loew 1845"	"urn:lsid:faunaeur.org:taxname:63977"	"Fauna Europaea"	"Mycetaulus sp."
"12"	"Mycetaulus"	"bipunctatus"	"Fallén, 1823"	"http://dyntaxa.se/taxon/info/241045"	"Dyntaxa"	"Mycetaulus bipunctatus"
"13"	"Neottiophilum"	"sp."	"Frauenfeld 1868"	"urn:lsid:faunaeur.org:taxname:64020"	"Fauna Europaea"	"Neottiophilum sp."
"14"	"Neottiophilum"	"praeustum"	"(Meigen, 1826)"	"http://dyntaxa.se/taxon/info/241046"	"Dyntaxa"	"Neottiophilum praeustum"
"15"	"Parapiophila"	"sp."	"JF McAlpine 1977"	"urn:lsid:faunaeur.org:taxname:63999"	"Fauna Europaea"	"Parapiophila sp."
"16"	"Parapiophila"	"caerulescens"	"(Zetterstedt, 1847)"	"http://dyntaxa.se/taxon/info/241047"	"Dyntaxa"	"Parapiophila caerulescens"
"17"	"Parapiophila"	"calceata"	"(Duda, 1924)"	"http://dyntaxa.se/taxon/info/241048"	"Dyntaxa"	"Parapiophila calceata"
"18"	"Parapiophila"	"flavipes"	"(Zetterstedt, 1847)"	"http://dyntaxa.se/taxon/info/241049"	"Dyntaxa"	"Parapiophila flavipes"
"19"	"Parapiophila"	"lonchaeoides"	"(Zetterstedt, 1838)"	"http://dyntaxa.se/taxon/info/241050"	"Dyntaxa"	"Parapiophila lonchaeoides"
"20"	"Parapiophila"	"pectiniventris"	"(Duda, 1924)"	"http://dyntaxa.se/taxon/info/241051"	"Dyntaxa"	"Parapiophila pectiniventris"
"21"	"Parapiophila"	"vulgaris"	"(Fallén, 1820)"	"http://dyntaxa.se/taxon/info/241052"	"Dyntaxa"	"Parapiophila vulgaris"
